datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000919,0.001024,0.000888,0.001023,5985.0,33229.0
"Jan 02, 2017",0.001023,0.001051,0.00098,0.00098,5954.0,37055.0
"Jan 03, 2017",0.00098,0.001019,0.000934,0.00098,8412.0,35558.0
"Jan 04, 2017",0.00098,0.001039,0.000962,0.001028,8030.0,35608.0
"Jan 05, 2017",0.001009,0.001043,0.000732,0.0008,4701.0,36730.0
"Jan 06, 2017",0.000801,0.000834,0.000582,0.000599,3011.0,29164.0
"Jan 07, 2017",0.0006,0.00062,0.000482,0.000589,3710.0,21834.0
"Jan 08, 2017",0.000589,0.000592,0.000533,0.000572,1310.0,21444.0
"Jan 09, 2017",0.000572,0.000861,0.000539,0.000749,11682.0,20831.0
"Jan 10, 2017",0.00074,0.000764,0.000695,0.000738,4557.0,26938.0
"Jan 11, 2017",0.000738,0.000742,0.000557,0.000557,1101.0,26856.0
"Jan 12, 2017",0.000573,0.000592,0.000527,0.000592,2061.0,20847.0
"Jan 13, 2017",0.000591,0.000627,0.000533,0.000577,4663.0,21513.0
"Jan 14, 2017",0.000578,0.000665,0.000541,0.000541,8635.0,21029.0
"Jan 15, 2017",0.00054,0.00056,0.000431,0.000509,6211.0,19668.0
"Jan 16, 2017",0.000509,0.000614,0.000393,0.000434,7549.0,18538.0
"Jan 17, 2017",0.000467,0.000523,0.000408,0.000408,5401.0,16981.0
"Jan 18, 2017",0.000463,0.000495,0.000382,0.000439,8751.0,16840.0
"Jan 19, 2017",0.000441,0.000688,0.000428,0.000506,49418.0,16040.0
"Jan 20, 2017",0.000514,0.000538,0.000439,0.000439,14964.0,18702.0
"Jan 21, 2017",0.000439,0.000471,0.000388,0.000434,11694.0,15993.0
"Jan 22, 2017",0.000434,0.000522,0.000412,0.000424,6576.0,15775.0
"Jan 23, 2017",0.000425,0.000443,0.000399,0.000406,4008.0,15463.0
"Jan 24, 2017",0.000401,0.00051,0.000397,0.000503,12117.0,14591.0
"Jan 25, 2017",0.000504,0.00051,0.000455,0.000476,7745.0,18327.0
"Jan 26, 2017",0.000476,0.000541,0.000451,0.000541,12085.0,17317.0
"Jan 27, 2017",0.000541,0.000542,0.000461,0.000514,8277.0,19688.0
"Jan 28, 2017",0.000514,0.000516,0.000452,0.00047,4748.0,18718.0
"Jan 29, 2017",0.00047,0.000498,0.00047,0.000479,521.0,17106.0
