datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000357,0.000471,0.000355,0.000359,7.0,2858.0
"Jan 02, 2017",0.000359,0.000371,0.000327,0.000327,2.0,2885.0
"Jan 03, 2017",0.000327,0.000331,0.000319,0.000324,0.0,2628.0
"Jan 04, 2017",0.000324,0.000359,0.000319,0.000358,1.0,2606.0
"Jan 05, 2017",0.000358,0.000369,0.000273,0.000303,0.0,2887.0
"Jan 06, 2017",0.000304,0.000314,0.000265,0.00028,1.0,2456.0
"Jan 07, 2017",0.00028,0.000354,0.000255,0.000354,1.0,2266.0
"Jan 08, 2017",0.000354,0.000373,0.000289,0.0003,5.0,2871.0
"Jan 09, 2017",0.000301,0.000309,0.00029,0.000307,2.0,2440.0
"Jan 10, 2017",0.000307,0.000428,0.000306,0.000327,1.0,2495.0
"Jan 11, 2017",0.000327,0.000331,0.000267,0.000273,1.0,2660.0
"Jan 12, 2017",0.000272,0.000273,0.000254,0.000266,3.0,2220.0
"Jan 13, 2017",0.000266,0.000316,0.000257,0.000272,1.0,2169.0
"Jan 14, 2017",0.000272,0.000276,0.000268,0.00027,0.0,2224.0
"Jan 15, 2017",0.00027,0.000272,0.000268,0.000271,1.0,2213.0
"Jan 16, 2017",0.000271,0.000324,0.000271,0.000274,2.0,2225.0
"Jan 17, 2017",0.000274,0.000291,0.000257,0.00029,1.0,2255.0
"Jan 18, 2017",0.000291,0.000351,0.000184,0.000185,359.0,2391.0
"Jan 19, 2017",0.000186,0.000385,0.000186,0.000342,187.0,1535.0
"Jan 20, 2017",0.000342,0.000358,0.000195,0.000358,534.0,2821.0
"Jan 21, 2017",0.000358,0.000416,0.000211,0.000369,992.0,2960.0
"Jan 22, 2017",0.000369,0.000459,0.000369,0.000406,709.0,3054.0
"Jan 23, 2017",0.000407,0.000885,0.000313,0.000332,1301.0,3375.0
"Jan 24, 2017",0.000328,0.000732,0.000254,0.000732,1385.0,2724.0
"Jan 25, 2017",0.000732,0.000734,0.000331,0.00037,163.0,6090.0
"Jan 26, 2017",0.00037,0.000455,0.000319,0.00033,7.0,3080.0
"Jan 27, 2017",0.00033,0.000368,0.00033,0.00035,4.0,2757.0
"Jan 28, 2017",0.00035,0.00035,0.00023,0.00023,33.0,2921.0
"Jan 29, 2017",0.00023,0.000877,0.00023,0.000874,266.0,1929.0
"Jan 30, 2017",0.000874,0.000877,0.000249,0.000249,1.0,7323.0
"Jan 31, 2017",0.000249,0.000262,0.000249,0.000262,1.0,2087.0
"Feb 01, 2017",0.000262,0.000643,0.000252,0.000643,365.0,2203.0
"Feb 02, 2017",0.000643,0.000647,0.000393,0.000405,11.0,5414.0
"Feb 03, 2017",0.000405,0.00041,0.000394,0.000402,1.0,3412.0
"Feb 04, 2017",0.000402,0.000669,0.000337,0.000667,703.0,3398.0
"Feb 05, 2017",0.000668,0.000668,0.000429,0.000431,20.0,5650.0
"Feb 06, 2017",0.000432,0.000554,0.000415,0.000415,870.0,3660.0
"Feb 07, 2017",0.000416,0.000446,0.000307,0.000371,435.0,3530.0
"Feb 08, 2017",0.000372,0.000739,0.000372,0.000436,41.0,3160.0
"Feb 09, 2017",0.000437,0.000567,0.0004,0.000567,32.0,3715.0
"Feb 10, 2017",0.000568,0.000569,0.000494,0.000514,807.0,4837.0
"Feb 11, 2017",0.000514,0.000654,0.000479,0.000653,933.0,4390.0
"Feb 12, 2017",0.000652,0.000942,0.000589,0.000719,1344.0,5577.0
"Feb 13, 2017",0.000719,0.000732,0.000473,0.000703,175.0,6158.0
"Feb 14, 2017",0.000704,0.000711,0.00065,0.000653,3.0,6037.0
"Feb 15, 2017",0.000654,0.000686,0.000651,0.000685,405.0,5616.0
"Feb 16, 2017",0.000685,0.000689,0.000346,0.00037,127.0,5888.0
"Feb 17, 2017",0.000369,0.000713,0.000369,0.000649,652.0,3179.0
"Feb 18, 2017",0.000713,0.000742,0.000419,0.000738,1262.0,6147.0
"Feb 19, 2017",0.000738,0.00074,0.000712,0.000713,170.0,6371.0
