datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",8.7e-05,0.000107,8e-05,8.1e-05,12.0,12510.0
"Jan 02, 2017",8.1e-05,0.000113,8e-05,9.4e-05,34.0,11617.0
"Jan 03, 2017",9.4e-05,0.000103,7.2e-05,8.5e-05,325.0,13478.0
"Jan 04, 2017",8.5e-05,0.000101,8.5e-05,9.2e-05,20.0,12180.0
"Jan 05, 2017",9.2e-05,0.0001,7.3e-05,9.9e-05,10.0,13313.0
"Jan 06, 2017",9.9e-05,0.000103,7.3e-05,7.4e-05,8.0,14268.0
"Jan 07, 2017",7.4e-05,9.5e-05,6.8e-05,7.3e-05,10.0,10674.0
"Jan 08, 2017",7.3e-05,8.8e-05,7.1e-05,8.3e-05,20.0,10475.0
"Jan 09, 2017",8.3e-05,8.3e-05,7.1e-05,8.1e-05,13.0,11932.0
"Jan 10, 2017",8.1e-05,8.9e-05,6.3e-05,8.7e-05,35.0,11653.0
"Jan 11, 2017",8.2e-05,8.3e-05,5.9e-05,6.7e-05,12.0,11763.0
"Jan 12, 2017",6.7e-05,7e-05,5.5e-05,6.3e-05,15.0,9587.0
"Jan 13, 2017",6.3e-05,7.3e-05,5.6e-05,7.3e-05,11.0,9046.0
"Jan 14, 2017",7.3e-05,7.4e-05,6.5e-05,6.5e-05,10.0,10567.0
"Jan 15, 2017",6.5e-05,6.9e-05,6.3e-05,6.6e-05,9.0,9400.0
"Jan 16, 2017",6.6e-05,7.2e-05,6e-05,6e-05,12.0,9475.0
"Jan 17, 2017",6e-05,7.8e-05,6e-05,7.1e-05,10.0,8699.0
"Jan 18, 2017",7.1e-05,8.3e-05,6.9e-05,7e-05,8.0,10202.0
"Jan 19, 2017",7.1e-05,7.1e-05,6.7e-05,6.8e-05,10.0,10167.0
"Jan 20, 2017",6.8e-05,7.1e-05,6.3e-05,6.3e-05,32.0,9813.0
"Jan 21, 2017",6.3e-05,6.5e-05,6.3e-05,6.5e-05,9.0,9035.0
"Jan 22, 2017",6.5e-05,6.6e-05,6.3e-05,6.5e-05,11.0,9328.0
"Jan 23, 2017",6.5e-05,0.000101,5.6e-05,7.4e-05,182.0,9338.0
"Jan 24, 2017",7.4e-05,0.000127,7.2e-05,7.8e-05,204.0,10618.0
"Jan 25, 2017",7.8e-05,0.000108,7e-05,9.1e-05,46.0,11291.0
"Jan 26, 2017",9.1e-05,0.000112,7.4e-05,8.5e-05,15.0,13109.0
"Jan 27, 2017",8.5e-05,8.6e-05,7.3e-05,7.8e-05,29.0,12186.0
"Jan 28, 2017",7.8e-05,8.2e-05,7.1e-05,8.2e-05,20.0,11193.0
"Jan 29, 2017",8.2e-05,8.2e-05,7.2e-05,7.3e-05,24.0,11788.0
"Jan 30, 2017",7.3e-05,8.3e-05,7.1e-05,7.1e-05,13.0,10543.0
"Jan 31, 2017",7.1e-05,7.4e-05,6.5e-05,6.9e-05,16.0,10236.0
"Feb 01, 2017",6.9e-05,7.3e-05,6.9e-05,7.2e-05,5.0,9872.0
"Feb 02, 2017",7.3e-05,7.9e-05,6.9e-05,7.1e-05,10.0,10472.0
"Feb 03, 2017",7.1e-05,7.7e-05,7.1e-05,7.2e-05,13.0,10221.0
"Feb 04, 2017",7.2e-05,7.9e-05,7.2e-05,7.3e-05,45.0,10410.0
"Feb 05, 2017",7.3e-05,7.9e-05,7.2e-05,7.6e-05,42.0,10559.0
"Feb 06, 2017",7.6e-05,8.8e-05,7.6e-05,8.8e-05,20.0,10906.0
"Feb 07, 2017",8.8e-05,9.1e-05,8.4e-05,8.4e-05,15.0,12678.0
"Feb 08, 2017",8.5e-05,9.4e-05,8.4e-05,9e-05,16.0,12181.0
"Feb 09, 2017",9e-05,9.2e-05,7.8e-05,9e-05,13.0,12961.0
"Feb 10, 2017",9e-05,9e-05,7.9e-05,7.9e-05,15.0,12932.0
"Feb 11, 2017",7.9e-05,8.9e-05,7.1e-05,8.1e-05,14.0,11439.0
"Feb 12, 2017",8.1e-05,8.5e-05,7.3e-05,7.3e-05,48.0,11640.0
"Feb 13, 2017",7.3e-05,7.5e-05,6.9e-05,7.4e-05,10.0,10510.0
"Feb 14, 2017",7.4e-05,7.6e-05,7.1e-05,7.2e-05,9.0,10705.0
"Feb 15, 2017",7.2e-05,8.8e-05,7.2e-05,7.8e-05,34.0,10319.0
"Feb 16, 2017",7.8e-05,8.3e-05,7.2e-05,7.2e-05,14.0,11266.0
"Feb 17, 2017",7.2e-05,8.9e-05,7.2e-05,7.5e-05,18.0,10426.0
"Feb 18, 2017",7.5e-05,7.6e-05,7.3e-05,7.4e-05,23.0,10844.0
"Feb 19, 2017",7.4e-05,8.3e-05,7.3e-05,7.4e-05,16.0,10664.0
"Feb 20, 2017",7.4e-05,9.4e-05,7.3e-05,7.6e-05,49.0,10683.0
"Feb 21, 2017",7.6e-05,8.8e-05,7.6e-05,7.8e-05,31.0,10937.0
"Feb 22, 2017",7.8e-05,8.6e-05,7.7e-05,8.5e-05,26.0,11251.0
"Feb 23, 2017",8.5e-05,8.5e-05,6.9e-05,7.1e-05,41.0,12250.0
"Feb 24, 2017",7.1e-05,9.5e-05,7.1e-05,8.2e-05,72.0,10192.0
"Feb 25, 2017",8.2e-05,9.1e-05,8e-05,8e-05,212.0,11844.0
"Feb 26, 2017",8e-05,9.3e-05,7.8e-05,8.2e-05,283.0,11536.0
"Feb 27, 2017",8.1e-05,9.3e-05,7.1e-05,7.1e-05,17.0,11738.0
"Feb 28, 2017",7.1e-05,7.2e-05,7e-05,7.1e-05,10.0,10202.0
"Mar 01, 2017",7.1e-05,8.6e-05,7.1e-05,8.6e-05,44.0,10202.0
"Mar 02, 2017",8.6e-05,8.8e-05,8.5e-05,8.8e-05,14.0,12334.0
"Mar 03, 2017",8.8e-05,0.000115,8.8e-05,8.9e-05,25.0,12619.0
