datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000161,0.000173,0.000154,0.000172,3.0,65377.0
2017-1-02,0.000172,0.000172,0.000161,0.000163,171.0,69853.0
2017-1-03,0.000163,0.000167,0.000163,0.000167,12.0,66451.0
2017-1-04,0.000167,0.000176,0.00013,0.000135,34.0,68080.0
2017-1-05,0.000135,0.000221,9.3e-05,0.000124,118.0,54978.0
2017-1-06,0.000125,0.000132,9e-05,0.000126,184.0,50674.0
2017-1-07,0.000126,0.000127,7.6e-05,0.000109,25.0,51378.0
2017-1-08,0.000109,0.000118,7.3e-05,7.3e-05,29.0,44328.0
2017-1-09,7.3e-05,0.000117,7.1e-05,9e-05,70.0,29683.0
2017-1-10,9.9e-05,0.000128,9.9e-05,0.000128,22.0,40386.0
2017-1-11,0.000128,0.000129,9.3e-05,9.3e-05,12.0,51989.0
2017-1-12,9.3e-05,9.3e-05,6.3e-05,6.5e-05,152.0,37944.0
2017-1-13,6.5e-05,8.9e-05,6.5e-05,7.1e-05,6.0,26424.0
2017-1-14,7.1e-05,9.8e-05,6.6e-05,8.2e-05,67.0,28986.0
2017-1-15,8.2e-05,9e-05,6.5e-05,6.7e-05,30.0,33274.0
2017-1-16,6.7e-05,9.6e-05,6.7e-05,6.9e-05,46.0,27144.0
2017-1-17,6.9e-05,0.000108,6.9e-05,0.000102,19.0,27886.0
2017-1-18,0.000102,0.00012,9.2e-05,0.00012,2.0,41457.0
2017-1-19,0.000121,0.000125,9.2e-05,0.000104,9.0,49035.0
2017-1-20,0.000104,0.000108,7.9e-05,7.9e-05,32.0,42246.0
2017-1-21,7.9e-05,0.000109,7.4e-05,8.5e-05,243.0,31999.0
2017-1-22,8.5e-05,0.000109,7.6e-05,7.6e-05,29.0,34509.0
2017-1-23,7.6e-05,9.3e-05,6.7e-05,8.3e-05,66.0,30914.0
2017-1-24,8.2e-05,0.000138,7.6e-05,0.000138,22.0,33445.0
2017-1-25,0.000138,0.000143,9.2e-05,0.000101,15.0,55983.0
2017-1-26,0.000101,0.00011,9.2e-05,0.000101,85.0,40950.0
2017-1-27,0.000101,0.00012,9.1e-05,9.2e-05,342.0,40869.0
2017-1-28,9.2e-05,0.000127,8.3e-05,0.000126,96.0,37407.0
2017-1-29,0.000126,0.000133,9.9e-05,0.00011,48.0,51344.0
2017-1-30,0.00011,0.000111,9.2e-05,9.5e-05,103.0,44847.0
2017-1-31,9.5e-05,0.000121,7.6e-05,0.000102,162.0,38542.0
2017-2-01,0.000102,0.000147,0.000102,0.000129,146.0,41275.0
2017-2-02,0.000129,0.000158,0.000124,0.000155,535.0,52406.0
2017-2-03,0.000155,0.000243,0.000143,0.000181,771.0,62906.0
2017-2-04,0.000181,0.000231,0.000154,0.000159,105.0,73517.0
2017-2-05,0.00016,0.000242,0.000158,0.000185,8.0,64859.0
2017-2-06,0.000185,0.000191,0.000108,0.000127,153.0,75247.0
2017-2-07,0.000127,0.00017,0.000127,0.000168,77.0,51803.0
2017-2-08,0.000168,0.000255,0.000168,0.000174,108.0,68394.0
2017-2-09,0.000175,0.000223,0.000165,0.000172,181.0,70949.0
2017-2-10,0.000175,0.000197,0.000153,0.000154,149.0,71351.0
2017-2-11,0.000153,0.0002,0.000141,0.000141,130.0,62131.0
2017-2-12,0.000141,0.000196,0.00014,0.000166,6.0,57234.0
2017-2-13,0.000166,0.00018,0.000141,0.000159,118.0,67616.0
2017-2-14,0.000159,0.000174,0.000132,0.000142,68.0,64548.0
2017-2-15,0.000142,0.000191,0.000121,0.000191,27.0,57716.0
2017-2-16,0.000151,0.00021,0.000129,0.000145,24.0,61409.0
2017-2-17,0.000145,0.000176,0.000135,0.000152,14.0,58809.0
2017-2-18,0.000153,0.000205,0.00015,0.000203,17.0,62016.0
2017-2-19,0.000204,0.000206,0.000145,0.000151,23.0,82755.0
2017-2-20,0.000151,0.000162,0.000144,0.000156,28.0,61376.0
2017-2-21,0.000156,0.000196,0.000148,0.000152,109.0,63437.0
2017-2-22,0.000152,0.000174,0.000145,0.000174,27.0,61918.0
2017-2-23,0.000173,0.000208,0.000173,0.000176,5.0,70533.0
2017-2-24,0.000177,0.00021,0.000141,0.000141,206.0,71970.0
2017-2-25,0.000141,0.000187,0.000136,0.00015,11.0,57262.0
2017-2-26,0.00015,0.000196,0.000148,0.000195,9.0,61133.0
2017-2-27,0.000195,0.0002,0.000143,0.000145,83.0,79269.0
