datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.39062,0.396105,0.259164,0.260899,1313.0,0.0
2017-7-29,0.260953,0.340206,0.226417,0.270003,681.0,0.0
2017-7-30,0.270052,0.276121,0.162721,0.170334,1354.0,0.0
2017-7-31,0.170487,0.171126,0.166847,0.168895,1344.0,0.0
2017-8-01,0.17148,0.324889,0.162535,0.324814,1029.0,0.0
2017-8-02,0.324837,0.335608,0.239582,0.326901,1939.0,0.0
2017-8-03,0.326103,0.333358,0.324076,0.332067,1969.0,0.0
2017-8-04,0.345112,0.391813,0.326986,0.38081,3282.0,0.0
2017-8-05,0.379542,0.402277,0.198612,0.288407,2187.0,0.0
2017-8-06,0.288411,0.362916,0.248297,0.248388,1933.0,0.0
2017-8-07,0.248356,0.298564,0.23211,0.248704,615.0,0.0
2017-8-08,0.248719,0.331039,0.21351,0.315149,6352.0,0.0
2017-8-09,0.31511,0.31511,0.21755,0.26071,924.0,0.0
2017-8-10,0.26071,0.312911,0.2356,0.26714,1216.0,0.0
2017-8-11,0.267139,0.391051,0.267139,0.385594,4697.0,0.0
2017-8-12,0.385477,0.736095,0.356652,0.584314,12406.0,0.0
2017-8-13,0.584242,0.626445,0.336709,0.566679,4335.0,4547630.0
2017-8-14,0.566659,0.567831,0.370055,0.479177,4507.0,4410760.0
2017-8-15,0.479612,0.629881,0.347109,0.391468,8029.0,3733210.0
2017-8-16,0.391567,0.564326,0.360667,0.554631,27813.0,3047880.0
2017-8-17,0.554525,0.733359,0.467021,0.723696,35994.0,4316310.0
2017-8-18,0.723334,0.78723,0.596667,0.614148,9009.0,5630290.0
2017-8-19,0.613936,0.949974,0.613936,0.948868,9967.0,4778760.0
2017-8-20,0.946359,0.994825,0.77168,0.954343,22257.0,7366270.0
2017-8-21,0.952527,0.96278,0.767349,0.798947,18165.0,7414280.0
2017-8-22,0.799617,1.3,0.734832,0.813579,15316.0,6224060.0
2017-8-23,0.813213,0.874599,0.583803,0.821853,5535.0,6329890.0
2017-8-24,0.822074,0.913388,0.703323,0.818057,13584.0,6398860.0
2017-8-25,0.817433,0.876413,0.742732,0.790442,7581.0,6362730.0
2017-8-26,0.7907,0.941541,0.590934,0.634595,9558.0,6154660.0
