datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.190423,0.213033,0.180462,0.189854,23280.0,2594280.0
2017-7-29,0.189134,0.189651,0.165925,0.171077,12568.0,2576710.0
2017-7-30,0.171053,0.220458,0.122217,0.181706,102327.0,2330380.0
2017-7-31,0.172656,0.17627,0.14925,0.168823,22057.0,2352230.0
2017-8-01,0.168905,0.241083,0.158932,0.201927,17755.0,2301120.0
2017-8-02,0.201888,0.270729,0.193944,0.243005,40764.0,2750480.0
2017-8-03,0.24344,0.385748,0.24344,0.368673,183615.0,3316560.0
2017-8-04,0.362282,0.367938,0.283878,0.329137,55066.0,4935640.0
2017-8-05,0.327763,0.35355,0.314625,0.331972,26314.0,4465370.0
2017-8-06,0.332053,0.441793,0.304657,0.374697,54540.0,4523800.0
2017-8-07,0.373859,0.609113,0.373592,0.377625,669337.0,5093370.0
2017-8-08,0.373157,0.430916,0.330856,0.387298,92829.0,5083800.0
2017-8-09,0.378967,0.423874,0.359262,0.379359,47471.0,5162960.0
2017-8-10,0.379395,0.419,0.340995,0.343374,128163.0,5168790.0
2017-8-11,0.343354,0.368748,0.286972,0.297772,50443.0,4677770.0
2017-8-12,0.295751,0.349579,0.295751,0.344588,27591.0,4029240.0
2017-8-13,0.344268,0.379158,0.319962,0.353126,36611.0,4690230.0
2017-8-14,0.353351,0.361777,0.275798,0.346443,30038.0,4813970.0
2017-8-15,0.347375,0.357547,0.27857,0.317037,211651.0,4732550.0
2017-8-16,0.317386,0.423652,0.28066,0.362458,164079.0,4323990.0
2017-8-17,0.35949,0.379203,0.302019,0.331286,60434.0,4897610.0
2017-8-18,0.330273,0.344881,0.304289,0.326209,47110.0,4499560.0
2017-8-19,0.326012,0.352112,0.293731,0.33468,21999.0,4441510.0
2017-8-20,0.333118,0.348296,0.292801,0.333931,41579.0,4538320.0
2017-8-21,0.33672,0.338632,0.276232,0.300973,30244.0,4587400.0
2017-8-22,0.30167,0.35985,0.268874,0.355764,92493.0,4109880.0
2017-8-23,0.355079,0.369582,0.328278,0.333571,46627.0,4837520.0
2017-8-24,0.333715,0.359307,0.314185,0.340993,34793.0,4546460.0
2017-8-25,0.340456,0.365941,0.312527,0.336735,45158.0,4638290.0
2017-8-26,0.337382,0.348299,0.318995,0.340179,39595.0,4596410.0
