datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-06,0.002109,0.003405,0.001996,0.0033,2211.0,0.0
2017-4-07,0.003289,0.017766,0.002801,0.004119,1895.0,0.0
2017-4-08,0.004104,0.004127,0.002971,0.002999,1839.0,0.0
2017-4-09,0.003012,0.006402,0.00301,0.004039,2488.0,0.0
2017-4-10,0.003752,0.004083,0.00368,0.00387,3704.0,0.0
2017-4-11,0.003871,0.004092,0.00366,0.004037,3428.0,0.0
2017-4-12,0.004036,0.005821,0.003989,0.005474,4260.0,0.0
2017-4-13,0.005477,0.005847,0.00301,0.004665,1436.0,0.0
2017-4-14,0.00467,0.00467,0.003315,0.003573,2208.0,0.0
2017-4-15,0.003549,0.003603,0.003333,0.0034,941.0,0.0
2017-4-16,0.003401,0.004663,0.003324,0.00414,1360.0,0.0
2017-4-17,0.004141,0.004144,0.003594,0.003856,1393.0,0.0
2017-4-18,0.003772,0.004851,0.003659,0.004471,1298.0,0.0
2017-4-19,0.004473,0.004474,0.003899,0.004042,2433.0,0.0
2017-4-20,0.004045,0.004318,0.003424,0.003712,695.0,0.0
2017-4-21,0.003713,0.003789,0.001504,0.002395,2617.0,0.0
2017-4-22,0.002653,0.003633,0.001966,0.003621,2577.0,0.0
2017-4-23,0.003622,0.003629,0.003301,0.003537,2168.0,0.0
2017-4-24,0.003532,0.003678,0.00351,0.003625,1763.0,0.0
2017-4-25,0.003614,0.003678,0.002065,0.003632,2427.0,0.0
2017-4-26,0.003633,0.003645,0.00069,0.001539,1085.0,0.0
2017-4-27,0.00154,0.00253,0.001243,0.001871,1529.0,0.0
2017-4-28,0.001871,0.002003,0.00184,0.001988,1531.0,0.0
2017-4-29,0.002333,0.002654,0.001614,0.002525,1864.0,0.0
2017-4-30,0.002406,0.002727,0.002222,0.002278,1330.0,0.0
2017-5-01,0.0024,0.002816,0.002259,0.002644,4123.0,0.0
2017-5-02,0.0027,0.002881,0.002359,0.002804,1469.0,0.0
2017-5-03,0.002777,0.004104,0.002732,0.003979,1608.0,0.0
2017-5-04,0.003622,0.004475,0.003195,0.003429,1497.0,0.0
2017-5-05,0.003852,0.004526,0.003352,0.004526,1527.0,0.0
2017-5-06,0.004312,0.004748,0.003617,0.004263,2659.0,0.0
2017-5-07,0.004202,0.00503,0.003931,0.00503,1247.0,0.0
2017-5-08,0.00503,0.005761,0.004418,0.005566,3233.0,0.0
2017-5-09,0.005361,0.006059,0.004884,0.005143,2679.0,0.0
2017-5-10,0.00527,0.005642,0.004951,0.005098,2123.0,50402.0
2017-5-11,0.005107,0.006052,0.005072,0.005659,3308.0,48908.0
2017-5-12,0.00581,0.005931,0.005083,0.00542,2383.0,55692.0
2017-5-13,0.005409,0.005591,0.004908,0.005409,3316.0,51867.0
2017-5-14,0.005533,0.006257,0.004976,0.005226,2623.0,53111.0
2017-5-15,0.005229,0.00666,0.005229,0.005833,3186.0,50221.0
2017-5-16,0.006049,0.006354,0.005171,0.006018,3213.0,58131.0
2017-5-17,0.006016,0.006241,0.004927,0.005766,3264.0,57873.0
2017-5-18,0.005762,0.007759,0.005177,0.006313,3113.0,55720.0
2017-5-19,0.006468,0.009771,0.003561,0.005304,2934.0,62777.0
2017-5-20,0.004631,0.0081,0.004631,0.006774,3118.0,44993.0
2017-5-21,0.006956,0.012567,0.006302,0.007744,10395.0,67603.0
2017-5-22,0.007771,0.160268,0.006624,0.013192,67074.0,75630.0
2017-5-23,0.012435,0.020312,0.007539,0.01439,74571.0,121186.0
2017-5-24,0.014407,0.015746,0.009199,0.009929,458.0,140609.0
2017-5-25,0.00991,0.016785,0.009181,0.009428,48.0,96858.0
2017-5-26,0.009359,0.0115,0.008908,0.009097,28.0,91529.0
2017-5-27,0.009127,0.010853,0.006447,0.006874,157.0,89354.0
2017-5-28,0.006916,0.009588,0.006916,0.009504,3.0,67805.0
2017-5-29,0.009485,0.009579,0.007338,0.008167,7.0,93129.0
2017-5-30,0.008176,0.008185,0.006943,0.007025,107.0,80341.0
2017-5-31,0.007052,0.00749,0.005948,0.007426,25.0,69335.0
2017-6-01,0.007433,0.007882,0.007415,0.007675,26.0,73149.0
2017-6-02,0.007678,0.00777,0.007138,0.007156,58.0,75656.0
2017-6-03,0.007152,0.007682,0.006469,0.006479,139.0,70544.0
2017-6-04,0.006056,0.009183,0.006056,0.007547,114.0,59764.0
2017-6-05,0.007544,0.007854,0.007051,0.007442,0.0,74486.0
2017-6-06,0.007465,0.008474,0.007465,0.007967,2.0,73771.0
2017-6-07,0.007969,0.010897,0.007765,0.010775,1.0,78834.0
2017-6-08,0.01083,0.011808,0.010541,0.011808,4.0,107209.0
2017-6-09,0.011789,0.011916,0.009678,0.009679,38.0,116817.0
2017-6-10,0.009694,0.012541,0.009694,0.011271,22.0,96167.0
2017-6-11,0.011265,0.012851,0.010826,0.012687,35.0,111937.0
2017-6-12,0.012671,0.013425,0.010297,0.011131,215.0,126256.0
2017-6-13,0.011093,0.01158,0.011023,0.011372,2.0,110638.0
2017-6-14,0.011365,0.0116,0.00853,0.008585,11.0,113521.0
2017-6-15,0.008584,0.009941,0.007788,0.009896,5.0,85811.0
2017-6-16,0.009889,0.009889,0.00739,0.00739,286.0,99027.0
2017-6-17,0.00739,0.009193,0.00739,0.009193,2.0,74081.0
2017-6-18,0.009193,0.009892,0.009193,0.00949,3.0,92256.0
2017-6-19,0.00949,0.009842,0.006445,0.009842,197.0,95281.0
2017-6-20,0.009842,0.009842,0.008242,0.008242,6.0,98860.0
2017-6-21,0.008242,0.009739,0.004621,0.009739,458.0,82816.0
2017-6-22,0.009739,0.009739,0.007917,0.008867,27.0,97926.0
2017-6-23,0.008867,0.00974,0.00851,0.008525,9.0,89274.0
2017-6-24,0.008524,0.009046,0.008291,0.008743,175.0,85923.0
2017-6-25,0.008722,0.008883,0.007881,0.008113,83.0,87999.0
2017-6-26,0.008109,0.008237,0.007485,0.007687,42.0,81824.0
2017-6-27,0.007868,0.00871,0.004525,0.00871,87.0,79400.0
2017-6-28,0.008766,0.008766,0.008182,0.008329,29.0,88606.0
2017-6-29,0.008321,0.008524,0.00826,0.008287,2.0,84251.0
2017-6-30,0.008303,0.010123,0.008113,0.009492,104.0,84201.0
2017-7-01,0.009488,0.009561,0.008163,0.008185,10.0,96273.0
2017-7-02,0.008184,0.009712,0.008061,0.008644,1.0,83146.0
2017-7-03,0.008613,0.010535,0.008572,0.010414,6.0,87608.0
2017-7-04,0.010391,0.010698,0.005185,0.008889,140.0,105860.0
2017-7-05,0.008884,0.009219,0.008049,0.008078,6.0,90623.0
2017-7-06,0.008081,0.008927,0.008046,0.008902,6.0,82457.0
2017-7-07,0.008909,0.008925,0.007968,0.008048,30.0,90959.0
2017-7-08,0.008055,0.008235,0.007635,0.007947,46.0,82345.0
2017-7-09,0.007954,0.008701,0.007851,0.007851,18.0,81380.0
2017-7-10,0.007866,0.009439,0.007116,0.007317,54.0,80536.0
2017-7-11,0.007302,0.007372,0.00496,0.006334,2.0,74808.0
2017-7-12,0.006325,0.008407,0.005814,0.008345,4.0,64862.0
2017-7-13,0.008351,0.009375,0.0058,0.00923,102.0,85751.0
2017-7-14,0.009224,0.011401,0.007705,0.008401,116.0,94799.0
2017-7-15,0.008386,0.010887,0.007665,0.008522,192.0,86233.0
2017-7-16,0.008496,0.010266,0.008172,0.008472,165.0,87421.0
2017-7-17,0.008462,0.010458,0.007852,0.009695,51.0,87136.0
2017-7-18,0.009719,0.011523,0.009111,0.010458,488.0,100145.0
2017-7-19,0.010475,0.011235,0.009408,0.011019,20.0,108016.0
2017-7-20,0.010998,0.012786,0.00983,0.012586,80.0,113506.0
2017-7-21,0.012679,0.013388,0.011188,0.011232,8.0,130975.0
2017-7-22,0.011229,0.012898,0.011175,0.011775,375.0,116092.0
2017-7-23,0.011775,0.011886,0.011063,0.011455,19.0,121775.0
2017-7-24,0.011442,0.011635,0.011183,0.011475,93.0,118424.0
2017-7-25,0.011473,0.011947,0.010881,0.011746,47.0,118853.0
2017-7-26,0.011751,0.011961,0.010033,0.010474,8.0,121860.0
2017-7-27,0.010503,0.011101,0.010387,0.01093,24.0,109020.0
2017-7-28,0.010963,0.011594,0.01096,0.011477,3.0,113883.0
2017-7-29,0.011434,0.011465,0.010689,0.011196,69.0,118807.0
2017-7-30,0.011195,0.011217,0.008844,0.009305,1.0,116400.0
2017-7-31,0.009314,0.010034,0.009189,0.009842,2.0,96920.0
2017-8-01,0.009846,0.010007,0.006981,0.007035,0.0,102554.0
2017-8-02,0.007027,0.009226,0.006643,0.008044,30.0,73258.0
2017-8-03,0.008058,0.008315,0.006837,0.008279,10.0,84077.0
2017-8-04,0.008277,0.011143,0.007234,0.011109,57.0,86387.0
2017-8-05,0.011104,0.013655,0.00879,0.013505,444.0,115970.0
2017-8-06,0.013508,0.013665,0.007649,0.013208,10.0,141209.0
2017-8-07,0.013179,0.013949,0.00978,0.013214,92.0,137884.0
2017-8-08,0.013227,0.013824,0.01072,0.010947,1934.0,138524.0
2017-8-09,0.01094,0.010966,0.008995,0.009727,59.0,114694.0
2017-8-10,0.009728,0.013976,0.009656,0.011887,84.0,102028.0
2017-8-11,0.011886,0.013972,0.011834,0.012691,25.0,124750.0
2017-8-12,0.012681,0.013778,0.012544,0.013472,140.0,133216.0
2017-8-13,0.013459,0.015268,0.012041,0.01299,211.0,141519.0
2017-8-14,0.012998,0.013904,0.012738,0.013895,34.0,136825.0
2017-8-15,0.013932,0.014255,0.012396,0.013319,7.0,146775.0
2017-8-16,0.013333,0.014807,0.012679,0.014804,3.0,140520.0
2017-8-17,0.01479,0.015382,0.013612,0.013929,21.0,156411.0
2017-8-18,0.013886,0.014147,0.012799,0.013241,100.0,149099.0
2017-8-19,0.013229,0.013474,0.012771,0.013366,50.0,144208.0
2017-8-20,0.013303,0.013542,0.012618,0.012618,56.0,146839.0
2017-8-21,0.01257,0.012666,0.01195,0.011975,272.0,139583.0
2017-8-22,0.012003,0.015997,0.011253,0.012283,15.0,133417.0
2017-8-23,0.012258,0.018234,0.012214,0.018014,29.0,136427.0
