datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.005056,0.006572,0.005053,0.006398,174.0,8089.0
2017-1-02,0.006402,0.006601,0.006398,0.006526,1.0,10243.0
2017-1-03,0.004898,0.00578,0.004896,0.00578,6.0,7836.0
2017-1-04,0.005779,0.006736,0.005779,0.006723,2.0,9246.0
2017-1-05,0.005922,0.005986,0.004023,0.005316,254.0,9476.0
2017-1-06,0.00533,0.005506,0.00465,0.004734,0.0,8529.0
2017-1-08,0.003793,0.004349,0.003712,0.004304,64.0,6069.0
2017-1-09,0.00431,0.004537,0.004161,0.004517,2.0,6896.0
2017-1-10,0.004514,0.004574,0.00451,0.004538,14.0,7223.0
2017-1-11,0.004538,0.004597,0.003814,0.003924,7.0,7261.0
2017-1-12,0.00453,0.004601,0.004273,0.004484,2.0,7249.0
2017-1-13,0.004481,0.00484,0.004333,0.004804,1.0,7170.0
2017-1-14,0.004811,0.004909,0.003875,0.003905,2.0,7698.0
2017-1-15,0.003904,0.003927,0.003877,0.003898,2.0,6246.0
2017-1-17,0.005417,0.005591,0.005413,0.005417,3.0,8667.0
2017-1-18,0.00542,0.005958,0.001252,0.002515,701.0,8673.0
2017-1-19,0.002525,0.003365,0.001997,0.002475,159.0,4040.0
2017-1-20,0.002474,0.00256,0.001138,0.001953,94.0,3959.0
2017-1-21,0.001892,0.002418,0.001621,0.001873,113.0,3027.0
2017-1-22,0.001873,0.001915,0.00171,0.001765,10.0,2997.0
2017-1-23,0.001767,0.002024,0.001752,0.00197,5.0,2827.0
2017-1-24,0.001946,0.002137,0.001131,0.001678,34.0,3114.0
2017-1-25,0.001679,0.00187,0.001616,0.001685,32.0,2686.0
2017-1-26,0.001687,0.001846,0.00141,0.001834,39.0,2700.0
2017-1-27,0.001834,0.003359,0.00177,0.002191,360.0,2935.0
2017-1-28,0.002191,0.002618,0.001599,0.002618,186.0,3505.0
2017-1-29,0.002618,0.002728,0.002377,0.002377,69.0,4188.0
2017-1-30,0.002377,0.004594,0.002346,0.004512,69.0,3803.0
2017-1-31,0.00451,0.011609,0.00451,0.009706,1139.0,7216.0
2017-2-01,0.009704,0.02027,0.005404,0.009298,3168.0,15526.0
2017-2-02,0.009297,0.014114,0.006043,0.006172,233.0,14875.0
2017-2-03,0.00617,0.008374,0.004207,0.006952,181.0,9872.0
2017-2-04,0.006961,0.006979,0.004448,0.004526,4.0,11138.0
2017-2-05,0.004529,0.005931,0.004435,0.005907,42.0,7246.0
2017-2-06,0.005913,0.005945,0.003398,0.003955,193.0,9461.0
2017-2-07,0.003963,0.011461,0.003197,0.009329,14308.0,6341.0
2017-2-08,0.009338,0.009484,0.003178,0.004624,254.0,14941.0
2017-2-09,0.004631,0.004835,0.003367,0.0035,16.0,7410.0
2017-2-10,0.003505,0.003516,0.003332,0.00348,0.0,5607.0
2017-2-11,0.003481,0.003536,0.00346,0.003536,0.0,5569.0
2017-2-12,0.003107,0.003653,0.00309,0.003647,4.0,4972.0
2017-2-13,0.003646,0.003668,0.003317,0.003319,2.0,5833.0
2017-2-14,0.003322,0.003389,0.003305,0.00336,1.0,5316.0
2017-2-16,0.004165,0.00465,0.004149,0.004623,63.0,6664.0
2017-2-17,0.004618,0.004737,0.004615,0.004708,1.0,7388.0
2017-2-18,0.004721,0.004819,0.003734,0.004798,10.0,7554.0
2017-2-19,0.004799,0.004808,0.004748,0.004764,9.0,7679.0
