datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 18, 2017",0.147985,0.147985,0.147985,0.147985,26643.0,0.0
"Jul 19, 2017",0.148217,0.148217,0.109809,0.113678,10577.0,0.0
"Jul 20, 2017",0.113745,0.116748,0.110778,0.116748,61714.0,0.0
"Jul 21, 2017",0.11688,0.146308,0.11688,0.146276,32356.0,0.0
"Jul 22, 2017",0.146308,0.147786,0.124879,0.137432,58369.0,0.0
"Jul 23, 2017",0.137432,0.137432,0.118228,0.118271,22935.0,0.0
"Jul 24, 2017",0.118971,0.121491,0.118418,0.121474,31413.0,0.0
"Jul 25, 2017",0.121474,0.145242,0.091832,0.091832,20856.0,0.0
"Jul 26, 2017",0.091838,0.158016,0.091838,0.118428,13354.0,0.0
"Jul 27, 2017",0.118441,0.141222,0.099429,0.141005,25177.0,0.0
"Jul 28, 2017",0.141005,0.141005,0.100759,0.100861,9666.0,0.0
"Jul 29, 2017",0.100861,0.133593,0.100861,0.11874,12167.0,0.0
"Jul 30, 2017",0.11874,0.130179,0.11874,0.130179,3481.0,0.0
"Jul 31, 2017",0.130179,0.130179,0.112767,0.112924,12500.0,0.0
"Aug 01, 2017",0.112977,0.113123,0.110004,0.113123,12239.0,0.0
"Aug 02, 2017",0.113123,0.123494,0.113101,0.123494,4389.0,0.0
"Aug 03, 2017",0.123494,0.123494,0.113118,0.116276,16343.0,0.0
"Aug 04, 2017",0.116276,0.122086,0.113594,0.115912,14585.0,0.0
"Aug 05, 2017",0.115865,0.178254,0.115865,0.132205,15811.0,0.0
"Aug 06, 2017",0.132205,0.1634,0.132205,0.161056,19924.0,0.0
"Aug 07, 2017",0.161219,0.192011,0.144949,0.191994,16868.0,0.0
"Aug 08, 2017",0.191909,0.191909,0.167068,0.167068,18075.0,0.0
"Aug 09, 2017",0.167046,0.179298,0.164063,0.176653,19637.0,0.0
"Aug 10, 2017",0.176806,0.176806,0.166318,0.167307,11112.0,0.0
"Aug 11, 2017",0.167722,0.185968,0.164939,0.185968,18140.0,0.0
"Aug 12, 2017",0.186034,0.186034,0.171031,0.171501,16177.0,0.0
"Aug 13, 2017",0.171501,0.171801,0.165028,0.165028,2720.0,0.0
"Aug 14, 2017",0.165031,0.165031,0.148411,0.148457,6319.0,0.0
"Aug 15, 2017",0.148376,0.185844,0.148376,0.167736,5166.0,0.0
"Aug 16, 2017",0.167576,0.216951,0.167576,0.203134,9477.0,0.0
"Aug 17, 2017",0.203284,0.204779,0.187241,0.187323,3051.0,0.0
"Aug 18, 2017",0.18725,0.19179,0.179659,0.179659,10412.0,0.0
"Aug 19, 2017",0.181348,0.181348,0.157368,0.157368,905.0,0.0
"Aug 20, 2017",0.157376,0.179859,0.157376,0.172378,20990.0,0.0
"Aug 21, 2017",0.172378,0.172426,0.166408,0.172426,12535.0,0.0
"Aug 22, 2017",0.172509,0.172509,0.13507,0.13507,76451.0,0.0
