datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.011434,0.015445,0.009874,0.015203,1432.0,57169.0
"Jul 25, 2017",0.015694,0.015956,0.010065,0.011667,1010.0,78468.0
"Jul 26, 2017",0.011905,0.012896,0.009663,0.011403,571.0,59525.0
"Jul 27, 2017",0.010948,0.01233,0.009137,0.01035,798.0,54738.0
"Jul 28, 2017",0.010349,0.011408,0.008854,0.010554,490.0,51747.0
"Jul 29, 2017",0.010233,0.011889,0.007871,0.011242,930.0,51165.0
"Jul 30, 2017",0.010986,0.012852,0.007956,0.008225,833.0,54929.0
"Jul 31, 2017",0.007979,0.011546,0.007474,0.007764,989.0,39897.0
"Aug 01, 2017",0.007711,0.007936,0.005265,0.007634,320.0,38555.0
"Aug 02, 2017",0.007424,0.014887,0.006678,0.014185,1163.0,37121.0
"Aug 03, 2017",0.014142,0.014374,0.005701,0.005704,731.0,70711.0
"Aug 04, 2017",0.005693,0.006426,0.005421,0.006413,901.0,28466.0
"Aug 05, 2017",0.00641,0.007472,0.006304,0.007241,1062.0,32052.0
"Aug 06, 2017",0.007328,0.008429,0.006582,0.006814,455.0,36640.0
"Aug 07, 2017",0.006779,0.009998,0.006669,0.008971,1161.0,33893.0
"Aug 08, 2017",0.00936,0.013715,0.005682,0.012946,551.0,46799.0
"Aug 09, 2017",0.011892,0.02423,0.011892,0.018063,2462.0,59462.0
"Aug 10, 2017",0.018246,0.019234,0.011607,0.012249,579.0,91228.0
"Aug 11, 2017",0.012402,0.01986,0.01222,0.018777,257.0,62009.0
"Aug 12, 2017",0.01869,0.019487,0.012383,0.016471,424.0,93449.0
"Aug 13, 2017",0.017054,0.017063,0.012798,0.013712,212.0,85272.0
"Aug 14, 2017",0.013721,0.017923,0.012606,0.013993,1093.0,68605.0
"Aug 15, 2017",0.014028,0.016055,0.012843,0.014771,637.0,70140.0
"Aug 16, 2017",0.013749,0.015985,0.012905,0.014877,530.0,68744.0
"Aug 17, 2017",0.014863,0.017647,0.013821,0.016141,615.0,74317.0
"Aug 18, 2017",0.016392,0.016744,0.014986,0.015873,279.0,81958.0
"Aug 19, 2017",0.015859,0.021929,0.014402,0.016201,1468.0,79295.0
"Aug 20, 2017",0.016125,0.023567,0.015753,0.018203,486.0,80627.0
"Aug 21, 2017",0.021583,0.026693,0.017967,0.026505,913.0,107913.0
"Aug 22, 2017",0.026824,0.032555,0.023546,0.027135,1742.0,134122.0
