datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000253,0.000268,0.000239,0.00026,17929.0,1969370.0
"Jan 02, 2017",0.00026,0.000276,0.000252,0.000257,12700.0,2023800.0
"Jan 03, 2017",0.000257,0.000385,0.000246,0.000287,18793.0,1999770.0
"Jan 04, 2017",0.000287,0.000305,0.000275,0.000289,26930.0,2238220.0
"Jan 05, 2017",0.000289,0.000308,0.000243,0.000282,20216.0,2252690.0
"Jan 06, 2017",0.000283,0.000334,0.000256,0.000334,79571.0,2209590.0
"Jan 07, 2017",0.000326,0.00035,0.000285,0.000329,99284.0,2545020.0
"Jan 08, 2017",0.000337,0.000379,0.000311,0.000355,87291.0,2632870.0
"Jan 09, 2017",0.000348,0.000357,0.000296,0.000299,81999.0,2718410.0
"Jan 10, 2017",0.000299,0.000319,0.000254,0.000271,148280.0,2338000.0
"Jan 11, 2017",0.000264,0.000278,0.000235,0.000235,47925.0,2064880.0
"Jan 12, 2017",0.000234,0.000246,0.000223,0.000234,38484.0,1835280.0
"Jan 13, 2017",0.000233,0.000257,0.000226,0.000247,29656.0,1830860.0
"Jan 14, 2017",0.000248,0.000257,0.000238,0.000238,16085.0,1945570.0
"Jan 15, 2017",0.000238,0.000292,0.000238,0.000278,77777.0,1868170.0
"Jan 16, 2017",0.000285,0.000294,0.000264,0.000266,27547.0,2242710.0
"Jan 17, 2017",0.000266,0.000284,0.000257,0.000263,32443.0,2090960.0
"Jan 18, 2017",0.000264,0.000284,0.000251,0.000273,18367.0,2073780.0
"Jan 19, 2017",0.000274,0.000287,0.000267,0.000279,10647.0,2157580.0
"Jan 20, 2017",0.000279,0.000295,0.000268,0.000269,29649.0,2195970.0
"Jan 21, 2017",0.000269,0.000309,0.000266,0.000277,9508.0,2117440.0
"Jan 22, 2017",0.000277,0.000287,0.000255,0.000267,21282.0,2183800.0
"Jan 23, 2017",0.000268,0.000285,0.000265,0.000276,19929.0,2112690.0
"Jan 24, 2017",0.000276,0.000281,0.00025,0.00025,16796.0,2180710.0
"Jan 25, 2017",0.00025,0.000261,0.000235,0.000252,26666.0,1976720.0
"Jan 26, 2017",0.000252,0.000257,0.000238,0.000248,27788.0,1991800.0
"Jan 27, 2017",0.000256,0.000284,0.000239,0.000267,35899.0,2030720.0
"Jan 28, 2017",0.000267,0.000283,0.000258,0.000275,15341.0,2113290.0
"Jan 29, 2017",0.000275,0.000285,0.000267,0.000275,12187.0,2182100.0
"Jan 30, 2017",0.000275,0.000293,0.000267,0.000275,29018.0,2183700.0
"Jan 31, 2017",0.000283,0.000286,0.000267,0.000271,33797.0,2248640.0
"Feb 01, 2017",0.000272,0.000284,0.000265,0.000276,10143.0,2163860.0
"Feb 02, 2017",0.000267,0.000292,0.000266,0.000283,13731.0,2123090.0
"Feb 03, 2017",0.000283,0.000296,0.000273,0.000278,9592.0,2248140.0
"Feb 04, 2017",0.000278,0.000289,0.000267,0.000271,8544.0,2213480.0
"Feb 05, 2017",0.000271,0.000296,0.00027,0.000286,10423.0,2160830.0
"Feb 06, 2017",0.000286,0.000311,0.000279,0.00029,18840.0,2281220.0
"Feb 07, 2017",0.00029,0.000317,0.000286,0.000287,15339.0,2313770.0
"Feb 08, 2017",0.000287,0.000301,0.00028,0.000285,14236.0,2287670.0
"Feb 09, 2017",0.000285,0.0003,0.000252,0.000268,18589.0,2278960.0
"Feb 10, 2017",0.000278,0.000278,0.000255,0.000267,8492.0,2221660.0
"Feb 11, 2017",0.000267,0.000282,0.000265,0.000279,6534.0,2135360.0
"Feb 12, 2017",0.000279,0.000279,0.000262,0.00027,8066.0,2234930.0
"Feb 13, 2017",0.00027,0.000276,0.000258,0.000266,9331.0,2160380.0
"Feb 14, 2017",0.000266,0.00028,0.00025,0.000261,19150.0,2129470.0
"Feb 15, 2017",0.000261,0.000271,0.00025,0.000252,8639.0,2094340.0
"Feb 16, 2017",0.000252,0.000277,0.000252,0.000257,13400.0,2021010.0
"Feb 17, 2017",0.000257,0.000272,0.000241,0.000251,19914.0,2062660.0
"Feb 18, 2017",0.000251,0.000255,0.000241,0.000242,18820.0,2013500.0
"Feb 19, 2017",0.000243,0.000261,0.000242,0.000252,11022.0,1950240.0
"Feb 20, 2017",0.000252,0.000266,0.000241,0.000252,16508.0,2024690.0
"Feb 21, 2017",0.000252,0.00026,0.000235,0.000235,27703.0,2027930.0
"Feb 22, 2017",0.000235,0.000246,0.000232,0.000236,5979.0,1890300.0
"Feb 23, 2017",0.000239,0.000258,0.000235,0.000247,13027.0,1924080.0
"Feb 24, 2017",0.000245,0.000262,0.000233,0.000235,32161.0,1976950.0
"Feb 25, 2017",0.000235,0.000249,0.000226,0.000241,7934.0,1896830.0
"Feb 26, 2017",0.000241,0.000278,0.000237,0.000267,18743.0,1948550.0
"Feb 27, 2017",0.000267,0.00029,0.000257,0.00027,14472.0,2154610.0
"Feb 28, 2017",0.000282,0.000282,0.000247,0.000248,17807.0,2277570.0
"Mar 01, 2017",0.000248,0.000275,0.000243,0.000244,39130.0,2006040.0
"Mar 02, 2017",0.000245,0.000251,0.000222,0.000238,19527.0,1981320.0
"Mar 03, 2017",0.000238,0.00025,0.000218,0.00023,18997.0,1928110.0
"Mar 04, 2017",0.00023,0.000241,0.000221,0.000226,6821.0,1865270.0
"Mar 05, 2017",0.000226,0.000234,0.000212,0.000216,16684.0,1831570.0
"Mar 06, 2017",0.000215,0.000238,0.000215,0.000226,12415.0,1746900.0
"Mar 07, 2017",0.000226,0.000256,0.000224,0.000244,25106.0,1835080.0
"Mar 08, 2017",0.000244,0.000263,0.000218,0.000219,23202.0,1975290.0
"Mar 09, 2017",0.000219,0.000234,0.000211,0.000215,11482.0,1771860.0
"Mar 10, 2017",0.000215,0.000229,0.000199,0.000202,19944.0,1741340.0
"Mar 11, 2017",0.000202,0.000236,0.000202,0.000223,7828.0,1634560.0
"Mar 12, 2017",0.000223,0.000249,0.000223,0.000246,18344.0,1810910.0
"Mar 13, 2017",0.000246,0.00027,0.000233,0.000246,31531.0,1990460.0
"Mar 14, 2017",0.000246,0.000269,0.000243,0.000259,18769.0,1998280.0
"Mar 15, 2017",0.000259,0.00027,0.000238,0.000261,26969.0,2096090.0
"Mar 16, 2017",0.000261,0.000268,0.000235,0.000248,31763.0,2115990.0
"Mar 17, 2017",0.00025,0.000296,0.000245,0.000264,104407.0,2022760.0
"Mar 18, 2017",0.000264,0.000284,0.000231,0.000242,22861.0,2139790.0
