datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.002304,0.002304,0.00216,0.00216,958.0,0.0
"Jan 02, 2017",0.00216,0.002592,0.00216,0.002592,228.0,0.0
"Jan 03, 2017",0.002592,0.003024,0.002592,0.003017,364.0,0.0
"Jan 04, 2017",0.003017,0.003017,0.002011,0.002884,414.0,0.0
"Jan 05, 2017",0.002884,0.002884,0.002307,0.002613,413.0,0.0
"Jan 06, 2017",0.002613,0.002613,0.002024,0.002457,517.0,0.0
"Jan 07, 2017",0.002457,0.003035,0.002457,0.002746,637.0,0.0
"Jan 08, 2017",0.002746,0.002746,0.002168,0.002168,1199.0,0.0
"Jan 09, 2017",0.002168,0.002457,0.001879,0.002306,806.0,0.0
"Jan 10, 2017",0.002306,0.002599,0.001733,0.002312,495.0,0.0
"Jan 11, 2017",0.002311,0.002745,0.002311,0.002595,731.0,0.0
"Jan 12, 2017",0.002595,0.002595,0.002162,0.002163,126.0,0.0
"Jan 13, 2017",0.002163,0.002609,0.002163,0.002174,464.0,0.0
"Jan 14, 2017",0.002174,0.002174,0.002029,0.002029,0.0,0.0
"Jan 15, 2017",0.002029,0.002029,0.002029,0.002029,0.0,0.0
"Jan 16, 2017",0.002029,0.002029,0.002028,0.002028,0.0,0.0
"Jan 17, 2017",0.002029,0.002332,0.002029,0.002332,0.0,0.0
"Jan 18, 2017",0.002333,0.00234,0.002332,0.002339,0.0,0.0
"Jan 20, 2017",0.00189,0.00189,0.00189,0.00189,0.0,0.0
"Jan 21, 2017",0.001891,0.001891,0.001891,0.001891,0.0,0.0
"Jan 22, 2017",0.002327,0.002327,0.002181,0.002181,0.0,0.0
"Jan 23, 2017",0.002181,0.002334,0.001891,0.002334,0.0,0.0
"Jan 24, 2017",0.002334,0.002481,0.001749,0.00175,0.0,0.0
"Jan 25, 2017",0.001749,0.00276,0.001749,0.00247,1141.0,0.0
"Jan 26, 2017",0.00247,0.002762,0.00247,0.002617,397.0,0.0
"Jan 27, 2017",0.002617,0.002617,0.002326,0.002326,12.0,0.0
"Jan 28, 2017",0.002325,0.002761,0.00218,0.002471,465.0,0.0
"Jan 29, 2017",0.002471,0.002616,0.002471,0.002616,95.0,0.0
"Jan 30, 2017",0.002616,0.002906,0.002034,0.002616,9464.0,0.0
