datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000125,0.000125,4.8e-05,0.00012,0.0,2606.0
2017-1-02,0.00012,0.000122,5.1e-05,0.000102,1.0,2492.0
2017-1-03,0.000102,0.000115,7.2e-05,0.000115,3.0,2126.0
2017-1-04,0.000115,0.00012,6.7e-05,6.9e-05,4.0,2389.0
2017-1-05,6.9e-05,9.2e-05,5.5e-05,9.1e-05,1.0,1441.0
2017-1-06,9.1e-05,9.4e-05,8e-05,8.1e-05,0.0,1897.0
2017-1-07,8.1e-05,8.2e-05,7.1e-05,7.3e-05,1.0,1692.0
2017-1-08,7.3e-05,7.5e-05,5.3e-05,5.5e-05,0.0,1512.0
2017-1-09,5.5e-05,5.5e-05,4.5e-05,4.5e-05,1.0,1137.0
2017-1-10,4.5e-05,7.3e-05,4.5e-05,7.3e-05,2.0,939.0
2017-1-11,7.3e-05,7.4e-05,6.1e-05,7e-05,7.0,1511.0
2017-1-12,7e-05,9.9e-05,6.8e-05,9.7e-05,14.0,1456.0
2017-1-13,9.7e-05,0.000108,7e-05,0.000107,2.0,2009.0
2017-1-14,0.000107,0.000109,7.3e-05,9.8e-05,0.0,2228.0
2017-1-15,9.8e-05,9.9e-05,9.8e-05,9.9e-05,0.0,2043.0
2017-1-16,9.9e-05,0.0001,7.5e-05,7.5e-05,1.0,2052.0
2017-1-17,7.5e-05,0.000107,7.5e-05,8.2e-05,0.0,1557.0
2017-1-18,8.2e-05,8.3e-05,7.7e-05,7.9e-05,0.0,1700.0
2017-1-19,8e-05,0.0001,8e-05,9.9e-05,0.0,1660.0
2017-1-20,9.9e-05,9.9e-05,9.8e-05,9.9e-05,0.0,2057.0
2017-1-21,9.9e-05,0.000102,8.3e-05,8.3e-05,0.0,2050.0
2017-1-22,8.3e-05,0.000103,1.8e-05,5.5e-05,12.0,1726.0
2017-1-23,5.5e-05,0.000129,5.5e-05,0.000129,10.0,1154.0
2017-1-24,0.000129,0.000135,9e-05,0.000107,15.0,2683.0
2017-1-25,0.000107,0.000135,9.8e-05,0.000108,13.0,2229.0
2017-1-26,0.000108,0.000127,9.9e-05,0.000101,3.0,2250.0
2017-1-27,0.000101,0.000102,0.000101,0.000101,2.0,2099.0
2017-1-28,0.000101,0.00012,9.2e-05,0.000111,4.0,2105.0
2017-1-29,0.000111,0.000111,0.000108,0.00011,2.0,2300.0
2017-1-30,0.00011,0.000166,0.00011,0.000166,8.0,2286.0
2017-1-31,0.000166,0.00017,0.000111,0.000118,3.0,3447.0
2017-2-01,0.000119,0.000119,0.000107,0.000119,2.0,2475.0
2017-2-02,0.000119,0.000142,0.000107,0.000142,0.0,2469.0
2017-2-03,0.000142,0.000154,0.000104,0.000104,0.0,2951.0
2017-2-04,0.000104,0.000146,0.000102,0.000115,2.0,2167.0
2017-2-05,0.000115,0.000144,0.000112,0.000144,0.0,2388.0
2017-2-06,0.000144,0.000156,0.000113,0.000145,30.0,2995.0
2017-2-07,0.000146,0.00018,0.000127,0.00017,3.0,3029.0
2017-2-08,0.00017,0.000173,0.000148,0.000159,0.0,3536.0
2017-2-09,0.00016,0.000163,0.000133,0.000139,2.0,3323.0
2017-2-10,0.000139,0.000157,0.000139,0.000148,2.0,2900.0
2017-2-11,0.000148,0.000161,0.000147,0.000161,1.0,3086.0
2017-2-12,0.000161,0.0002,0.00014,0.00017,31.0,3340.0
2017-2-13,0.00017,0.000199,0.000166,0.000198,5.0,3533.0
2017-2-14,0.000198,0.000202,0.00017,0.000171,1.0,4126.0
2017-2-15,0.000171,0.000202,0.00016,0.000161,4.0,3559.0
2017-2-16,0.000161,0.000175,0.000161,0.000164,2.0,3354.0
2017-2-17,0.000164,0.000246,0.000144,0.000209,12.0,3416.0
2017-2-18,0.00021,0.000212,0.000158,0.000158,2.0,4362.0
2017-2-19,0.000158,0.000201,0.000146,0.000201,4.0,3291.0
