datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,26000000.0,27000000.0,22000000.0,23000000.0,34.0,134181.0
2017-1-02,23000000.0,28000000.0,18000000.0,19000000.0,131.0,116371.0
2017-1-03,19000000.0,29000000.0,19000000.0,24000000.0,16.0,96449.0
2017-1-04,24000000.0,29000000.0,19000000.0,19000000.0,14.0,124214.0
2017-1-05,20000000.0,29000000.0,20000000.0,27000000.0,0.0,104927.0
2017-1-06,27000000.0,28000000.0,20000000.0,24000000.0,16.0,138537.0
2017-1-07,23000000.0,27000000.0,20000000.0,24000000.0,284.0,121155.0
2017-1-08,24000000.0,32000000.0,20000000.0,25000000.0,49.0,121886.0
2017-1-09,25000000.0,32000000.0,24000000.0,26000000.0,11.0,129629.0
2017-1-10,30000000.0,37000000.0,26000000.0,36000000.0,68.0,155282.0
2017-1-11,36000000.0,36000000.0,21000000.0,27000000.0,14.0,186230.0
2017-1-12,27000000.0,31000000.0,22000000.0,24000000.0,114.0,137954.0
2017-1-13,24000000.0,31000000.0,23000000.0,27000000.0,6.0,122657.0
2017-1-14,27000000.0,31000000.0,23000000.0,23000000.0,6.0,140855.0
2017-1-15,23000000.0,28000000.0,23000000.0,24000000.0,20.0,119819.0
2017-1-16,24000000.0,32000000.0,23000000.0,27000000.0,174.0,121540.0
2017-1-17,27000000.0,35000000.0,27000000.0,29000000.0,103.0,140991.0
2017-1-18,29000000.0,36000000.0,27000000.0,36000000.0,146.0,150308.0
2017-1-19,34000000.0,40000000.0,23000000.0,23000000.0,74.0,178061.0
2017-1-20,23000000.0,27000000.0,23000000.0,23000000.0,32.0,119683.0
2017-1-21,23000000.0,27000000.0,23000000.0,25000000.0,22.0,120692.0
2017-1-22,27000000.0,27000000.0,23000000.0,27000000.0,39.0,140746.0
2017-1-23,27000000.0,31000000.0,23000000.0,30000000.0,14.0,137748.0
2017-1-24,30000000.0,31000000.0,26000000.0,26000000.0,34.0,152861.0
2017-1-25,26000000.0,30000000.0,26000000.0,26000000.0,15.0,136886.0
2017-1-26,26000000.0,80000000.0,19000000.0,79000000.0,568.0,134465.0
