datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 24, 2017",0.00028,0.00028,0.000229,0.000231,1901.0,332389.0
"Jun 25, 2017",0.000257,0.000393,0.000231,0.000379,3341.0,305276.0
"Jun 26, 2017",0.000378,0.000692,0.000343,0.000665,2507.0,448697.0
"Jun 27, 2017",0.000679,0.001197,0.000477,0.000835,29840.0,805667.0
"Jun 28, 2017",0.000688,0.001293,0.000655,0.001075,11069.0,817352.0
"Jun 29, 2017",0.001074,0.001768,0.001005,0.001138,9977.0,1275680.0
"Jun 30, 2017",0.00114,0.001147,0.000549,0.000949,4911.0,1354140.0
"Jul 01, 2017",0.000949,0.000953,0.000264,0.000509,7363.0,1127610.0
"Jul 02, 2017",0.000509,0.000579,0.000369,0.000401,1310.0,605100.0
"Jul 03, 2017",0.0004,0.000522,0.000383,0.000432,2436.0,475150.0
"Jul 04, 2017",0.000431,0.000446,0.000258,0.000338,3416.0,512685.0
"Jul 05, 2017",0.000338,0.000408,0.00031,0.000363,2561.0,401475.0
"Jul 06, 2017",0.000364,0.000395,0.000311,0.000388,2181.0,432497.0
"Jul 07, 2017",0.000389,0.000457,0.000331,0.00035,3105.0,462329.0
"Jul 08, 2017",0.00035,0.000377,0.000275,0.000357,2663.0,416875.0
"Jul 09, 2017",0.000357,0.000362,0.000329,0.000349,438.0,424837.0
"Jul 10, 2017",0.000349,0.000378,0.000297,0.000305,494.0,415893.0
"Jul 11, 2017",0.000304,0.000373,0.000297,0.00035,1050.0,362338.0
"Jul 12, 2017",0.000349,0.000349,0.000192,0.000309,3445.0,415753.0
"Jul 13, 2017",0.000285,0.000336,0.000215,0.000309,1413.0,339425.0
"Jul 14, 2017",0.000308,0.000378,0.000285,0.000333,3391.0,367062.0
"Jul 15, 2017",0.000333,0.000776,0.000309,0.000424,7143.0,396156.0
"Jul 16, 2017",0.000422,0.000524,0.000336,0.000371,1644.0,502527.0
"Jul 17, 2017",0.000371,0.000503,0.000357,0.000468,2108.0,441554.0
"Jul 18, 2017",0.00047,0.000545,0.000375,0.000467,4128.0,559784.0
"Jul 19, 2017",0.000467,0.000548,0.00041,0.000479,1221.0,556718.0
"Jul 20, 2017",0.000478,0.000541,0.000304,0.000515,5243.0,580908.0
"Jul 21, 2017",0.000518,0.000522,0.00033,0.000483,867.0,630439.0
"Jul 22, 2017",0.000483,0.000512,0.000281,0.000342,3741.0,587284.0
"Jul 23, 2017",0.000342,0.000441,0.000249,0.000357,2970.0,417074.0
"Jul 24, 2017",0.000356,0.000496,0.000278,0.00047,3995.0,434496.0
"Jul 25, 2017",0.00047,0.000473,0.00028,0.000356,5043.0,573208.0
"Jul 26, 2017",0.000356,0.00045,0.000312,0.00045,4072.0,434388.0
"Jul 27, 2017",0.000451,0.000697,0.000368,0.000556,15704.0,549726.0
"Jul 28, 2017",0.000559,0.00059,0.000415,0.000452,2443.0,682038.0
"Jul 29, 2017",0.000425,0.000522,0.000417,0.000435,792.0,518861.0
"Jul 30, 2017",0.000435,0.000519,0.000368,0.000438,2281.0,530398.0
"Jul 31, 2017",0.000439,0.000532,0.00038,0.000457,3211.0,535421.0
"Aug 01, 2017",0.000457,0.000526,0.00041,0.000438,1908.0,558174.0
"Aug 02, 2017",0.000465,0.000467,0.000402,0.000431,1529.0,567449.0
"Aug 03, 2017",0.000432,0.000467,0.000408,0.000423,1005.0,527191.0
"Aug 04, 2017",0.000423,0.000453,0.00037,0.000374,1697.0,517271.0
"Aug 05, 2017",0.000374,0.000461,0.000374,0.000455,761.0,457837.0
"Aug 06, 2017",0.000455,0.000459,0.000379,0.000418,1533.0,556446.0
"Aug 07, 2017",0.000417,0.00047,0.000371,0.000405,1754.0,514931.0
"Aug 08, 2017",0.000406,0.000451,0.000377,0.000377,624.0,500449.0
"Aug 09, 2017",0.000377,0.000442,0.000363,0.000368,316.0,465240.0
"Aug 10, 2017",0.000368,0.000449,0.000339,0.000413,981.0,454118.0
"Aug 11, 2017",0.000412,0.000459,0.000366,0.000435,662.0,508956.0
"Aug 12, 2017",0.000435,0.000437,0.000306,0.00039,2064.0,536572.0
"Aug 13, 2017",0.00039,0.000422,0.000282,0.000395,2415.0,481824.0
"Aug 14, 2017",0.000395,0.000433,0.000301,0.000433,871.0,490558.0
"Aug 15, 2017",0.000434,0.000443,0.000323,0.000415,283.0,539054.0
"Aug 16, 2017",0.000415,0.000438,0.000295,0.000437,1070.0,515777.0
"Aug 17, 2017",0.000437,0.000438,0.000281,0.000345,391.0,542933.0
"Aug 18, 2017",0.000344,0.000385,0.000283,0.000329,546.0,427824.0
"Aug 19, 2017",0.000329,0.000415,0.000318,0.000414,388.0,408855.0
"Aug 20, 2017",0.000412,0.000415,0.000327,0.000366,103.0,514407.0
"Aug 21, 2017",0.000365,0.000444,0.000357,0.0004,242.0,455683.0
"Aug 22, 2017",0.000401,0.00055,0.000294,0.000486,2495.0,500321.0
