datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-8-03,0.018737,0.018737,0.013456,0.015591,30593.0,0.0
2017-8-04,0.015633,0.025276,0.013642,0.017548,310904.0,0.0
2017-8-05,0.017493,0.019874,0.016233,0.019226,573192.0,0.0
2017-8-06,0.019364,0.033098,0.019321,0.0264,2683390.0,11618500.0
2017-8-07,0.026162,0.026162,0.022468,0.025697,1122250.0,15697200.0
2017-8-08,0.025753,0.026181,0.019153,0.026181,972596.0,15452100.0
2017-8-09,0.024967,0.036884,0.024967,0.035532,1651950.0,14980200.0
2017-8-10,0.036578,0.065518,0.034908,0.058238,4150970.0,21947000.0
2017-8-11,0.059205,0.098248,0.059205,0.084747,5345970.0,35523100.0
2017-8-12,0.086645,0.097637,0.070346,0.082309,2391150.0,51987200.0
2017-8-13,0.082345,0.093079,0.073918,0.090571,2057130.0,49406900.0
2017-8-14,0.091006,0.185669,0.088502,0.17064,9015780.0,54603700.0
2017-8-15,0.170467,0.173823,0.132964,0.142708,6063050.0,102280000.0
2017-8-16,0.140152,0.16744,0.124014,0.148395,4019170.0,84091100.0
2017-8-17,0.148403,0.152524,0.125403,0.1295,3245070.0,89041600.0
2017-8-18,0.128668,0.160527,0.120707,0.159238,5461690.0,77200500.0
2017-8-19,0.160665,0.18179,0.135437,0.174822,6417990.0,96398700.0
2017-8-20,0.176636,0.257331,0.165119,0.257331,7091820.0,105982000.0
2017-8-21,0.242319,0.261498,0.184282,0.197774,8206680.0,145391000.0
2017-8-22,0.197746,0.197746,0.136344,0.170682,6830020.0,118648000.0
2017-8-23,0.168603,0.173676,0.13138,0.139432,3850250.0,101162000.0
2017-8-24,0.142492,0.160901,0.139767,0.148134,2802790.0,85495400.0
2017-8-25,0.146552,0.162127,0.119329,0.120034,2790640.0,87931300.0
2017-8-26,0.12039,0.13628,0.114624,0.13628,2164480.0,72233800.0
