datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-01,0.00057,0.000956,0.00057,0.00084,19285.0,0.0
2017-6-02,0.000816,0.000891,0.000744,0.000891,11738.0,0.0
2017-6-03,0.000891,0.000967,0.000403,0.000737,7337.0,0.0
2017-6-04,0.00071,0.000765,0.000604,0.000705,5731.0,0.0
2017-6-05,0.000705,0.001075,0.000705,0.001048,6312.0,0.0
2017-6-06,0.001051,0.001141,0.000972,0.001118,1197.0,0.0
2017-6-07,0.001118,0.001351,0.001052,0.001071,854.0,0.0
2017-6-08,0.001076,0.001109,0.000865,0.001094,601.0,0.0
2017-6-09,0.001093,0.001228,0.00109,0.001207,51.0,0.0
2017-6-10,0.001208,0.001322,0.00102,0.001041,77.0,0.0
2017-6-11,0.001041,0.001281,0.001031,0.001281,1.0,0.0
2017-6-12,0.001279,0.001283,0.001007,0.00106,814.0,0.0
2017-6-13,0.001057,0.001249,0.000734,0.000867,1046.0,0.0
2017-6-14,0.000921,0.000921,0.000446,0.000467,283.0,0.0
2017-6-15,0.000467,0.000626,0.000454,0.00058,91.0,0.0
2017-6-16,0.000579,0.000633,0.00055,0.00055,16.0,0.0
2017-6-17,0.00055,0.000749,0.00055,0.000724,64.0,0.0
2017-6-18,0.000724,0.000749,0.000649,0.000649,138.0,0.0
2017-6-19,0.000649,0.000699,0.000649,0.000674,24.0,0.0
2017-6-20,0.000674,0.000749,0.000674,0.000749,0.0,0.0
2017-6-21,0.000749,0.000749,0.000724,0.000724,2.0,0.0
2017-6-22,0.000724,0.001274,0.000724,0.001249,577.0,0.0
2017-6-23,0.001249,0.001575,0.000999,0.001292,155.0,0.0
2017-6-24,0.001291,0.001302,0.001085,0.001106,21.0,0.0
2017-6-25,0.001103,0.001202,0.001052,0.001083,3.0,0.0
2017-6-26,0.001083,0.0011,0.000996,0.001048,22.0,0.0
2017-6-27,0.001048,0.001195,0.000902,0.000987,50.0,0.0
2017-6-28,0.000994,0.001174,0.000956,0.001022,66.0,0.0
2017-6-29,0.001021,0.001024,0.000864,0.001011,152.0,0.0
2017-6-30,0.001013,0.001045,0.000855,0.000858,12.0,0.0
2017-7-01,0.000858,0.001009,0.000831,0.000843,38.0,0.0
2017-7-02,0.000842,0.000903,0.00077,0.0009,88.0,0.0
2017-7-03,0.000896,0.0009,0.000791,0.00089,26.0,0.0
2017-7-04,0.000888,0.000985,0.000878,0.000985,38.0,0.0
2017-7-05,0.000984,0.000984,0.000873,0.000883,3.0,0.0
2017-7-06,0.000884,0.000935,0.000796,0.000805,20.0,0.0
2017-7-07,0.000806,0.000905,0.000799,0.000875,0.0,0.0
2017-7-08,0.000876,0.000886,0.000794,0.000815,31.0,0.0
2017-7-09,0.000816,0.000888,0.0008,0.0008,34.0,0.0
