datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000307,0.000308,0.000278,0.000297,762.0,57730.0
2017-1-02,0.000297,0.000313,0.000276,0.000293,6508.0,56028.0
2017-1-03,0.000279,0.000307,0.000261,0.000261,5692.0,52637.0
2017-1-04,0.000261,0.000297,0.000255,0.00028,1373.0,49261.0
2017-1-05,0.00029,0.000298,0.000233,0.000263,1800.0,54959.0
2017-1-06,0.000263,0.000264,0.000203,0.000223,1549.0,49899.0
2017-1-07,0.000223,0.000263,0.000193,0.000249,5103.0,42389.0
2017-1-08,0.000249,0.000271,0.000224,0.000259,530.0,47360.0
2017-1-09,0.00026,0.000287,0.000238,0.000266,966.0,49463.0
2017-1-10,0.000266,0.000284,0.000258,0.000282,743.0,50586.0
2017-1-11,0.000277,0.000335,0.000238,0.000243,1655.0,52773.0
2017-1-12,0.000243,0.000274,0.000239,0.000271,1144.0,46406.0
2017-1-13,0.000271,0.000302,0.000234,0.00027,691.0,51770.0
2017-1-14,0.00027,0.000294,0.000269,0.00027,240.0,51731.0
2017-1-15,0.00027,0.000303,0.000204,0.000231,2588.0,51672.0
2017-1-16,0.000231,0.000248,0.0002,0.000208,1617.0,44284.0
2017-1-17,0.000208,0.000239,0.000201,0.000226,195.0,39957.0
2017-1-18,0.000227,0.00025,0.000213,0.000228,5207.0,43574.0
2017-1-19,0.000227,0.000241,0.00019,0.000207,3447.0,43778.0
2017-1-20,0.000207,0.000216,0.000195,0.000197,4337.0,39904.0
2017-1-21,0.000197,0.000249,0.000188,0.000221,8817.0,38014.0
2017-1-22,0.000218,0.000231,0.000206,0.000215,4356.0,42102.0
2017-1-23,0.000215,0.000231,0.000203,0.000221,1689.0,41671.0
2017-1-24,0.000212,0.000233,0.000207,0.000227,7819.0,41061.0
2017-1-25,0.000229,0.00023,0.000198,0.000207,1292.0,44411.0
2017-1-26,0.000215,0.000219,0.00019,0.000211,3536.0,41701.0
2017-1-27,0.000211,0.000229,0.000203,0.000221,2264.0,41011.0
2017-1-28,0.000221,0.000221,0.000187,0.000203,2695.0,42971.0
2017-1-29,0.000204,0.000212,0.000171,0.000201,1632.0,39709.0
2017-1-30,0.000201,0.000218,0.000185,0.000204,994.0,39225.0
2017-1-31,0.000203,0.000214,0.000194,0.000213,341.0,39767.0
2017-2-01,0.000206,0.000231,0.000185,0.000198,2286.0,40365.0
2017-2-02,0.000198,0.000209,0.000187,0.000202,1685.0,38770.0
2017-2-03,0.000202,0.000237,0.000184,0.000226,4022.0,39668.0
2017-2-04,0.000227,0.000317,0.000223,0.000288,4887.0,44529.0
2017-2-05,0.000278,0.000412,0.000278,0.00039,3668.0,54757.0
2017-2-06,0.0004,0.000488,0.000314,0.000395,2868.0,78792.0
2017-2-07,0.000406,0.000573,0.000397,0.000457,4702.0,80012.0
2017-2-08,0.000468,0.000576,0.000417,0.000447,2788.0,92338.0
2017-2-09,0.000438,0.000464,0.000291,0.000358,1866.0,86657.0
2017-2-10,0.000358,0.000423,0.000329,0.000376,1729.0,70856.0
2017-2-11,0.000376,0.000402,0.000353,0.000372,665.0,74481.0
2017-2-12,0.000371,0.000469,0.000341,0.00037,2155.0,73660.0
2017-2-13,0.00037,0.00039,0.000334,0.000366,1102.0,73397.0
2017-2-14,0.000356,0.000372,0.000347,0.000352,625.0,70877.0
2017-2-15,0.000352,0.000372,0.000342,0.000353,994.0,70108.0
2017-2-16,0.000353,0.000372,0.000336,0.00034,718.0,70281.0
2017-2-17,0.00034,0.000361,0.000325,0.000345,734.0,67862.0
2017-2-18,0.000346,0.000379,0.000325,0.000355,771.0,69165.0
2017-2-19,0.000355,0.000378,0.000325,0.000335,521.0,71090.0
2017-2-20,0.000335,0.000357,0.00031,0.000325,742.0,67173.0
2017-2-21,0.000325,0.000348,0.000236,0.00029,3658.0,65155.0
2017-2-22,0.00029,0.00029,0.000235,0.000246,2120.0,58181.0
2017-2-23,0.000235,0.000269,0.000222,0.000222,2796.0,47170.0
2017-2-24,0.000223,0.000262,0.000222,0.000235,409.0,44864.0
2017-2-25,0.000234,0.000288,0.000221,0.000251,1104.0,47237.0
2017-2-26,0.000252,0.000268,0.000219,0.000256,2312.0,50743.0
2017-2-27,0.000256,0.000258,0.000212,0.000236,4835.0,51706.0
2017-2-28,0.000236,0.000258,0.0002,0.000248,1904.0,47693.0
2017-3-01,0.000248,0.000267,0.000229,0.000257,1010.0,50125.0
2017-3-02,0.000257,0.000269,0.000221,0.00025,3146.0,52118.0
2017-3-03,0.00025,0.000267,0.000238,0.000267,421.0,50717.0
2017-3-04,0.000268,0.000276,0.000242,0.000276,746.0,54394.0
2017-3-05,0.000276,0.000316,0.000261,0.000304,2354.0,56065.0
2017-3-06,0.000304,0.000304,0.000254,0.000267,2027.0,61864.0
2017-3-07,0.000267,0.000343,0.000241,0.000263,370.0,54491.0
2017-3-08,0.000263,0.000271,0.000234,0.000242,569.0,53673.0
2017-3-09,0.000242,0.000274,0.000234,0.000261,1081.0,49396.0
2017-3-10,0.00025,0.000267,0.000219,0.000237,3540.0,51107.0
2017-3-11,0.000226,0.000262,0.000219,0.000223,2588.0,46299.0
2017-3-12,0.000224,0.000247,0.000218,0.000232,2524.0,45828.0
2017-3-13,0.000232,0.000248,0.00022,0.000246,1796.0,47699.0
2017-3-14,0.000246,0.000259,0.000233,0.000248,1656.0,50508.0
2017-3-15,0.000248,0.000262,0.000236,0.00025,2093.0,51071.0
2017-3-16,0.00025,0.00027,0.000231,0.000238,1921.0,51565.0
2017-3-17,0.000236,0.000241,0.00022,0.000227,2664.0,48699.0
2017-3-18,0.000227,0.000231,0.000207,0.000219,3660.0,46910.0
2017-3-19,0.00022,0.000246,0.000211,0.000228,2069.0,45420.0
2017-3-20,0.000228,0.000274,0.000227,0.000263,3000.0,47195.0
2017-3-21,0.000263,0.000276,0.000214,0.000243,4455.0,54472.0
2017-3-22,0.000243,0.000998,0.000213,0.000217,2223.0,50340.0
