datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 25, 2017",0.000856,0.000856,0.000855,0.000856,5.0,2081.0
"Jan 26, 2017",0.000856,0.000865,0.000828,0.000835,12.0,2083.0
"Jan 27, 2017",0.000835,0.000839,0.000754,0.000754,3.0,2031.0
"Jan 28, 2017",0.000754,0.00095,0.000701,0.000949,4.0,1835.0
"Jan 29, 2017",0.000949,0.00132,0.000747,0.000754,17.0,2309.0
"Jan 30, 2017",0.000754,0.001338,0.000754,0.001335,8.0,1834.0
"Jan 31, 2017",0.001335,0.001361,0.001292,0.001359,1.0,3247.0
"Feb 01, 2017",0.001359,0.001379,0.000893,0.001058,17.0,3305.0
"Feb 02, 2017",0.001058,0.001429,0.001052,0.001427,4.0,2574.0
"Feb 03, 2017",0.001426,0.001483,0.001422,0.001483,1.0,3469.0
"Feb 04, 2017",0.001485,0.001489,0.000954,0.001043,11.0,3613.0
"Feb 05, 2017",0.001044,0.001044,0.001022,0.001027,0.0,2539.0
"Feb 06, 2017",0.001028,0.001059,0.001028,0.001059,0.0,2502.0
"Feb 07, 2017",0.001061,0.001083,0.000941,0.001083,0.0,2581.0
"Feb 08, 2017",0.001084,0.001103,0.001058,0.001095,0.0,2636.0
"Feb 09, 2017",0.001097,0.001122,0.001097,0.001109,0.0,2668.0
"Feb 10, 2017",0.001025,0.001351,0.000845,0.0009,13.0,2493.0
"Feb 11, 2017",0.0009,0.000918,0.000894,0.000918,0.0,2189.0
"Feb 17, 2017",0.00091,0.000926,0.000908,0.00091,11.0,2214.0
"Feb 18, 2017",0.000913,0.000923,0.000911,0.000921,0.0,2221.0
"Feb 20, 2017",0.00094,0.00106,0.00094,0.001016,2.0,2286.0
"Feb 21, 2017",0.001015,0.001197,0.000996,0.001026,1.0,2470.0
"Feb 22, 2017",0.001026,0.001026,0.001013,0.001016,1.0,2495.0
"Feb 23, 2017",0.001319,0.001324,0.001061,0.001116,1.0,3209.0
"Feb 24, 2017",0.001108,0.001117,0.001108,0.001111,0.0,2696.0
"Feb 25, 2017",0.001379,0.001379,0.001097,0.001098,5.0,3354.0
"Feb 26, 2017",0.001098,0.001121,0.001085,0.001119,5.0,2671.0
"Feb 27, 2017",0.003163,0.003166,0.001166,0.001462,2100.0,7695.0
"Feb 28, 2017",0.001463,0.002247,0.001109,0.001109,103.0,3560.0
"Mar 01, 2017",0.001109,0.001467,0.001109,0.001467,7.0,2698.0
"Mar 02, 2017",0.001467,0.001476,0.001218,0.001264,8.0,3569.0
"Mar 03, 2017",0.001264,0.001293,0.001263,0.001288,1.0,3074.0
"Mar 04, 2017",0.00129,0.001292,0.001186,0.001193,1.0,3139.0
"Mar 05, 2017",0.001129,0.00128,0.001114,0.00128,46.0,2746.0
"Mar 06, 2017",0.00128,0.001289,0.001172,0.001285,1.0,3113.0
"Mar 07, 2017",0.001286,0.001288,0.001219,0.001236,2.0,3128.0
"Mar 08, 2017",0.001235,0.001244,0.001177,0.001232,2.0,3006.0
"Mar 09, 2017",0.001053,0.001078,0.001042,0.00107,2.0,2562.0
"Mar 10, 2017",0.00107,0.001078,0.00106,0.00106,2.0,2602.0
"Mar 13, 2017",0.001246,0.00125,0.001121,0.001244,3.0,3032.0
"Mar 14, 2017",0.001244,0.001257,0.001233,0.001254,0.0,3027.0
"Mar 15, 2017",0.001259,0.001264,0.001255,0.001262,5.0,3062.0
