datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.028258,0.032105,0.02548,0.03068,30.0,0.0
"Jan 02, 2017",0.030689,0.034282,0.020093,0.028151,146.0,0.0
"Jan 03, 2017",0.028151,0.029879,0.024055,0.024281,35.0,0.0
"Jan 04, 2017",0.024281,0.034436,0.012188,0.029043,311.0,0.0
"Jan 05, 2017",0.029093,0.032859,0.012359,0.022179,30.0,0.0
"Jan 06, 2017",0.022198,0.023527,0.012925,0.013925,130.0,0.0
"Jan 07, 2017",0.013944,0.017133,0.012821,0.016863,15.0,0.0
"Jan 08, 2017",0.016856,0.0217,0.009796,0.021649,232.0,0.0
"Jan 09, 2017",0.021679,0.021738,0.012062,0.01296,14.0,0.0
"Jan 10, 2017",0.012955,0.016525,0.012952,0.014523,176.0,0.0
"Jan 11, 2017",0.014523,0.018808,0.012479,0.013138,14.0,0.0
"Jan 12, 2017",0.013138,0.016526,0.009169,0.016097,108.0,0.0
"Jan 13, 2017",0.016075,0.016183,0.013334,0.013374,7.0,0.0
"Jan 14, 2017",0.013374,0.014659,0.012848,0.013761,12.0,0.0
"Jan 15, 2017",0.013751,0.014477,0.010206,0.012322,131.0,0.0
"Jan 16, 2017",0.012321,0.013513,0.012299,0.012961,52.0,0.0
"Jan 17, 2017",0.012964,0.022295,0.012937,0.0181,14.0,0.0
"Jan 18, 2017",0.01814,0.018301,0.013607,0.01378,15.0,0.0
"Jan 19, 2017",0.01378,0.014457,0.012374,0.014391,10.0,0.0
"Jan 20, 2017",0.014385,0.014385,0.013584,0.013632,63.0,0.0
"Jan 21, 2017",0.013632,0.014747,0.013632,0.014509,14.0,0.0
"Jan 22, 2017",0.014515,0.014807,0.013463,0.013883,594.0,0.0
"Jan 23, 2017",0.013911,0.013981,0.013757,0.013911,121.0,0.0
"Jan 24, 2017",0.013747,0.014692,0.013623,0.014363,11.0,0.0
"Jan 25, 2017",0.014363,0.01512,0.013404,0.014597,22.0,0.0
"Jan 26, 2017",0.014611,0.014839,0.012594,0.014835,16.0,0.0
"Jan 27, 2017",0.014835,0.016516,0.012812,0.015085,13.0,0.0
"Jan 28, 2017",0.015085,0.017611,0.014805,0.016162,28.0,0.0
"Jan 29, 2017",0.01617,0.025678,0.01154,0.025648,228.0,0.0
"Jan 30, 2017",0.025665,0.026937,0.022848,0.022848,41.0,0.0
"Jan 31, 2017",0.022848,0.02785,0.022848,0.024621,14.0,0.0
"Feb 01, 2017",0.024621,0.027523,0.024003,0.024178,35.0,0.0
"Feb 02, 2017",0.0242,0.030308,0.023667,0.030291,50.0,0.0
"Feb 03, 2017",0.030281,0.033435,0.025785,0.027187,40.0,0.0
"Feb 04, 2017",0.027225,0.030325,0.015667,0.015718,39.0,0.0
"Feb 05, 2017",0.015727,0.036231,0.015671,0.035229,388.0,0.0
"Feb 06, 2017",0.035265,0.068208,0.035257,0.050829,598.0,0.0
"Feb 07, 2017",0.050927,0.085421,0.022281,0.057319,212.0,0.0
"Feb 08, 2017",0.057329,0.057574,0.019044,0.019974,188.0,0.0
"Feb 09, 2017",0.019999,0.031458,0.010744,0.021137,107.0,0.0
"Feb 10, 2017",0.021152,0.034213,0.020575,0.022879,47.0,0.0
"Feb 11, 2017",0.022884,0.25988,0.017851,0.259833,48962.0,0.0
"Feb 12, 2017",0.259833,0.259833,0.256359,0.256584,24309.0,0.0
"Feb 13, 2017",0.256585,0.259957,0.02207,0.259647,30674.0,0.0
"Feb 14, 2017",0.259647,0.25984,0.259403,0.259814,36502.0,0.0
"Feb 15, 2017",0.259813,0.264718,0.259534,0.264445,45359.0,0.0
"Feb 16, 2017",0.264445,0.269326,0.264203,0.268518,28521.0,0.0
"Feb 17, 2017",0.268519,0.279506,0.268177,0.27923,39623.0,0.0
"Feb 18, 2017",0.279228,0.289637,0.278313,0.289575,40277.0,0.0
"Feb 19, 2017",0.289575,0.300115,0.289338,0.298373,47638.0,0.0
"Feb 20, 2017",0.298373,0.298771,0.294906,0.298771,66019.0,0.0
"Feb 21, 2017",0.298772,0.299912,0.29837,0.299075,57144.0,0.0
"Feb 22, 2017",0.299075,0.299079,0.02781,0.034569,47.0,0.0
"Feb 23, 2017",0.034564,0.309912,0.033948,0.036045,40.0,0.0
"Feb 24, 2017",0.03623,0.30466,0.023791,0.035191,55.0,0.0
"Feb 25, 2017",0.035093,0.314274,0.023667,0.312765,22568.0,0.0
"Feb 26, 2017",0.312764,0.313506,0.310889,0.312328,15787.0,0.0
"Feb 27, 2017",0.312331,0.31472,0.31232,0.314197,20608.0,0.0
"Feb 28, 2017",0.314197,0.319075,0.311644,0.317374,20798.0,0.0
"Mar 01, 2017",0.317373,0.319266,0.314401,0.314401,24067.0,0.0
"Mar 02, 2017",0.314392,0.332147,0.306206,0.331967,38070.0,0.0
"Mar 03, 2017",0.331967,0.349363,0.330413,0.347943,22138.0,0.0
"Mar 04, 2017",0.34794,0.348937,0.347518,0.348531,17580.0,0.0
"Mar 05, 2017",0.348532,0.349977,0.348532,0.349406,36904.0,0.0
"Mar 06, 2017",0.349405,0.349632,0.347831,0.349179,43249.0,0.0
"Mar 07, 2017",0.349179,0.349739,0.348376,0.349581,42556.0,0.0
"Mar 08, 2017",0.349581,0.349848,0.349012,0.349618,40171.0,0.0
"Mar 09, 2017",0.349618,0.349787,0.349451,0.349612,45472.0,0.0
"Mar 10, 2017",0.349612,0.359896,0.34961,0.359857,58627.0,0.0
"Mar 11, 2017",0.359857,0.359857,0.358503,0.359246,55559.0,0.0
"Mar 12, 2017",0.359245,0.369917,0.359214,0.367408,37807.0,0.0
"Mar 13, 2017",0.367408,0.36845,0.360922,0.366867,63051.0,0.0
"Mar 14, 2017",0.366866,0.398146,0.365795,0.396549,51586.0,0.0
"Mar 15, 2017",0.396549,0.399298,0.39604,0.398942,67989.0,0.0
"Mar 16, 2017",0.39894,0.4595,0.398937,0.459473,79227.0,0.0
"Mar 17, 2017",0.459475,0.469765,0.458505,0.468315,67473.0,0.0
"Mar 18, 2017",0.468316,0.498525,0.468264,0.498054,86038.0,0.0
"Mar 19, 2017",0.49805,0.498722,0.485675,0.498471,92324.0,0.0
"Mar 20, 2017",0.498471,0.499532,0.494484,0.495063,63208.0,0.0
"Mar 21, 2017",0.495059,0.49589,0.490559,0.495489,55669.0,0.0
"Mar 22, 2017",0.495488,0.49953,0.495488,0.499426,75995.0,0.0
"Mar 23, 2017",0.499426,0.499426,0.49792,0.497956,47469.0,0.0
"Mar 24, 2017",0.497957,0.498847,0.489298,0.497738,110011.0,0.0
"Mar 25, 2017",0.49715,0.499066,0.494045,0.498939,108822.0,0.0
"Mar 26, 2017",0.499739,0.499779,0.496993,0.498619,130600.0,0.0
"Mar 27, 2017",0.498612,0.499073,0.497317,0.497612,43946.0,0.0
"Mar 28, 2017",0.497614,0.499364,0.497439,0.499041,112729.0,0.0
"Mar 29, 2017",0.499042,0.499711,0.497765,0.499526,89077.0,0.0
"Mar 30, 2017",0.499525,0.499732,0.496175,0.499286,128984.0,0.0
"Mar 31, 2017",0.499286,0.499777,0.498138,0.498336,62813.0,0.0
"Apr 01, 2017",0.498336,0.499653,0.495503,0.499638,133764.0,0.0
"Apr 02, 2017",0.499638,0.499782,0.499116,0.499117,88768.0,0.0
"Apr 03, 2017",0.499116,0.499492,0.498464,0.499215,115359.0,0.0
"Apr 04, 2017",0.499214,0.499396,0.496528,0.498389,106867.0,0.0
"Apr 05, 2017",0.498388,0.499435,0.496908,0.499265,166058.0,0.0
"Apr 06, 2017",0.499264,0.499327,0.498169,0.498981,104654.0,0.0
"Apr 07, 2017",0.498984,0.499316,0.496545,0.496553,88143.0,0.0
"Apr 08, 2017",0.496563,0.499679,0.496563,0.499575,155492.0,0.0
"Apr 09, 2017",0.499575,0.499711,0.498736,0.49954,188446.0,0.0
"Apr 10, 2017",0.49954,0.499827,0.499059,0.499594,165355.0,0.0
"Apr 11, 2017",0.499594,0.499603,0.498026,0.498902,126806.0,0.0
"Apr 12, 2017",0.498902,0.499591,0.49845,0.49871,106899.0,0.0
"Apr 13, 2017",0.49871,0.499807,0.498255,0.499717,157507.0,0.0
"Apr 14, 2017",0.499717,0.499824,0.499429,0.499824,202480.0,0.0
"Apr 15, 2017",0.499824,0.499933,0.499021,0.499466,156662.0,0.0
"Apr 16, 2017",0.499466,0.499807,0.49945,0.499807,197062.0,0.0
"Apr 17, 2017",0.499807,0.499821,0.498642,0.498642,188145.0,0.0
"Apr 18, 2017",0.498602,0.499757,0.49717,0.499757,203315.0,0.0
"Apr 19, 2017",0.499795,0.499906,0.499689,0.499866,114475.0,0.0
"Apr 20, 2017",0.499866,0.499867,0.499548,0.499749,176177.0,0.0
"Apr 21, 2017",0.499749,0.499946,0.499707,0.499742,157281.0,0.0
"Apr 22, 2017",0.499742,0.499816,0.498795,0.499512,162674.0,0.0
"Apr 23, 2017",0.499512,0.499959,0.499208,0.499945,223757.0,0.0
"Apr 24, 2017",0.499945,0.499979,0.499874,0.499935,162743.0,0.0
"Apr 25, 2017",0.499935,0.499964,0.499916,0.49995,186729.0,0.0
"Apr 26, 2017",0.49995,0.499958,0.499785,0.499921,175896.0,0.0
"Apr 27, 2017",0.499921,0.499955,0.498862,0.498995,197688.0,0.0
"Apr 28, 2017",0.498995,0.499951,0.498368,0.499944,210074.0,0.0
"Apr 29, 2017",0.499944,0.499988,0.499917,0.499917,165678.0,0.0
"Apr 30, 2017",0.499917,0.499944,0.499843,0.499944,251886.0,0.0
"May 01, 2017",0.499944,0.499989,0.499745,0.499746,122509.0,0.0
"May 02, 2017",0.499746,0.599875,0.499746,0.599762,242317.0,0.0
