datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",7e-06,1e-05,2e-06,2e-06,3.0,144206.0
"Jan 02, 2017",2e-06,2e-06,2e-06,2e-06,0.0,42196.0
"Jan 03, 2017",2e-06,3e-06,2e-06,2e-06,60.0,49956.0
"Jan 04, 2017",2e-06,2e-06,2e-06,2e-06,4.0,48198.0
"Jan 05, 2017",2e-06,3e-06,2e-06,3e-06,0.0,40499.0
"Jan 06, 2017",3e-06,6e-06,2e-06,2e-06,5.0,71840.0
"Jan 07, 2017",2e-06,3e-06,2e-06,3e-06,2.0,39925.0
"Jan 08, 2017",3e-06,3e-06,2e-06,2e-06,3.0,67897.0
"Jan 09, 2017",2e-06,2e-06,2e-06,2e-06,0.0,38633.0
"Jan 10, 2017",2e-06,2e-06,2e-06,2e-06,0.0,40067.0
"Jan 11, 2017",2e-06,2e-06,2e-06,2e-06,2.0,38857.0
"Jan 12, 2017",2e-06,2e-06,2e-06,2e-06,3.0,35444.0
"Jan 13, 2017",2e-06,8e-06,2e-06,2e-06,4.0,39344.0
"Jan 14, 2017",2e-06,2e-06,2e-06,2e-06,20.0,37665.0
"Jan 15, 2017",2e-06,7e-06,2e-06,4e-06,2.0,49618.0
"Jan 16, 2017",4e-06,5e-06,2e-06,2e-06,60.0,93283.0
"Jan 17, 2017",2e-06,2e-06,2e-06,2e-06,42.0,47091.0
"Jan 18, 2017",2e-06,2e-06,2e-06,2e-06,21.0,45943.0
"Jan 19, 2017",2e-06,2e-06,2e-06,2e-06,0.0,35238.0
"Jan 20, 2017",2e-06,2e-06,2e-06,2e-06,148.0,40192.0
"Jan 21, 2017",2e-06,2e-06,2e-06,2e-06,7.0,45149.0
"Jan 22, 2017",2e-06,2e-06,2e-06,2e-06,3.0,38179.0
"Jan 23, 2017",2e-06,3e-06,2e-06,2e-06,0.0,32512.0
"Jan 24, 2017",2e-06,3e-06,1e-06,2e-06,1.0,32096.0
"Jan 25, 2017",2e-06,3e-06,2e-06,2e-06,0.0,50995.0
"Jan 26, 2017",2e-06,3e-06,2e-06,2e-06,0.0,35453.0
"Jan 27, 2017",2e-06,2e-06,2e-06,2e-06,0.0,41348.0
"Jan 28, 2017",2e-06,2e-06,1e-06,2e-06,21.0,35651.0
"Jan 29, 2017",2e-06,2e-06,1e-06,2e-06,47.0,41597.0
"Jan 30, 2017",2e-06,2e-06,2e-06,2e-06,0.0,41368.0
