datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.526508,0.529052,0.502456,0.505823,387779.0,43198000.0
"Jul 25, 2017",0.50599,0.506583,0.418198,0.435953,589198.0,41514600.0
"Jul 26, 2017",0.435623,0.460142,0.418595,0.441359,383921.0,35741200.0
"Jul 27, 2017",0.446103,0.463071,0.435809,0.443281,289683.0,36601100.0
"Jul 28, 2017",0.445259,0.449938,0.410176,0.424174,454347.0,36531800.0
"Jul 29, 2017",0.422664,0.446534,0.388389,0.444749,438340.0,34678000.0
"Jul 30, 2017",0.443938,0.443938,0.405067,0.411518,234601.0,36423500.0
"Jul 31, 2017",0.411825,0.423445,0.381533,0.413068,459826.0,33788700.0
"Aug 01, 2017",0.413178,0.473369,0.408623,0.451735,415954.0,33899700.0
"Aug 02, 2017",0.451504,0.4814,0.441526,0.453948,365485.0,37044200.0
"Aug 03, 2017",0.453781,0.474449,0.442413,0.464288,347490.0,37231000.0
"Aug 04, 2017",0.464103,0.487061,0.451466,0.459193,396657.0,38077900.0
"Aug 05, 2017",0.461662,0.535398,0.459519,0.497639,472518.0,37877700.0
"Aug 06, 2017",0.497729,0.505674,0.471336,0.48699,431335.0,40836800.0
"Aug 07, 2017",0.485087,0.567392,0.450668,0.555463,675601.0,39799600.0
"Aug 08, 2017",0.556208,0.579326,0.511473,0.519634,528111.0,45634800.0
"Aug 09, 2017",0.520132,0.549058,0.510215,0.528211,349983.0,42674900.0
"Aug 10, 2017",0.527435,0.531493,0.502068,0.502068,757379.0,43274100.0
"Aug 11, 2017",0.506645,0.587005,0.481427,0.582874,979253.0,41568300.0
"Aug 12, 2017",0.582702,0.614434,0.561276,0.574381,783573.0,47808500.0
"Aug 13, 2017",0.575286,0.634509,0.55357,0.608425,842109.0,47200100.0
"Aug 14, 2017",0.606155,0.761699,0.591926,0.687345,2022120.0,49732700.0
"Aug 15, 2017",0.689049,1.02,0.689049,0.858865,5873560.0,56533900.0
"Aug 16, 2017",0.862138,0.898277,0.752963,0.809808,1849520.0,70735300.0
"Aug 17, 2017",0.809193,0.906663,0.791437,0.835305,1555390.0,66391300.0
"Aug 18, 2017",0.833387,0.88279,0.775199,0.792814,1342520.0,68376400.0
"Aug 19, 2017",0.792081,0.830439,0.64925,0.749638,1891620.0,64987300.0
"Aug 20, 2017",0.752113,0.797112,0.698878,0.796741,1437620.0,61708000.0
"Aug 21, 2017",0.793833,0.900433,0.739025,0.766425,2309210.0,65131100.0
"Aug 22, 2017",0.754122,0.76986,0.64297,0.712148,1174820.0,61872900.0
