datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.040999,0.052072,0.040999,0.052057,697.0,0.0
"Jan 02, 2017",0.052059,0.061733,0.04752,0.048556,290.0,0.0
"Jan 03, 2017",0.048547,0.055797,0.0394,0.039588,1412.0,0.0
"Jan 04, 2017",0.03959,0.058985,0.03959,0.058929,376.0,0.0
"Jan 05, 2017",0.058926,0.09308,0.041111,0.041181,1143.0,0.0
"Jan 06, 2017",0.04119,0.055727,0.037322,0.037706,593.0,0.0
"Jan 07, 2017",0.037704,0.380462,0.036848,0.040412,175.0,0.0
"Jan 08, 2017",0.040413,0.434849,0.040342,0.149912,42.0,0.0
"Jan 09, 2017",0.149886,0.151176,0.039334,0.145374,250.0,0.0
"Jan 10, 2017",0.145381,0.168831,0.03967,0.041805,94.0,0.0
"Jan 11, 2017",0.041814,0.068215,0.028975,0.033477,774.0,0.0
"Jan 12, 2017",0.033491,0.041523,0.029652,0.030634,335.0,0.0
"Jan 13, 2017",0.03045,0.055114,0.029577,0.052009,433.0,0.0
"Jan 14, 2017",0.05212,0.057862,0.037652,0.039059,144.0,0.0
"Jan 15, 2017",0.039045,0.052405,0.039032,0.052045,129.0,0.0
"Jan 16, 2017",0.052043,0.063736,0.045487,0.045553,169.0,0.0
"Jan 17, 2017",0.045565,0.095233,0.041042,0.094219,254.0,0.0
"Jan 18, 2017",0.09428,0.096086,0.041525,0.050956,1446.0,0.0
"Jan 19, 2017",0.051167,0.05166,0.037136,0.040046,321.0,0.0
"Jan 20, 2017",0.040029,0.04469,0.038019,0.04192,2729.0,0.0
"Jan 21, 2017",0.040276,0.042627,0.038911,0.039759,921.0,0.0
"Jan 22, 2017",0.03978,0.043377,0.039773,0.041406,18.0,0.0
"Jan 23, 2017",0.041473,0.042738,0.039163,0.041436,2042.0,0.0
"Jan 24, 2017",0.040945,0.054257,0.040577,0.046511,1841.0,0.0
"Jan 25, 2017",0.046532,0.048152,0.030535,0.047866,571.0,0.0
"Jan 26, 2017",0.047924,0.060457,0.039471,0.040673,201.0,0.0
"Jan 27, 2017",0.040673,0.041161,0.036499,0.037586,52.0,0.0
"Jan 28, 2017",0.037584,0.048471,0.037533,0.046667,80.0,0.0
"Jan 29, 2017",0.046667,0.06235,0.030662,0.032215,131.0,0.0
"Jan 30, 2017",0.032214,0.041156,0.031234,0.03355,132.0,0.0
"Jan 31, 2017",0.033543,0.052919,0.032107,0.04636,497.0,0.0
"Feb 01, 2017",0.046355,0.047539,0.034658,0.044841,46.0,0.0
"Feb 02, 2017",0.044837,0.044966,0.029755,0.034133,246.0,0.0
"Feb 03, 2017",0.034139,0.046554,0.034129,0.045497,197.0,0.0
"Feb 04, 2017",0.045505,0.04552,0.034439,0.03812,42.0,0.0
"Feb 05, 2017",0.038136,0.038297,0.019256,0.033467,572.0,0.0
"Feb 06, 2017",0.033501,0.079666,0.023063,0.047476,55.0,0.0
"Feb 07, 2017",0.047567,0.057481,0.025455,0.030669,179.0,0.0
"Feb 08, 2017",0.030678,0.036609,0.030678,0.032143,1209.0,0.0
"Feb 09, 2017",0.032158,0.033534,0.028854,0.02932,950.0,0.0
"Feb 10, 2017",0.029247,0.029476,0.028932,0.028936,156.0,0.0
"Feb 11, 2017",0.02893,0.03156,0.02892,0.029193,306.0,0.0
"Feb 12, 2017",0.029192,0.029546,0.029055,0.02917,347.0,0.0
"Feb 13, 2017",0.029145,0.029276,0.021826,0.029056,3159.0,0.0
"Feb 14, 2017",0.029055,0.029055,0.021941,0.022356,2592.0,0.0
"Feb 15, 2017",0.022361,0.033741,0.022232,0.031967,1297.0,0.0
"Feb 16, 2017",0.031962,0.03204,0.029938,0.030473,162.0,0.0
"Feb 17, 2017",0.030463,0.030705,0.02602,0.029163,451.0,0.0
"Feb 18, 2017",0.029196,0.031835,0.029179,0.030082,72.0,0.0
"Feb 19, 2017",0.029825,0.030972,0.026599,0.026599,93.0,0.0
"Feb 20, 2017",0.026568,0.029501,0.026141,0.029133,23.0,0.0
"Feb 21, 2017",0.029117,0.030889,0.025579,0.02596,462.0,0.0
"Feb 22, 2017",0.025959,0.027438,0.024206,0.025075,559.0,0.0
"Feb 23, 2017",0.025082,0.025333,0.02472,0.024752,1213.0,0.0
"Feb 24, 2017",0.024756,0.030141,0.024401,0.030136,118.0,0.0
"Feb 25, 2017",0.030103,0.113178,0.02984,0.113139,5.0,0.0
"Feb 26, 2017",0.11313,0.115598,0.025147,0.02612,102.0,0.0
"Feb 27, 2017",0.02603,0.026405,0.024373,0.025511,694.0,0.0
"Feb 28, 2017",0.025525,0.036069,0.024851,0.024982,551.0,0.0
"Mar 01, 2017",0.024989,0.027687,0.017846,0.017951,1256.0,0.0
"Mar 02, 2017",0.017955,0.025474,0.017502,0.025424,12.0,0.0
"Mar 03, 2017",0.025418,0.036526,0.020956,0.034943,9931.0,0.0
"Mar 04, 2017",0.034958,0.041443,0.033905,0.041437,388.0,0.0
"Mar 05, 2017",0.041432,0.041432,0.029052,0.030037,1012.0,0.0
"Mar 06, 2017",0.030021,0.039851,0.027579,0.02787,512.0,0.0
"Mar 07, 2017",0.027874,0.06152,0.026432,0.061505,113.0,0.0
"Mar 08, 2017",0.061485,0.452143,0.027959,0.027965,132.0,0.0
"Mar 09, 2017",0.027959,0.027973,0.027255,0.027258,16.0,0.0
"Mar 10, 2017",0.027278,0.031117,0.027278,0.030079,381.0,0.0
"Mar 11, 2017",0.030088,0.030208,0.023959,0.024462,28.0,0.0
"Mar 12, 2017",0.024479,0.036186,0.024453,0.033321,101.0,0.0
"Mar 13, 2017",0.033513,0.042401,0.033512,0.038506,222.0,0.0
"Mar 14, 2017",0.038506,0.063454,0.034245,0.036327,943.0,0.0
"Mar 15, 2017",0.036333,0.036388,0.02893,0.032428,8.0,0.0
"Mar 16, 2017",0.032472,0.03283,0.022497,0.029489,33.0,0.0
"Mar 17, 2017",0.023881,0.031627,0.022037,0.031617,1105.0,0.0
"Mar 18, 2017",0.031667,0.03321,0.028903,0.032475,193.0,0.0
"Mar 19, 2017",0.032476,0.032628,0.027321,0.03039,1213.0,0.0
"Mar 20, 2017",0.030359,0.038537,0.030338,0.038531,13.0,0.0
"Mar 21, 2017",0.038572,0.038934,0.015465,0.025868,307.0,0.0
"Mar 22, 2017",0.02587,0.027526,0.02345,0.023967,8413.0,0.0
"Mar 23, 2017",0.023983,0.038845,0.02361,0.027532,4314.0,0.0
"Mar 24, 2017",0.027534,0.028995,0.027498,0.027578,1797.0,0.0
"Mar 25, 2017",0.027602,0.027603,0.02158,0.025918,1032.0,0.0
"Mar 26, 2017",0.025931,0.029068,0.022176,0.022345,160.0,0.0
"Mar 27, 2017",0.022468,0.028705,0.022468,0.025451,53.0,0.0
"Mar 28, 2017",0.025446,0.030798,0.022257,0.022752,32.0,0.0
"Mar 29, 2017",0.022729,0.029706,0.021782,0.029306,861.0,0.0
"Mar 30, 2017",0.029331,0.038322,0.023446,0.026007,4830.0,0.0
"Mar 31, 2017",0.026016,0.029012,0.025149,0.027506,1335.0,0.0
"Apr 01, 2017",0.027512,0.030137,0.025228,0.0275,597.0,0.0
"Apr 02, 2017",0.027501,0.037243,0.024816,0.037242,182.0,0.0
"Apr 03, 2017",0.037282,0.037544,0.031275,0.033506,1361.0,0.0
"Apr 04, 2017",0.033539,0.033617,0.026119,0.026561,342.0,0.0
"Apr 05, 2017",0.026573,0.040524,0.026097,0.036192,3854.0,0.0
"Apr 06, 2017",0.036202,0.037653,0.030355,0.030391,619.0,0.0
"Apr 07, 2017",0.030399,0.037544,0.027363,0.032396,1643.0,0.0
"Apr 08, 2017",0.032359,0.033026,0.028844,0.032405,331.0,0.0
"Apr 09, 2017",0.032406,0.032411,0.027504,0.030523,2879.0,0.0
"Apr 10, 2017",0.030521,0.030984,0.030312,0.030984,505.0,0.0
"Apr 11, 2017",0.030995,0.032245,0.027497,0.030417,652.0,0.0
"Apr 12, 2017",0.030464,0.032029,0.030464,0.032023,1229.0,0.0
"Apr 13, 2017",0.031998,0.03224,0.02874,0.029059,379.0,0.0
"Apr 14, 2017",0.029038,0.032085,0.029034,0.032083,365.0,0.0
"Apr 15, 2017",0.032063,0.032117,0.027587,0.029146,1172.0,0.0
"Apr 16, 2017",0.029156,0.029745,0.028537,0.028842,267.0,0.0
"Apr 17, 2017",0.028821,0.034592,0.027555,0.033789,340.0,0.0
"Apr 18, 2017",0.033835,0.037211,0.027842,0.029728,630.0,0.0
"Apr 19, 2017",0.029748,0.031452,0.027622,0.027622,965.0,0.0
"Apr 20, 2017",0.027626,0.033187,0.027626,0.033161,391.0,0.0
"Apr 21, 2017",0.033175,0.033568,0.027627,0.03218,1070.0,0.0
"Apr 22, 2017",0.03219,0.055628,0.027736,0.027788,1018.0,0.0
"Apr 23, 2017",0.027788,0.031752,0.026289,0.026983,1509.0,0.0
"Apr 24, 2017",0.027252,0.04276,0.027252,0.029317,52.0,0.0
"Apr 25, 2017",0.029324,0.04215,0.023184,0.030352,435.0,0.0
"Apr 26, 2017",0.030371,0.030467,0.027083,0.028277,1135.0,0.0
"Apr 27, 2017",0.028276,0.045216,0.028274,0.0387,146.0,0.0
"Apr 28, 2017",0.038703,0.038703,0.028448,0.030654,262.0,0.0
"Apr 29, 2017",0.030683,0.034874,0.028515,0.032015,66.0,0.0
"Apr 30, 2017",0.032016,0.038631,0.031879,0.03863,32.0,0.0
"May 01, 2017",0.038642,0.039514,0.030444,0.030912,237.0,0.0
"May 02, 2017",0.0309,0.034297,0.028208,0.031242,671.0,0.0
"May 03, 2017",0.03126,0.042726,0.030914,0.034299,133.0,0.0
"May 04, 2017",0.034307,0.03446,0.029605,0.031021,162.0,0.0
"May 05, 2017",0.031062,0.032234,0.026771,0.026888,1459.0,0.0
"May 06, 2017",0.026876,0.030798,0.026876,0.030759,55.0,0.0
"May 07, 2017",0.03076,0.031082,0.026218,0.026753,709.0,0.0
"May 08, 2017",0.026876,0.033632,0.026272,0.026275,880.0,0.0
"May 09, 2017",0.026272,0.030733,0.021773,0.021899,504.0,0.0
"May 10, 2017",0.021895,0.031729,0.021895,0.028617,225.0,0.0
"May 11, 2017",0.028647,0.030052,0.027359,0.029944,86.0,0.0
"May 12, 2017",0.029966,0.030023,0.021653,0.021661,811.0,0.0
"May 13, 2017",0.021671,0.026608,0.020306,0.024129,12.0,0.0
"May 14, 2017",0.024205,0.02826,0.02232,0.022754,18759.0,0.0
"May 15, 2017",0.022743,0.022743,0.020187,0.021338,267.0,0.0
"May 16, 2017",0.021327,0.034423,0.020418,0.034423,4.0,0.0
"May 17, 2017",0.034413,0.034725,0.019174,0.019211,65.0,0.0
"May 18, 2017",0.019213,0.020317,0.017848,0.020317,16.0,0.0
"May 19, 2017",0.020327,0.029052,0.020327,0.029035,1170.0,0.0
"May 20, 2017",0.029067,0.035171,0.019826,0.035156,50.0,0.0
