datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-24,0.778723,1.98,0.497676,0.544856,64558.0,0.0
2017-6-25,0.54543,1.2,0.488799,0.631235,58286.0,0.0
2017-6-26,0.62988,0.63952,0.463773,0.594847,65475.0,40074900.0
2017-6-27,0.584336,0.617176,0.449371,0.508901,61577.0,38777000.0
2017-6-28,0.512218,0.521563,0.379641,0.383367,64626.0,34039600.0
2017-6-29,0.383011,0.497582,0.179667,0.464983,61830.0,25924800.0
2017-6-30,0.465908,0.469838,0.188663,0.392435,60512.0,32726000.0
2017-7-01,0.392284,0.607883,0.227654,0.473546,2834790.0,28189200.0
2017-7-02,0.454877,0.534292,0.397218,0.40642,2707220.0,33484400.0
2017-7-03,0.398463,0.4778,0.373292,0.444805,1470050.0,30462600.0
2017-7-04,0.444241,0.484301,0.395137,0.425385,1343980.0,34168500.0
2017-7-05,0.425156,0.432759,0.34882,0.353397,823588.0,32888900.0
2017-7-06,0.35365,0.374326,0.322021,0.322021,627955.0,27523300.0
2017-7-07,0.319951,0.348189,0.257926,0.303115,726972.0,24973800.0
2017-7-08,0.300662,0.341148,0.285944,0.339995,344586.0,23500600.0
2017-7-09,0.335614,0.37661,0.313388,0.318618,328503.0,26358900.0
2017-7-10,0.319232,0.358438,0.191828,0.206883,846700.0,25072300.0
2017-7-11,0.21352,0.24995,0.175688,0.195599,458153.0,17079300.0
2017-7-12,0.195358,0.232602,0.16738,0.224099,408335.0,15626500.0
2017-7-13,0.224267,0.236618,0.203578,0.2077,134533.0,18044800.0
2017-7-14,0.207544,0.222387,0.15925,0.1836,285318.0,16699200.0
2017-7-15,0.186237,0.189061,0.105158,0.138587,326862.0,14986600.0
2017-7-16,0.138168,0.157647,0.111285,0.14664,142091.0,11118400.0
2017-7-17,0.14652,0.177137,0.144861,0.171606,157162.0,11792800.0
2017-7-18,0.172048,0.200565,0.15809,0.183485,170483.0,13847500.0
2017-7-19,0.183777,0.194974,0.164597,0.173101,166316.0,14791500.0
2017-7-20,0.17258,0.22436,0.165872,0.207073,231758.0,13890700.0
2017-7-21,0.2047,0.234626,0.192431,0.207706,315526.0,16476000.0
2017-7-22,0.207664,0.230839,0.191793,0.219711,494774.0,16862000.0
2017-7-23,0.21971,0.237772,0.202045,0.222625,253188.0,17840200.0
2017-7-24,0.222378,0.325271,0.207648,0.291342,1288380.0,18069100.0
2017-7-25,0.289373,0.292998,0.223645,0.22886,609887.0,23975900.0
2017-7-26,0.228647,0.245334,0.187153,0.208172,315814.0,18944400.0
2017-7-27,0.208755,0.251125,0.207994,0.224416,524307.0,17298300.0
2017-7-28,0.222944,0.228578,0.190573,0.209763,508425.0,18474100.0
2017-7-29,0.206952,0.220159,0.166795,0.198057,685118.0,17148900.0
2017-7-30,0.198031,0.2119,0.181852,0.195305,277206.0,16409700.0
2017-7-31,0.194178,0.20546,0.17511,0.199475,231200.0,16100400.0
2017-8-01,0.199571,0.328838,0.19231,0.271441,1165100.0,16547600.0
2017-8-02,0.266364,0.351502,0.249469,0.298292,1086080.0,22113400.0
2017-8-03,0.299412,0.465025,0.295433,0.44278,2099260.0,24862700.0
2017-8-04,0.44437,0.469358,0.402708,0.409356,1072000.0,36967800.0
2017-8-05,0.409207,0.517939,0.382552,0.516928,1399950.0,34058100.0
2017-8-06,0.513998,0.770404,0.478561,0.651864,5598870.0,42816000.0
2017-8-07,0.654812,0.721617,0.583556,0.6379,2508950.0,54841500.0
2017-8-08,0.646131,0.701852,0.621628,0.673106,1363370.0,54139600.0
2017-8-09,0.687867,0.719475,0.6167,0.658365,962818.0,57636600.0
2017-8-10,0.655303,0.878698,0.644041,0.8069,4316630.0,54930800.0
2017-8-11,0.805493,0.830848,0.671915,0.717633,3324540.0,68232600.0
2017-8-12,0.717074,0.932103,0.622421,0.736838,4015370.0,60742700.0
2017-8-13,0.744624,0.795738,0.573922,0.650707,2828420.0,63076400.0
2017-8-14,0.636988,0.706764,0.527612,0.647272,2512640.0,53958700.0
2017-8-15,0.640333,0.662326,0.556472,0.649323,1160590.0,54355100.0
2017-8-16,0.650036,0.662331,0.537612,0.596556,1390910.0,55178800.0
2017-8-17,0.616676,0.656722,0.476281,0.590622,2313410.0,52347000.0
2017-8-18,0.590101,0.614615,0.381195,0.479464,2918470.0,50201700.0
2017-8-19,0.471413,0.556994,0.421714,0.529905,934266.0,40104600.0
2017-8-20,0.518447,0.528973,0.459007,0.47349,741382.0,44105900.0
2017-8-21,0.472301,0.49625,0.437384,0.462955,437439.0,40180100.0
2017-8-22,0.458467,0.458467,0.384863,0.425696,453311.0,39003200.0
2017-8-23,0.423807,0.497649,0.417003,0.454948,544094.0,36054600.0
2017-8-24,0.460863,0.480242,0.419599,0.439205,734835.0,39207000.0
2017-8-25,0.428645,0.46056,0.421862,0.438704,450530.0,36873300.0
2017-8-26,0.439547,0.471639,0.417765,0.443359,456073.0,37811200.0
