datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000318,0.000351,0.000317,0.000349,4.0,5996.0
"Jan 02, 2017",0.000349,0.000371,0.00034,0.000368,3.0,6587.0
"Jan 03, 2017",0.000368,0.000585,0.000347,0.000585,10.0,6935.0
"Jan 04, 2017",0.00048,0.000483,0.000356,0.000415,4.0,9053.0
"Jan 05, 2017",0.000416,0.000416,0.00031,0.000344,11.0,7839.0
"Jan 06, 2017",0.000345,0.0004,0.000301,0.000322,8.0,6497.0
"Jan 07, 2017",0.000322,0.000325,0.000278,0.000306,0.0,6073.0
"Jan 08, 2017",0.000307,0.000336,0.000304,0.000326,3.0,5780.0
"Jan 09, 2017",0.000326,0.000327,0.000212,0.000254,42.0,6144.0
"Jan 10, 2017",0.000254,0.000309,0.000253,0.000307,4.0,4781.0
"Jan 11, 2017",0.000308,0.00031,0.000244,0.000256,1.0,5799.0
"Jan 12, 2017",0.000256,0.000555,0.000248,0.000443,54.0,4825.0
"Jan 13, 2017",0.000443,0.000582,0.000429,0.000464,2.0,8346.0
"Jan 14, 2017",0.000465,0.00047,0.000406,0.000409,2.0,8761.0
"Jan 15, 2017",0.000409,0.000444,0.000399,0.000403,2.0,7715.0
"Jan 16, 2017",0.000403,0.000417,0.000402,0.000416,0.0,7593.0
"Jan 17, 2017",0.000416,0.000464,0.000376,0.000463,1.0,7840.0
"Jan 18, 2017",0.000463,0.000475,0.000421,0.000475,4.0,8731.0
"Jan 19, 2017",0.000477,0.000482,0.000356,0.00044,6.0,8995.0
"Jan 20, 2017",0.000439,0.00045,0.000358,0.000448,6.0,8287.0
"Jan 21, 2017",0.000448,0.00046,0.000367,0.000393,1.0,8443.0
"Jan 22, 2017",0.000393,0.000399,0.000368,0.000376,0.0,7404.0
"Jan 23, 2017",0.000376,0.000425,0.000301,0.000424,1.0,7088.0
"Jan 24, 2017",0.000424,0.000428,0.00016,0.000357,15.0,7989.0
"Jan 25, 2017",0.000357,0.00037,0.000357,0.000369,0.0,6727.0
"Jan 26, 2017",0.00037,0.000422,0.000307,0.000422,83.0,6968.0
"Jan 27, 2017",0.000422,0.000422,0.000312,0.000415,4.0,7958.0
"Jan 28, 2017",0.000415,0.000416,0.000361,0.000378,27.0,7832.0
"Jan 29, 2017",0.000378,0.000379,0.000341,0.000359,1.0,7129.0
"Jan 30, 2017",0.000359,0.000394,0.000359,0.000393,0.0,6767.0
"Jan 31, 2017",0.000393,0.000418,0.000378,0.000417,1.0,7416.0
"Feb 01, 2017",0.000417,0.000988,0.000407,0.000495,80.0,7868.0
"Feb 02, 2017",0.000495,0.001044,0.000426,0.00043,13.0,9326.0
"Feb 03, 2017",0.00043,0.000496,0.000419,0.000483,0.0,8104.0
"Feb 04, 2017",0.000484,0.000503,0.00045,0.0005,1.0,9125.0
"Feb 05, 2017",0.0005,0.000501,0.000354,0.000432,33.0,9437.0
"Feb 06, 2017",0.000431,0.000449,0.000352,0.000352,14.0,8137.0
"Feb 07, 2017",0.000353,0.000488,0.000353,0.000488,24.0,6650.0
"Feb 08, 2017",0.000488,0.000489,0.000353,0.000457,29.0,9207.0
"Feb 09, 2017",0.000457,0.000468,0.000332,0.000334,1.0,8620.0
"Feb 10, 2017",0.000331,0.000509,0.000289,0.000495,0.0,6272.0
"Feb 11, 2017",0.000495,0.000501,0.000352,0.000361,6.0,9370.0
"Feb 12, 2017",0.000362,0.000391,0.000339,0.00037,16.0,6847.0
"Feb 13, 2017",0.00037,0.000371,0.00028,0.000281,0.0,7001.0
"Feb 14, 2017",0.000281,0.000452,0.000276,0.000452,2.0,5314.0
"Feb 15, 2017",0.000453,0.000454,0.00041,0.000453,17.0,8576.0
"Feb 16, 2017",0.000453,0.000457,0.00041,0.00041,2.0,8585.0
"Feb 17, 2017",0.00041,0.000419,0.000356,0.000387,7.0,7772.0
"Feb 18, 2017",0.000387,0.000389,0.000346,0.000348,6.0,7334.0
"Feb 19, 2017",0.000348,0.000359,0.000317,0.000335,29.0,6593.0
"Feb 20, 2017",0.000335,0.000356,0.000323,0.000356,1.0,6357.0
