datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.148754,0.19223,0.148754,0.163603,36744.0,5835900.0
2017-1-02,0.16365,0.21388,0.154983,0.189936,56781.0,6420920.0
2017-1-03,0.19207,0.226825,0.155579,0.225567,184853.0,7536820.0
2017-1-04,0.225566,0.249442,0.195591,0.24542,120998.0,8852350.0
2017-1-05,0.249597,0.249597,0.193103,0.219074,251483.0,9796780.0
2017-1-06,0.219131,0.226654,0.189991,0.222761,245992.0,8601880.0
2017-1-07,0.222839,0.223157,0.187289,0.202558,28124.0,8748730.0
2017-1-08,0.19859,0.210074,0.193654,0.202,28099.0,7797720.0
2017-1-09,0.202132,0.203156,0.192978,0.199328,15766.0,7937700.0
2017-1-10,0.198699,0.206348,0.197935,0.200868,19095.0,7804120.0
2017-1-11,0.200858,0.205089,0.17919,0.181816,31233.0,7890700.0
2017-1-12,0.181766,0.190864,0.178084,0.187804,20527.0,7142040.0
2017-1-13,0.187801,0.192627,0.18101,0.1908,15958.0,7383310.0
2017-1-14,0.190937,0.197507,0.186351,0.188058,7064.0,7508360.0
2017-1-15,0.188003,0.195465,0.187249,0.188495,10452.0,7393900.0
2017-1-16,0.18849,0.194671,0.181692,0.18969,9825.0,7414170.0
2017-1-17,0.189715,0.196253,0.185288,0.191798,20576.0,7463600.0
2017-1-18,0.191875,0.194023,0.178607,0.180852,13621.0,7550270.0
2017-1-19,0.181103,0.187579,0.181103,0.184358,18571.0,7127640.0
2017-1-20,0.184312,0.190869,0.180614,0.181387,13462.0,7254910.0
2017-1-21,0.181387,0.18857,0.175079,0.18607,23783.0,7140620.0
2017-1-22,0.186069,0.187988,0.179568,0.181827,15218.0,7326280.0
2017-1-23,0.181965,0.187087,0.175126,0.183073,11014.0,7165670.0
2017-1-24,0.182975,0.183008,0.173009,0.178759,6418.0,7206290.0
2017-1-25,0.178795,0.184247,0.169341,0.181317,11257.0,7042980.0
2017-1-26,0.182982,0.240389,0.170058,0.176067,13737.0,7208940.0
