datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.11817,0.131688,0.110231,0.129393,8451.0,7342010.0
2017-7-29,0.128968,0.131022,0.096414,0.122271,3962.0,8012930.0
2017-7-30,0.122254,0.12341,0.113778,0.114293,5830.0,7595800.0
2017-7-31,0.11441,0.129335,0.112877,0.128735,67809.0,7108450.0
2017-8-01,0.128797,0.128797,0.116946,0.119952,36282.0,8002320.0
2017-8-02,0.119929,0.133466,0.085044,0.125685,1917.0,7451340.0
2017-8-03,0.125863,0.138631,0.0945,0.094559,322.0,7820020.0
2017-8-04,0.094482,0.124912,0.053876,0.124523,26125.0,5870280.0
2017-8-05,0.124468,0.143517,0.122353,0.126533,9312.0,7733320.0
2017-8-06,0.126564,0.131002,0.114924,0.121709,8886.0,7863560.0
2017-8-07,0.121443,0.151588,0.06381,0.151588,4816.0,7545370.0
2017-8-08,0.151743,0.159681,0.139172,0.139266,7970.0,9427990.0
2017-8-09,0.139091,0.141345,0.068811,0.096225,3631.0,8641880.0
2017-8-10,0.096266,0.143729,0.094362,0.123686,2761.0,5981130.0
2017-8-11,0.123678,0.131187,0.091216,0.117349,2979.0,7684290.0
2017-8-12,0.117257,0.19034,0.103055,0.190055,4129.0,7285310.0
2017-8-13,0.189871,0.195248,0.096875,0.1017,13333.0,11796900.0
2017-8-14,0.10167,0.18951,0.069589,0.101941,2426.0,6316870.0
2017-8-15,0.102135,0.103967,0.063991,0.102778,2042.0,6345740.0
2017-8-16,0.102891,0.11261,0.079844,0.11259,4926.0,6392730.0
2017-8-17,0.112486,0.120802,0.076686,0.077011,1620.0,6988890.0
2017-8-18,0.077203,0.10707,0.076984,0.08866,3054.0,4796750.0
2017-8-19,0.088586,0.099004,0.077221,0.095903,4125.0,5503930.0
2017-8-20,0.095457,0.095457,0.079125,0.086614,1746.0,5930870.0
2017-8-21,0.086273,0.089088,0.076304,0.077309,5730.0,5360250.0
2017-8-22,0.077488,0.089524,0.061605,0.076806,5810.0,4814440.0
2017-8-23,0.07665,0.084908,0.071376,0.083721,2057.0,4762340.0
2017-8-24,0.083753,0.08764,0.076404,0.0783,1992.0,5203710.0
2017-8-25,0.078177,0.093284,0.075957,0.08524,7983.0,4857240.0
2017-8-26,0.085403,0.085624,0.078424,0.084743,1008.0,5306220.0
