datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.005638,0.00737,0.005608,0.005977,613.0,679548.0
2017-1-02,0.00598,0.006477,0.0059,0.006396,510.0,720795.0
2017-1-03,0.00613,0.006455,0.005987,0.006118,842.0,738956.0
2017-1-04,0.006117,0.006671,0.004471,0.005883,828.0,737333.0
2017-1-05,0.005889,0.006122,0.003505,0.004548,343.0,709892.0
2017-1-06,0.00456,0.004711,0.003518,0.003591,245.0,549714.0
2017-1-07,0.003596,0.004625,0.003401,0.004625,288.0,433477.0
2017-1-08,0.004625,0.005817,0.004586,0.00546,286.0,557512.0
2017-1-09,0.005467,0.005482,0.004819,0.005411,246.0,659090.0
2017-1-10,0.005408,0.00548,0.004773,0.005264,214.0,651962.0
2017-1-11,0.005265,0.005324,0.004409,0.004502,192.0,634688.0
2017-1-12,0.004495,0.004495,0.003372,0.004204,307.0,541978.0
2017-1-13,0.004201,0.004327,0.004073,0.004295,210.0,506519.0
2017-1-14,0.004301,0.004811,0.003348,0.003979,1073.0,518583.0
2017-1-15,0.003576,0.004489,0.003575,0.004487,672.0,431213.0
2017-1-16,0.004487,0.004543,0.00399,0.004157,227.0,541011.0
2017-1-17,0.004158,0.004544,0.004101,0.004101,250.0,501312.0
2017-1-18,0.004104,0.004505,0.004037,0.004388,319.0,494837.0
2017-1-19,0.004406,0.004469,0.004395,0.004443,207.0,531337.0
2017-1-20,0.004441,0.004442,0.004275,0.004386,208.0,535561.0
2017-1-21,0.004386,0.004609,0.004386,0.0046,405.0,528846.0
2017-1-22,0.0046,0.005169,0.00377,0.00484,3161.0,554676.0
2017-1-23,0.004845,0.005076,0.004231,0.004304,1436.0,584300.0
2017-1-24,0.004301,0.004403,0.004031,0.004087,1845.0,518691.0
2017-1-25,0.004089,0.004137,0.003221,0.003227,5336.0,493062.0
2017-1-26,0.003228,0.004052,0.003228,0.00367,510.0,389238.0
2017-1-27,0.00367,0.003868,0.003267,0.003403,7623.0,442652.0
2017-1-28,0.003403,0.003695,0.003291,0.003659,708.0,410428.0
2017-1-29,0.003696,0.00439,0.003661,0.003945,922.0,445715.0
2017-1-30,0.003945,0.00436,0.003945,0.004346,503.0,475764.0
2017-1-31,0.004344,0.004527,0.003394,0.004202,4144.0,523967.0
2017-2-01,0.004202,0.004601,0.003827,0.004164,12315.0,506808.0
2017-2-02,0.004164,0.0045,0.004027,0.004442,2669.0,502230.0
2017-2-03,0.00444,0.004501,0.004067,0.004326,147.0,535595.0
2017-2-04,0.004332,0.004414,0.004213,0.004328,554.0,522493.0
2017-2-05,0.004331,0.004413,0.004132,0.00414,518.0,522386.0
2017-2-06,0.004144,0.00452,0.004143,0.00436,540.0,499941.0
2017-2-07,0.004369,0.004538,0.004369,0.004521,564.0,526991.0
2017-2-08,0.004525,0.004606,0.00443,0.004539,682.0,545929.0
2017-2-09,0.004546,0.005701,0.004071,0.004723,1587.0,548449.0
2017-2-10,0.004729,0.004745,0.004014,0.00439,1065.0,570536.0
2017-2-11,0.004391,0.004521,0.004385,0.00446,540.0,529707.0
2017-2-12,0.004456,0.004456,0.004085,0.004446,666.0,537551.0
2017-2-13,0.004445,0.004451,0.004294,0.004329,515.0,536285.0
2017-2-14,0.004334,0.004529,0.004159,0.00452,6310.0,522885.0
2017-2-15,0.004528,0.005161,0.004038,0.004403,1468.0,546312.0
2017-2-16,0.004403,0.004578,0.004378,0.004439,674.0,531300.0
2017-2-17,0.004433,0.004566,0.004234,0.0043,602.0,534860.0
2017-2-18,0.004312,0.00466,0.004304,0.004639,549.0,520322.0
2017-2-19,0.004346,0.004662,0.004234,0.004391,549.0,524359.0
2017-2-20,0.004394,0.004592,0.004177,0.004592,787.0,530211.0
2017-2-21,0.00459,0.004704,0.004381,0.004695,840.0,553862.0
2017-2-22,0.004693,0.00476,0.00443,0.004728,626.0,566352.0
2017-2-23,0.004726,0.00493,0.004483,0.004922,682.0,570315.0
2017-2-24,0.004889,0.005028,0.004589,0.004942,626.0,589939.0
2017-2-25,0.004927,0.004946,0.004701,0.004781,594.0,594643.0
2017-2-26,0.004781,0.00488,0.004691,0.004767,630.0,577014.0
