datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",4.72,4.72,4.11,4.23,7.0,0.0
"Jul 25, 2017",4.23,4.27,3.36,3.36,54.0,0.0
"Jul 26, 2017",3.56,3.8,3.05,3.78,50.0,0.0
"Jul 27, 2017",3.79,3.98,3.77,3.96,53.0,0.0
"Jul 28, 2017",4.05,4.23,3.99,4.17,10.0,0.0
"Jul 29, 2017",4.19,4.19,3.5,3.58,11.0,0.0
"Jul 30, 2017",3.56,4.11,3.45,4.11,793.0,0.0
"Jul 31, 2017",4.11,4.27,3.45,3.52,24.0,0.0
"Aug 01, 2017",3.52,5.39,3.4,5.17,1605.0,0.0
"Aug 02, 2017",5.17,6.3,5.14,5.39,11.0,0.0
"Aug 03, 2017",5.4,6.87,4.84,6.7,121.0,0.0
"Aug 04, 2017",6.69,7.29,6.65,6.79,2656.0,0.0
"Aug 05, 2017",6.74,8.37,6.46,6.46,579.0,0.0
"Aug 06, 2017",6.46,9.94,5.27,9.52,460.0,0.0
"Aug 07, 2017",9.52,9.79,5.59,5.59,46.0,0.0
"Aug 08, 2017",5.61,6.34,4.98,6.34,92.0,0.0
"Aug 09, 2017",6.34,7.51,5.63,6.05,2169.0,0.0
"Aug 10, 2017",6.03,6.39,5.1,5.6,45.0,0.0
"Aug 11, 2017",5.6,8.61,5.19,8.3,280.0,0.0
"Aug 12, 2017",8.25,8.32,5.54,5.69,838.0,0.0
"Aug 13, 2017",5.68,6.02,5.41,5.57,1589.0,0.0
"Aug 14, 2017",5.53,5.72,5.01,5.36,67.0,0.0
"Aug 15, 2017",5.37,5.55,4.81,5.18,11.0,0.0
"Aug 16, 2017",5.24,5.36,5.06,5.35,126.0,0.0
"Aug 17, 2017",5.35,6.58,4.84,6.3,2218.0,0.0
"Aug 18, 2017",6.37,6.82,4.71,4.94,1632.0,0.0
"Aug 19, 2017",4.95,6.67,4.94,5.35,921.0,0.0
"Aug 20, 2017",5.32,7.25,5.06,5.88,610.0,0.0
"Aug 21, 2017",5.84,6.88,5.25,5.28,1554.0,0.0
"Aug 22, 2017",5.31,6.85,4.68,5.25,11547.0,0.0
