datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",4e-06,4e-06,4e-06,4e-06,0.0,67127.0
"Jan 02, 2017",4e-06,4e-06,2e-06,3e-06,0.0,70145.0
"Jan 03, 2017",3e-06,3e-06,2e-06,3e-06,0.0,48205.0
"Jan 04, 2017",3e-06,3e-06,3e-06,3e-06,0.0,48905.0
"Jan 05, 2017",3e-06,3e-06,2e-06,2e-06,0.0,51905.0
"Jan 06, 2017",2e-06,2e-06,2e-06,2e-06,0.0,45480.0
"Jan 07, 2017",2e-06,2e-06,2e-06,2e-06,73.0,37155.0
"Jan 08, 2017",2e-06,2e-06,2e-06,2e-06,54.0,36581.0
"Jan 09, 2017",2e-06,2e-06,2e-06,2e-06,53.0,35418.0
"Jan 10, 2017",2e-06,2e-06,2e-06,2e-06,165.0,37317.0
"Jan 11, 2017",2e-06,2e-06,2e-06,2e-06,24.0,39913.0
"Jan 12, 2017",2e-06,2e-06,2e-06,2e-06,4.0,33334.0
"Jan 13, 2017",2e-06,2e-06,2e-06,2e-06,12.0,34328.0
"Jan 14, 2017",2e-06,2e-06,2e-06,2e-06,28.0,36113.0
"Jan 15, 2017",2e-06,2e-06,2e-06,2e-06,7.0,36117.0
"Jan 16, 2017",2e-06,2e-06,2e-06,2e-06,37.0,36456.0
"Jan 17, 2017",2e-06,3e-06,2e-06,2e-06,45.0,39357.0
"Jan 18, 2017",2e-06,3e-06,2e-06,3e-06,169.0,45108.0
"Jan 19, 2017",3e-06,3e-06,2e-06,3e-06,181.0,55919.0
"Jan 20, 2017",3e-06,5e-06,3e-06,4e-06,70.0,50217.0
"Jan 21, 2017",4e-06,4e-06,3e-06,3e-06,233.0,86969.0
"Jan 22, 2017",3e-06,3e-06,3e-06,3e-06,60.0,55412.0
"Jan 23, 2017",3e-06,3e-06,3e-06,3e-06,34.0,56292.0
"Jan 24, 2017",3e-06,3e-06,3e-06,3e-06,7.0,55280.0
"Jan 25, 2017",3e-06,3e-06,3e-06,3e-06,58.0,52224.0
"Jan 26, 2017",3e-06,3e-06,2e-06,2e-06,222.0,56514.0
"Jan 27, 2017",2e-06,3e-06,2e-06,3e-06,38.0,48723.0
"Jan 28, 2017",3e-06,3e-06,3e-06,3e-06,76.0,52698.0
"Jan 29, 2017",3e-06,3e-06,2e-06,2e-06,59.0,66280.0
"Jan 30, 2017",2e-06,3e-06,2e-06,2e-06,6.0,47530.0
"Jan 31, 2017",2e-06,3e-06,2e-06,2e-06,24.0,48753.0
"Feb 01, 2017",2e-06,3e-06,2e-06,2e-06,2.0,45520.0
"Feb 02, 2017",2e-06,2e-06,2e-06,2e-06,1.0,47139.0
"Feb 03, 2017",2e-06,2e-06,2e-06,2e-06,10.0,44843.0
"Feb 04, 2017",2e-06,2e-06,2e-06,2e-06,9.0,43302.0
"Feb 05, 2017",2e-06,2e-06,2e-06,2e-06,18.0,42328.0
"Feb 06, 2017",2e-06,3e-06,2e-06,3e-06,25.0,42288.0
