datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.002593,0.003569,0.002574,0.002678,17.0,3184.0
2017-1-02,0.002678,0.003466,0.002156,0.002167,29.0,3321.0
2017-1-03,0.002167,0.006218,0.002167,0.003666,44.0,2713.0
2017-1-04,0.003668,0.003668,0.002362,0.002795,72.0,4630.0
2017-1-05,0.0028,0.00298,0.001625,0.001844,25.0,3565.0
2017-1-06,0.001846,0.002365,0.001349,0.001422,24.0,2371.0
2017-1-07,0.001424,0.002213,0.001274,0.001595,20.0,1848.0
2017-1-08,0.001595,0.001692,0.00118,0.001212,9.0,2088.0
2017-1-09,0.001212,0.001815,0.00117,0.001618,1.0,1601.0
2017-1-10,0.001618,0.003349,0.001562,0.002234,8.0,2158.0
2017-1-11,0.002553,0.002629,0.001245,0.001247,16.0,3434.0
2017-1-12,0.00125,0.0024,0.001223,0.001963,54.0,1697.0
2017-1-13,0.001961,0.002092,0.001055,0.001499,31.0,2672.0
2017-1-14,0.0015,0.00412,0.001029,0.003841,110.0,2063.0
2017-1-15,0.003837,0.004332,0.001542,0.00387,244.0,5318.0
2017-1-16,0.003906,0.003954,0.00164,0.00224,50.0,5462.0
2017-1-17,0.002238,0.002425,0.00176,0.00181,39.0,3157.0
2017-1-18,0.001813,0.00254,0.001773,0.002322,26.0,2579.0
2017-1-19,0.002322,0.002351,0.001783,0.001814,21.0,3330.0
2017-1-20,0.001812,0.001851,0.001681,0.001684,8.0,2621.0
2017-1-21,0.001684,0.001775,0.001575,0.001582,17.0,2456.0
2017-1-22,0.001583,0.001901,0.001502,0.001843,19.0,2328.0
2017-1-23,0.001847,0.001969,0.001533,0.001561,8.0,2739.0
2017-1-24,0.001543,0.003469,0.001501,0.001562,443.0,2307.0
2017-1-25,0.00156,0.003457,0.00156,0.002467,129.0,2350.0
2017-1-26,0.002469,0.002677,0.00188,0.001898,32.0,3735.0
2017-1-27,0.001898,0.002249,0.001703,0.002152,98.0,2894.0
2017-1-28,0.002152,0.002154,0.001658,0.001705,6.0,3309.0
2017-1-29,0.001706,0.001864,0.001638,0.001638,15.0,2643.0
2017-1-30,0.001639,0.001892,0.001271,0.001327,42.0,2554.0
2017-1-31,0.001327,0.00176,0.001327,0.001553,0.0,2082.0
2017-2-01,0.001554,0.002141,0.001505,0.001623,9.0,2455.0
2017-2-02,0.001625,0.002217,0.001579,0.002216,12.0,2588.0
2017-2-03,0.002215,0.002276,0.001639,0.002276,20.0,3555.0
2017-2-04,0.002279,0.002285,0.001649,0.00166,5.0,3686.0
2017-2-05,0.001661,0.020518,0.001276,0.012817,1268.0,2703.0
2017-2-06,0.01283,0.012882,0.003286,0.009662,598.0,21050.0
2017-2-07,0.00968,0.010256,0.005019,0.008743,913.0,16000.0
2017-2-08,0.008751,0.010699,0.004905,0.004906,62.0,14569.0
2017-2-09,0.004914,0.009212,0.004543,0.008442,1717.0,8242.0
2017-2-10,0.008453,0.008481,0.004883,0.00832,3278.0,14283.0
2017-2-11,0.008302,0.008305,0.005017,0.007613,2474.0,14132.0
2017-2-12,0.007606,0.008471,0.005549,0.007063,2931.0,13038.0
2017-2-13,0.007061,0.008381,0.005668,0.007612,4667.0,12192.0
2017-2-14,0.00762,0.007627,0.004201,0.004336,249.0,13252.0
2017-2-15,0.004343,0.005061,0.003612,0.003939,94.0,7605.0
2017-2-16,0.003941,0.00436,0.00374,0.003754,20.0,6949.0
2017-2-17,0.003749,0.005205,0.003668,0.004512,50.0,6657.0
2017-2-18,0.004525,0.006155,0.003533,0.00357,32.0,8090.0
2017-2-19,0.003571,0.003804,0.002195,0.002196,38.0,6428.0
2017-2-20,0.002197,0.003283,0.002191,0.002682,8.0,3981.0
2017-2-21,0.002681,0.003567,0.002395,0.002591,16.0,4890.0
2017-2-22,0.00259,0.002768,0.002053,0.00259,20.0,4757.0
2017-2-23,0.00259,0.003536,0.002177,0.003513,26.0,4789.0
2017-2-24,0.003531,0.00469,0.002859,0.003019,52.0,6570.0
2017-2-25,0.00301,0.00386,0.002353,0.003853,19.0,5639.0
2017-2-26,0.003855,0.005459,0.002629,0.003164,105.0,7268.0
2017-2-27,0.00316,0.00356,0.001266,0.001582,165.0,5996.0
2017-2-28,0.001583,0.004428,0.001583,0.003086,272.0,3024.0
2017-3-01,0.003044,0.003802,0.002779,0.003001,71.0,5851.0
2017-3-02,0.003007,0.003785,0.003003,0.003361,40.0,5815.0
2017-3-03,0.00336,0.005341,0.003246,0.004817,379.0,6541.0
2017-3-04,0.004826,0.006634,0.003433,0.006634,189.0,9454.0
2017-3-05,0.00663,0.00663,0.003254,0.003254,177.0,13068.0
2017-3-06,0.003255,0.006401,0.003066,0.00623,226.0,6456.0
2017-3-07,0.006232,0.006233,0.003362,0.004929,109.0,12436.0
2017-3-08,0.004927,0.005021,0.003255,0.003635,10.0,9892.0
2017-3-09,0.003636,0.005374,0.002587,0.005237,342.0,7345.0
2017-3-10,0.005241,0.005249,0.002531,0.003431,19.0,10652.0
2017-3-11,0.00343,0.004482,0.002769,0.003916,108.0,7013.0
2017-3-12,0.003919,0.004563,0.002741,0.004276,7.0,8061.0
2017-3-13,0.004277,0.004278,0.002753,0.003947,70.0,8850.0
2017-3-14,0.003948,0.004734,0.002808,0.00337,16.0,8217.0
2017-3-15,0.00337,0.004191,0.002759,0.004191,78.0,7056.0
2017-3-16,0.004196,0.004219,0.003098,0.003101,62.0,8838.0
2017-3-17,0.003081,0.003858,0.002926,0.003352,24.0,6527.0
2017-3-18,0.002374,0.003856,0.002211,0.003664,101.0,5059.0
2017-3-19,0.003675,0.003839,0.002461,0.003002,40.0,7874.0
2017-3-20,0.003004,0.003821,0.002736,0.003495,104.0,6473.0
2017-3-21,0.003499,0.006016,0.003005,0.003264,393.0,7582.0
2017-3-22,0.003265,0.004144,0.00292,0.003448,108.0,7115.0
2017-3-23,0.003451,0.003834,0.003217,0.003741,37.0,7564.0
2017-3-24,0.00374,0.004571,0.002809,0.003313,161.0,8242.0
2017-3-25,0.00331,0.003678,0.00275,0.003085,181.0,7335.0
2017-3-26,0.003089,0.003946,0.003053,0.003323,183.0,6884.0
2017-3-27,0.003342,0.004633,0.003197,0.003752,82.0,7488.0
2017-3-28,0.003747,0.004247,0.003608,0.004227,148.0,8443.0
2017-3-29,0.004221,0.004294,0.004001,0.004147,87.0,9563.0
2017-3-30,0.004157,0.004389,0.004137,0.004143,40.0,9467.0
2017-3-31,0.004142,0.005608,0.004058,0.004335,91.0,9485.0
2017-4-01,0.004335,0.006969,0.004323,0.005286,575.0,9981.0
2017-4-02,0.005287,0.007257,0.005053,0.007107,126.0,12237.0
2017-4-03,0.007112,0.036943,0.007044,0.009082,1604.0,16547.0
2017-4-04,0.009096,0.014146,0.008252,0.012698,375.0,21276.0
2017-4-05,0.012697,0.012925,0.008703,0.008748,64.0,29857.0
2017-4-06,0.008762,0.009988,0.008326,0.009954,132.0,20711.0
2017-4-07,0.009923,0.011556,0.008436,0.008562,109.0,23578.0
2017-4-08,0.008531,0.012499,0.006985,0.007653,308.0,20373.0
2017-4-09,0.007656,0.008721,0.007579,0.008674,55.0,18377.0
2017-4-10,0.008669,0.008818,0.007423,0.007621,78.0,20914.0
2017-4-11,0.007626,0.010284,0.007499,0.007983,84.0,18492.0
2017-4-12,0.007982,0.010107,0.007858,0.007928,101.0,19453.0
2017-4-13,0.007932,0.010175,0.007886,0.008336,189.0,19429.0
2017-4-14,0.008344,0.010297,0.007784,0.008259,88.0,20541.0
2017-4-15,0.008257,0.00922,0.007615,0.007823,198.0,20428.0
2017-4-16,0.007823,0.009813,0.007823,0.008168,68.0,19451.0
2017-4-17,0.00817,0.008361,0.007575,0.007749,113.0,20414.0
2017-4-18,0.007749,0.011776,0.00762,0.008508,231.0,19456.0
2017-4-19,0.008511,0.013662,0.008503,0.00902,140.0,21474.0
2017-4-20,0.009025,0.040346,0.008998,0.01201,2040.0,22883.0
2017-4-21,0.012014,0.017619,0.011609,0.012171,95.0,30607.0
2017-4-22,0.012177,0.017317,0.012177,0.014018,99.0,31173.0
2017-4-23,0.01402,0.017421,0.011434,0.013036,168.0,36062.0
2017-4-24,0.013058,0.022706,0.013029,0.015493,743.0,33752.0
2017-4-25,0.015499,0.041372,0.013836,0.017371,856.0,40249.0
2017-4-26,0.017378,0.021554,0.01458,0.021554,817.0,45342.0
2017-4-27,0.021267,0.051311,0.012855,0.050942,4201.0,55754.0
2017-4-28,0.051059,0.057742,0.029084,0.04918,5820.0,134488.0
2017-4-29,0.049231,0.049472,0.027326,0.03161,731.0,130275.0
2017-4-30,0.031612,0.038152,0.030044,0.03813,1082.0,84022.0
2017-5-01,0.038142,0.039244,0.031146,0.033608,2158.0,101820.0
2017-5-02,0.033675,0.035501,0.019159,0.035394,1928.0,90306.0
2017-5-03,0.035386,0.04172,0.025589,0.034793,556.0,95295.0
2017-5-04,0.034809,0.050092,0.024636,0.028352,1619.0,94162.0
2017-5-05,0.028411,0.036593,0.025886,0.027733,536.0,77185.0
2017-5-06,0.027757,0.038155,0.026561,0.026971,271.0,75743.0
2017-5-07,0.026983,0.032608,0.026593,0.031373,266.0,73951.0
2017-5-08,0.031378,0.031727,0.022925,0.022941,671.0,86352.0
2017-5-09,0.022966,0.02971,0.020632,0.021455,282.0,63475.0
2017-5-10,0.021467,0.02619,0.02067,0.021879,1355.0,59587.0
2017-5-11,0.021919,0.021919,0.018607,0.020079,457.0,61113.0
2017-5-12,0.020099,0.020781,0.018159,0.020389,127.0,56284.0
2017-5-13,0.020347,0.022619,0.019386,0.022503,402.0,57232.0
2017-5-14,0.022574,0.024,0.021312,0.023268,143.0,63768.0
2017-5-15,0.023282,0.023317,0.017068,0.017427,788.0,66054.0
2017-5-16,0.017402,0.017886,0.014864,0.014975,418.0,49575.0
2017-5-17,0.014971,0.017109,0.014811,0.016815,168.0,42840.0
2017-5-18,0.016806,0.017654,0.014143,0.016769,97.0,48293.0
2017-5-19,0.016779,0.018359,0.014181,0.014666,464.0,48421.0
2017-5-20,0.01465,0.017945,0.014649,0.017945,103.0,42459.0
2017-5-21,0.017938,0.090028,0.015427,0.01777,452.0,52208.0
2017-5-22,0.017827,0.031685,0.017761,0.022502,794.0,52102.0
2017-5-23,0.022482,0.042988,0.019847,0.022314,395.0,65982.0
2017-5-24,0.02233,0.035237,0.02233,0.02263,445.0,65815.0
2017-5-25,0.022592,0.031091,0.020489,0.022926,413.0,66863.0
2017-5-26,0.022758,0.030239,0.018629,0.020362,99.0,67638.0
2017-5-27,0.020429,0.021044,0.017117,0.019361,187.0,60961.0
2017-5-28,0.019466,0.020201,0.014736,0.015313,1382.0,58314.0
2017-5-29,0.015282,0.020255,0.014856,0.017925,369.0,45971.0
2017-5-30,0.017945,0.020563,0.017513,0.01908,767.0,54201.0
2017-5-31,0.019155,0.019646,0.015769,0.016582,104.0,58094.0
2017-6-01,0.016597,0.020995,0.01598,0.016204,159.0,50536.0
