datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,5.55,5.63,4.25,5.02,390035.0,38827800.0
2017-7-29,4.95,5.59,4.43,5.51,354503.0,34662300.0
2017-7-30,5.53,5.62,4.92,5.16,301327.0,38689800.0
2017-7-31,5.24,5.24,4.7,4.84,368030.0,36699600.0
2017-8-01,4.84,5.64,4.77,5.42,416563.0,33896800.0
2017-8-02,5.42,5.46,4.16,4.44,510255.0,37970200.0
2017-8-03,4.43,5.2,4.29,4.43,421559.0,31030500.0
2017-8-04,4.48,4.8,4.31,4.56,340899.0,31400700.0
2017-8-05,4.56,5.42,4.53,5.41,429528.0,31896400.0
2017-8-06,5.07,5.93,4.79,5.63,468845.0,35530200.0
2017-8-07,5.6,7.64,5.33,6.54,559083.0,39243500.0
2017-8-08,6.57,7.98,6.11,6.66,444686.0,45985200.0
2017-8-09,6.69,7.3,6.22,6.61,529327.0,46858100.0
2017-8-10,6.67,7.75,6.51,7.26,454421.0,46666600.0
2017-8-11,7.02,8.79,6.92,8.28,600639.0,49142700.0
2017-8-12,8.27,10.23,7.86,8.11,492439.0,57910200.0
2017-8-13,8.02,8.59,6.75,7.12,480141.0,56122300.0
2017-8-14,7.18,7.68,5.72,5.78,578188.0,50298100.0
2017-8-15,5.86,6.08,3.68,5.07,752334.0,41030800.0
2017-8-16,5.09,8.02,4.91,5.32,473155.0,35643600.0
2017-8-17,5.36,5.61,4.62,4.62,545106.0,37542000.0
2017-8-18,4.61,5.57,4.58,5.3,489808.0,32259300.0
2017-8-19,5.3,5.34,3.85,4.35,560191.0,37134000.0
2017-8-20,4.35,4.79,4.13,4.79,570502.0,30422300.0
2017-8-21,4.79,5.24,4.52,4.82,431463.0,33538100.0
2017-8-22,4.82,5.28,4.45,4.97,582119.0,33750000.0
2017-8-23,4.92,5.21,4.37,4.45,549509.0,34447200.0
2017-8-24,4.43,4.72,4.13,4.42,539450.0,31010800.0
2017-8-25,4.42,5.12,3.92,4.17,643422.0,30936200.0
2017-8-26,4.18,4.23,3.94,4.23,520942.0,29250400.0
