datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000427,0.000431,0.000427,0.000429,0.0,1375.0
2017-1-02,0.000429,0.000523,0.000344,0.000459,1.0,1383.0
2017-1-03,0.000459,0.000465,0.000404,0.00041,1.0,1479.0
2017-1-04,0.00041,0.000413,0.000368,0.000387,0.0,1320.0
2017-1-05,0.000475,0.000476,0.000364,0.000404,2.0,1529.0
2017-1-06,0.000405,0.000419,0.00039,0.000397,2.0,1305.0
2017-1-07,0.000359,0.000363,0.000309,0.000363,0.0,1157.0
2017-1-08,0.000363,0.000377,0.000319,0.000328,0.0,1170.0
2017-1-09,0.000328,0.000344,0.000292,0.000343,2.0,1056.0
2017-1-10,0.000343,0.000348,0.000342,0.000346,0.0,1105.0
2017-1-11,0.000331,0.000331,0.000259,0.000265,0.0,1065.0
2017-1-12,0.000264,0.000302,0.000257,0.000282,0.0,852.0
2017-1-13,0.000282,0.000307,0.000273,0.000304,0.0,907.0
2017-1-14,0.000305,0.000315,0.000298,0.000311,0.0,982.0
2017-1-15,0.000311,0.000313,0.000286,0.000312,2.0,1002.0
2017-1-16,0.000312,0.000339,0.000312,0.000316,14.0,1006.0
2017-1-17,0.000316,0.000332,0.000286,0.00033,3.0,1018.0
2017-1-18,0.00033,0.000335,0.000318,0.000325,1.0,1063.0
2017-1-19,0.000312,0.000323,0.000311,0.000321,4.0,1003.0
2017-1-20,0.000321,0.000321,0.000295,0.000295,0.0,1035.0
2017-1-21,0.000295,0.000349,0.000295,0.000349,2.0,951.0
2017-1-22,0.000349,0.000406,0.000346,0.000406,0.0,1124.0
2017-1-23,0.000322,0.000343,0.000322,0.000341,2.0,1037.0
2017-1-24,0.000328,0.000438,0.000325,0.000334,18.0,1057.0
2017-1-25,0.000315,0.000484,0.000307,0.000319,36.0,1015.0
2017-1-26,0.000319,0.000519,0.000278,0.00035,56.0,1029.0
2017-1-27,0.00035,0.000445,0.00035,0.00037,23.0,1128.0
2017-1-28,0.00037,0.000406,0.000341,0.000342,46.0,1191.0
2017-1-29,0.000342,0.000619,0.000342,0.000379,46.0,1101.0
2017-1-30,0.000379,0.000661,0.000352,0.000383,219.0,1219.0
2017-1-31,0.000428,0.000532,0.000384,0.000409,224.0,1377.0
2017-2-01,0.000409,0.000415,0.000378,0.000396,97.0,1317.0
2017-2-02,0.000396,0.000407,0.000385,0.000395,51.0,1276.0
2017-2-03,0.000395,0.000491,0.000394,0.000462,27.0,1271.0
2017-2-04,0.000462,0.000505,0.000422,0.00045,107.0,1489.0
2017-2-05,0.000429,0.000459,0.00041,0.000431,162.0,1382.0
2017-2-06,0.000452,0.000459,0.000412,0.000436,124.0,1457.0
2017-2-07,0.000437,0.000467,0.000428,0.000435,153.0,1407.0
2017-2-08,0.000436,0.000474,0.000429,0.00046,48.0,1403.0
2017-2-09,0.00046,0.000468,0.000389,0.000416,196.0,1482.0
2017-2-10,0.000417,0.000437,0.000386,0.000415,172.0,1342.0
2017-2-11,0.000415,0.000444,0.000395,0.000432,112.0,1338.0
2017-2-12,0.000432,0.000441,0.0004,0.00043,94.0,1390.0
2017-2-13,0.00043,0.00044,0.000397,0.000405,78.0,1383.0
2017-2-14,0.000406,0.000433,0.000393,0.000402,73.0,1306.0
2017-2-15,0.000402,0.000433,0.000382,0.000393,118.0,1296.0
2017-2-16,0.000393,0.000463,0.000383,0.000432,94.0,1266.0
2017-2-17,0.000431,0.00051,0.00042,0.000469,104.0,1388.0
2017-2-18,0.000473,0.000543,0.000454,0.000517,111.0,1522.0
2017-2-19,0.000516,0.000548,0.000451,0.0005,96.0,1663.0
2017-2-20,0.000501,0.000523,0.000449,0.000492,85.0,1612.0
2017-2-21,0.000492,0.000541,0.00047,0.000541,101.0,1583.0
2017-2-22,0.00054,0.000549,0.000479,0.000491,66.0,1740.0
2017-2-23,0.000491,0.000546,0.000491,0.000524,215.0,1583.0
2017-2-24,0.000526,0.000923,0.000513,0.000581,169.0,1695.0
2017-2-25,0.000558,0.000823,0.00052,0.000582,220.0,1796.0
2017-2-26,0.000582,0.000697,0.000499,0.000535,109.0,6347.0
2017-2-27,0.000535,0.000607,0.000512,0.000607,127.0,5838.0
2017-2-28,0.000607,0.000611,0.000509,0.000519,72.0,6638.0
2017-3-01,0.000519,0.000545,0.000462,0.000526,111.0,5679.0
2017-3-02,0.000527,0.000562,0.000487,0.000547,97.0,5767.0
2017-3-03,0.000547,0.000752,0.000533,0.000609,132.0,5997.0
2017-3-04,0.00061,0.000751,0.000494,0.000587,97.0,6701.0
2017-3-05,0.000587,0.00073,0.000475,0.000682,234.0,6452.0
2017-3-06,0.000682,0.000714,0.000508,0.000624,169.0,7516.0
2017-3-07,0.000535,0.000701,0.000481,0.000569,131.0,5899.0
2017-3-08,0.000569,0.000644,0.000462,0.000482,119.0,6291.0
2017-3-09,0.000483,0.000584,0.000445,0.000567,123.0,5342.0
2017-3-10,0.000567,0.000589,0.000408,0.000458,120.0,6289.0
2017-3-11,0.000435,0.000798,0.000417,0.000575,157.0,4833.0
2017-3-12,0.000576,0.000828,0.000524,0.000537,116.0,6405.0
2017-3-13,0.000538,0.000896,0.000517,0.00068,287.0,5989.0
2017-3-14,0.00068,0.000771,0.00055,0.000632,273.0,7592.0
