datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,4e-06,4e-06,3e-06,3e-06,1887.0,1652530.0
2017-1-02,3e-06,3e-06,3e-06,3e-06,3284.0,1445300.0
2017-1-03,3e-06,3e-06,3e-06,3e-06,2060.0,1470290.0
2017-1-04,3e-06,4e-06,3e-06,3e-06,2672.0,1516060.0
2017-1-05,3e-06,5e-06,3e-06,3e-06,4756.0,1436480.0
2017-1-06,3e-06,4e-06,3e-06,3e-06,1870.0,1464280.0
2017-1-07,3e-06,4e-06,3e-06,3e-06,2828.0,1447520.0
2017-1-08,3e-06,4e-06,3e-06,3e-06,2109.0,1410750.0
2017-1-09,3e-06,3e-06,3e-06,3e-06,1254.0,1331650.0
2017-1-10,3e-06,4e-06,3e-06,3e-06,1895.0,1354770.0
2017-1-11,3e-06,4e-06,3e-06,3e-06,3698.0,1470790.0
2017-1-12,3e-06,3e-06,3e-06,3e-06,666.0,1284640.0
2017-1-13,3e-06,3e-06,3e-06,3e-06,1213.0,1454050.0
2017-1-14,3e-06,3e-06,2e-06,2e-06,630.0,1284890.0
2017-1-15,2e-06,3e-06,2e-06,3e-06,63.0,1067240.0
2017-1-16,3e-06,3e-06,2e-06,2e-06,328.0,1256510.0
2017-1-17,2e-06,3e-06,2e-06,2e-06,367.0,1077970.0
2017-1-18,2e-06,2e-06,2e-06,2e-06,822.0,1041750.0
2017-1-19,2e-06,2e-06,2e-06,2e-06,165.0,971593.0
2017-1-20,2e-06,2e-06,2e-06,2e-06,520.0,856068.0
2017-1-21,2e-06,2e-06,2e-06,2e-06,68.0,891016.0
2017-1-22,2e-06,3e-06,2e-06,2e-06,1658.0,909102.0
2017-1-23,2e-06,2e-06,2e-06,2e-06,321.0,873015.0
2017-1-24,2e-06,2e-06,2e-06,2e-06,1021.0,952887.0
2017-1-25,2e-06,2e-06,2e-06,2e-06,574.0,965096.0
2017-1-26,2e-06,2e-06,2e-06,2e-06,631.0,879472.0
2017-1-27,2e-06,2e-06,2e-06,2e-06,281.0,882596.0
2017-1-28,2e-06,2e-06,2e-06,2e-06,380.0,878545.0
2017-1-29,2e-06,2e-06,2e-06,2e-06,173.0,879525.0
2017-1-30,2e-06,2e-06,2e-06,2e-06,377.0,827289.0
2017-1-31,2e-06,2e-06,2e-06,2e-06,592.0,840016.0
2017-2-01,2e-06,2e-06,2e-06,2e-06,440.0,862392.0
2017-2-02,2e-06,2e-06,2e-06,2e-06,319.0,878408.0
2017-2-03,2e-06,2e-06,2e-06,2e-06,819.0,795451.0
2017-2-04,2e-06,2e-06,2e-06,2e-06,511.0,932377.0
2017-2-05,2e-06,2e-06,2e-06,2e-06,325.0,853480.0
2017-2-06,2e-06,2e-06,2e-06,2e-06,293.0,847896.0
2017-2-07,2e-06,2e-06,2e-06,2e-06,1385.0,847612.0
2017-2-08,2e-06,2e-06,2e-06,2e-06,554.0,838270.0
2017-2-09,2e-06,2e-06,2e-06,2e-06,2193.0,836759.0
2017-2-10,2e-06,2e-06,2e-06,2e-06,407.0,795514.0
2017-2-11,2e-06,2e-06,2e-06,2e-06,246.0,821749.0
2017-2-12,2e-06,2e-06,2e-06,2e-06,441.0,794955.0
2017-2-13,2e-06,2e-06,2e-06,2e-06,176.0,776581.0
2017-2-14,2e-06,2e-06,2e-06,2e-06,463.0,770084.0
2017-2-15,2e-06,2e-06,2e-06,2e-06,176.0,774569.0
2017-2-16,2e-06,2e-06,2e-06,2e-06,327.0,736324.0
2017-2-17,2e-06,2e-06,2e-06,2e-06,165.0,718119.0
2017-2-18,2e-06,2e-06,2e-06,2e-06,596.0,719253.0
2017-2-19,2e-06,2e-06,2e-06,2e-06,111.0,717423.0
2017-2-20,2e-06,2e-06,1e-06,2e-06,876.0,718535.0
2017-2-21,2e-06,2e-06,2e-06,2e-06,453.0,747492.0
2017-2-22,2e-06,2e-06,1e-06,1e-06,166.0,674422.0
2017-2-23,1e-06,2e-06,1e-06,2e-06,139.0,663786.0
2017-2-24,2e-06,2e-06,1e-06,1e-06,821.0,667491.0
2017-2-25,1e-06,1e-06,1e-06,1e-06,955.0,643932.0
2017-2-26,1e-06,1e-06,1e-06,1e-06,272.0,584366.0
2017-2-27,1e-06,1e-06,1e-06,1e-06,313.0,577723.0
2017-2-28,1e-06,1e-06,1e-06,1e-06,258.0,560413.0
2017-3-01,1e-06,2e-06,1e-06,1e-06,668.0,577714.0
2017-3-02,1e-06,2e-06,1e-06,2e-06,522.0,655658.0
2017-3-03,2e-06,2e-06,2e-06,2e-06,492.0,722120.0
2017-3-04,2e-06,2e-06,1e-06,2e-06,751.0,713492.0
2017-3-05,2e-06,2e-06,1e-06,1e-06,184.0,736156.0
2017-3-06,1e-06,2e-06,1e-06,1e-06,758.0,576460.0
2017-3-07,1e-06,1e-06,1e-06,1e-06,53.0,624140.0
2017-3-08,1e-06,2e-06,1e-06,2e-06,577.0,581375.0
2017-3-09,2e-06,2e-06,1e-06,2e-06,705.0,690806.0
2017-3-10,2e-06,2e-06,1e-06,1e-06,554.0,695105.0
2017-3-11,2e-06,2e-06,1e-06,1e-06,341.0,689787.0
2017-3-12,1e-06,1e-06,1e-06,1e-06,1708.0,619948.0
