datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.00052,0.000608,0.000413,0.000589,219.0,10612.0
2017-1-02,0.000589,0.000607,0.000481,0.00049,27.0,12012.0
2017-1-03,0.00049,0.000608,0.000483,0.000595,304.0,10004.0
2017-1-04,0.000595,0.000642,0.000476,0.000484,79.0,12138.0
2017-1-05,0.000485,0.000612,0.000392,0.000414,25.0,9896.0
2017-1-06,0.000415,0.000481,0.0004,0.00046,10.0,8479.0
2017-1-07,0.000461,0.000463,0.000329,0.000363,30.0,9405.0
2017-1-08,0.000363,0.000484,0.00036,0.000473,38.0,7419.0
2017-1-09,0.000474,0.000475,0.000372,0.000379,2.0,9674.0
2017-1-10,0.000379,0.000383,0.000378,0.00038,2.0,7743.0
2017-1-11,0.000382,0.000428,0.000336,0.000413,25.0,7800.0
2017-1-12,0.000412,0.000412,0.000306,0.000403,49.0,8420.0
2017-1-13,0.000402,0.000415,0.000336,0.000411,41.0,8222.0
2017-1-14,0.000412,0.000418,0.000355,0.000409,39.0,8419.0
2017-1-15,0.000409,0.00042,0.00037,0.000419,76.0,8363.0
2017-1-16,0.000419,0.000425,0.000373,0.000374,0.0,8567.0
2017-1-17,0.000374,0.000483,0.000374,0.000481,16.0,7650.0
2017-1-18,0.000481,0.000489,0.000418,0.000424,1.0,9839.0
2017-1-19,0.000426,0.000478,0.000424,0.000441,16.0,8703.0
2017-1-20,0.000441,0.000486,0.00044,0.000474,1.0,9011.0
2017-1-21,0.000474,0.0005,0.000405,0.000489,49.0,9704.0
2017-1-22,0.000489,0.000489,0.000435,0.00048,5.0,9996.0
2017-1-23,0.000481,0.000489,0.000424,0.00047,123.0,9840.0
2017-1-24,0.000464,0.000492,0.000419,0.000419,32.0,9506.0
2017-1-25,0.00042,0.000425,0.000419,0.000423,0.0,8589.0
2017-1-26,0.000494,0.000496,0.000494,0.000495,0.0,10115.0
2017-1-27,0.000495,0.000498,0.000414,0.000414,56.0,10146.0
2017-1-28,0.000414,0.000656,0.000414,0.000645,465.0,8477.0
2017-1-29,0.000645,0.000803,0.0006,0.000772,972.0,13215.0
2017-1-30,0.000772,0.000775,0.000562,0.000691,44.0,15824.0
2017-1-31,0.00069,0.000694,0.000536,0.000582,21.0,14145.0
