datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 03, 2017",0.000103,0.000104,9.4e-05,9.4e-05,0.0,0.0
"Jan 04, 2017",9.4e-05,0.000104,9.4e-05,0.000104,0.0,0.0
"Jan 05, 2017",8.7e-05,9.2e-05,8.7e-05,9.1e-05,0.0,0.0
"Jan 06, 2017",9.1e-05,9.4e-05,8e-05,8.1e-05,0.0,0.0
"Jan 07, 2017",8.1e-05,8.2e-05,8.1e-05,8.1e-05,0.0,0.0
"Jan 09, 2017",8e-05,0.000172,8e-05,0.000172,4.0,0.0
"Jan 10, 2017",0.000172,0.000174,0.000171,0.000172,3.0,0.0
"Jan 13, 2017",7.4e-05,7.5e-05,7.4e-05,7.4e-05,0.0,0.0
"Jan 14, 2017",7.4e-05,7.5e-05,7.3e-05,7.4e-05,0.0,0.0
"Jan 15, 2017",7.4e-05,7.4e-05,7.3e-05,7.4e-05,0.0,0.0
"Jan 16, 2017",7.5e-05,7.5e-05,7.5e-05,7.5e-05,0.0,0.0
"Jan 17, 2017",7.5e-05,8.1e-05,7.5e-05,7.9e-05,0.0,0.0
"Jan 18, 2017",8.9e-05,9e-05,8.6e-05,8.8e-05,0.0,0.0
"Jan 19, 2017",8.9e-05,9e-05,8.8e-05,9e-05,0.0,0.0
"Jan 21, 2017",9.2e-05,0.000176,9.2e-05,0.000175,0.0,0.0
"Jan 22, 2017",0.000175,0.000178,0.000171,0.000175,0.0,0.0
"Jan 23, 2017",0.000175,0.000176,0.000175,0.000175,1.0,0.0
"Jan 24, 2017",0.000173,0.000176,9.1e-05,0.00017,15.0,0.0
"Jan 25, 2017",0.00017,0.00017,0.000169,0.00017,15.0,0.0
"Jan 26, 2017",9.1e-05,0.000184,9.1e-05,0.000184,0.0,0.0
"Jan 27, 2017",0.000184,0.000184,0.00011,0.00011,0.0,0.0
"Jan 28, 2017",0.00011,0.000111,0.00011,0.000111,0.0,0.0
"Jan 29, 2017",0.000111,0.000111,0.00011,0.00011,0.0,0.0
"Jan 30, 2017",0.00011,0.000111,0.00011,0.00011,0.0,0.0
"Jan 31, 2017",0.00011,0.000115,0.00011,0.000114,0.0,0.0
"Feb 01, 2017",0.000118,0.000119,0.000118,0.000119,0.0,0.0
"Feb 02, 2017",0.000119,0.000122,0.000118,0.000121,0.0,0.0
"Feb 03, 2017",0.000121,0.000123,3e-05,3.1e-05,2.0,0.0
"Feb 04, 2017",3.1e-05,4.2e-05,3e-05,4.2e-05,1.0,0.0
"Feb 05, 2017",4.2e-05,4.2e-05,3.1e-05,3.1e-05,1.0,0.0
"Feb 06, 2017",3.1e-05,8.3e-05,2.1e-05,2.1e-05,3.0,0.0
"Feb 07, 2017",2.1e-05,4.2e-05,2.1e-05,4.2e-05,5.0,0.0
"Feb 08, 2017",4.2e-05,4.3e-05,2.1e-05,4.3e-05,1.0,0.0
"Feb 09, 2017",4.3e-05,4.4e-05,1e-05,1e-05,0.0,0.0
"Feb 10, 2017",1e-05,1e-05,1e-05,1e-05,0.0,0.0
"Feb 15, 2017",1e-05,1e-05,1e-05,1e-05,0.0,0.0
"Feb 16, 2017",1e-05,1e-05,1e-05,1e-05,0.0,0.0
"Feb 21, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,0.0
"Feb 22, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,0.0
"Feb 23, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,0.0
"Feb 25, 2017",4.7e-05,4.7e-05,1.1e-05,1.1e-05,0.0,0.0
