datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.209126,0.212563,0.190322,0.209655,6808.0,1222990.0
"Jul 25, 2017",0.191725,0.211112,0.177877,0.194523,5137.0,1121220.0
"Jul 26, 2017",0.194609,0.198123,0.173752,0.191091,4218.0,1138090.0
"Jul 27, 2017",0.191633,0.198761,0.177611,0.18616,506.0,1120680.0
"Jul 28, 2017",0.186724,0.220436,0.186671,0.220252,7551.0,1091980.0
"Jul 29, 2017",0.220135,0.232481,0.199524,0.229618,5912.0,1287370.0
"Jul 30, 2017",0.230191,0.23375,0.146056,0.146503,2042.0,1346210.0
"Jul 31, 2017",0.146781,0.211036,0.118714,0.197443,3031.0,858411.0
"Aug 01, 2017",0.197761,0.231204,0.197761,0.226972,3314.0,1156550.0
"Aug 02, 2017",0.226465,0.229051,0.137084,0.215149,2471.0,1324500.0
"Aug 03, 2017",0.215538,0.226549,0.164778,0.221465,2862.0,1260590.0
"Aug 04, 2017",0.221527,0.224394,0.164438,0.179063,2267.0,1295620.0
"Aug 05, 2017",0.178962,0.2732,0.178597,0.2732,1191.0,1046670.0
"Aug 06, 2017",0.274504,0.274504,0.240375,0.250244,837.0,1605460.0
"Aug 07, 2017",0.249768,0.250739,0.13234,0.166518,904.0,1460790.0
"Aug 08, 2017",0.166772,0.276773,0.165524,0.272117,2285.0,975381.0
"Aug 09, 2017",0.272612,0.289432,0.19058,0.193667,1369.0,1594390.0
"Aug 10, 2017",0.193398,0.226391,0.174326,0.174326,1002.0,1131110.0
"Aug 11, 2017",0.174275,0.181968,0.172474,0.177655,123.0,1019260.0
"Aug 12, 2017",0.177603,0.23561,0.177603,0.215647,32.0,1038730.0
"Aug 13, 2017",0.215508,0.236808,0.156361,0.234323,7203.0,1260410.0
"Aug 14, 2017",0.234866,0.241488,0.102945,0.232885,7825.0,1373640.0
"Aug 15, 2017",0.233253,0.23353,0.213556,0.226204,3013.0,1364200.0
"Aug 16, 2017",0.226821,0.2291,0.1431,0.219835,5698.0,1326580.0
"Aug 17, 2017",0.219864,0.229336,0.149535,0.150875,8532.0,1285890.0
"Aug 18, 2017",0.150495,0.184582,0.148429,0.175943,3663.0,880184.0
"Aug 19, 2017",0.175943,0.179431,0.147552,0.176051,1526.0,1029010.0
"Aug 20, 2017",0.175328,0.175328,0.135811,0.165209,3863.0,1025420.0
"Aug 21, 2017",0.164786,0.16951,0.133979,0.15259,742.0,963763.0
"Aug 22, 2017",0.152083,0.155291,0.119069,0.121198,654.0,889469.0
