datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.013579,0.014871,0.012629,0.013098,1074080.0,52134900.0
"Jul 25, 2017",0.013099,0.013203,0.0108,0.010967,541693.0,50294600.0
"Jul 26, 2017",0.01108,0.011706,0.01015,0.010608,513288.0,42540900.0
"Jul 27, 2017",0.010639,0.011411,0.010569,0.01098,431993.0,40850100.0
"Jul 28, 2017",0.010909,0.01242,0.010867,0.011301,658726.0,41886100.0
"Jul 29, 2017",0.011267,0.011775,0.01071,0.011573,211393.0,43260800.0
"Jul 30, 2017",0.011564,0.011965,0.011026,0.011258,142368.0,44400600.0
"Jul 31, 2017",0.011391,0.011855,0.010676,0.011556,442097.0,43734600.0
"Aug 01, 2017",0.011566,0.012802,0.011379,0.012475,600151.0,44407600.0
"Aug 02, 2017",0.012478,0.013099,0.011655,0.012208,335031.0,47909600.0
"Aug 03, 2017",0.012056,0.01348,0.011906,0.013274,307817.0,46287200.0
"Aug 04, 2017",0.013122,0.013701,0.012503,0.013322,572205.0,50380100.0
"Aug 05, 2017",0.013091,0.015337,0.012783,0.014735,523661.0,50261500.0
"Aug 06, 2017",0.01469,0.019855,0.014465,0.017683,1868120.0,56401400.0
"Aug 07, 2017",0.017839,0.0188,0.01595,0.017348,897438.0,68493700.0
"Aug 08, 2017",0.017112,0.020009,0.016574,0.019663,953548.0,65700100.0
"Aug 09, 2017",0.019536,0.020199,0.017344,0.020046,566208.0,75009200.0
"Aug 10, 2017",0.019758,0.026873,0.01884,0.026585,2559630.0,75860500.0
"Aug 11, 2017",0.026812,0.040196,0.024706,0.032959,7417180.0,102945000.0
"Aug 12, 2017",0.033608,0.034496,0.027105,0.027105,2262110.0,129035000.0
"Aug 13, 2017",0.027055,0.032037,0.023252,0.02996,1878590.0,103878000.0
"Aug 14, 2017",0.030088,0.03194,0.025414,0.026922,1356670.0,115521000.0
"Aug 15, 2017",0.026476,0.026866,0.021883,0.024369,989450.0,101655000.0
"Aug 16, 2017",0.024498,0.027794,0.024089,0.025873,1100330.0,94057500.0
"Aug 17, 2017",0.025741,0.03833,0.024778,0.032533,4157260.0,98831400.0
"Aug 18, 2017",0.033058,0.03512,0.02674,0.029334,1399670.0,126925000.0
"Aug 19, 2017",0.030039,0.044616,0.027647,0.030823,688178.0,115334000.0
"Aug 20, 2017",0.03128,0.035951,0.030318,0.031369,820968.0,120100000.0
"Aug 21, 2017",0.031266,0.040488,0.028289,0.028289,933758.0,120045000.0
"Aug 22, 2017",0.028309,0.031505,0.025821,0.029433,678155.0,108690000.0
