datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000183,0.000191,0.000182,0.00019,2.0,0.0
"Jan 02, 2017",0.00019,0.000196,0.000189,0.000194,2.0,0.0
"Jan 03, 2017",0.000194,0.000198,0.000194,0.000198,0.0,0.0
"Jan 04, 2017",0.000198,0.000218,0.000198,0.000215,0.0,0.0
"Jan 05, 2017",0.00034,0.000345,0.000264,0.000293,1.0,0.0
"Jan 06, 2017",0.000294,0.000972,0.000283,0.00092,19.0,0.0
"Jan 07, 2017",0.000922,0.000926,0.00084,0.00092,9.0,0.0
"Jan 09, 2017",0.000338,0.000633,0.000336,0.000632,1.0,0.0
"Jan 10, 2017",0.000632,0.00064,0.000631,0.000634,1.0,0.0
"Jul 20, 2017",0.000629,0.000667,0.000628,0.000647,4.0,0.0
"Jul 21, 2017",0.000651,0.000925,0.000605,0.00064,4.0,0.0
"Jul 22, 2017",0.00064,0.001012,0.000637,0.000991,19.0,0.0
"Jul 23, 2017",0.000991,0.001,0.00068,0.000688,17.0,0.0
"Jul 24, 2017",0.000688,0.001589,0.000604,0.000607,181.0,0.0
"Jul 25, 2017",0.000607,0.000611,0.000429,0.000461,28.0,0.0
"Jul 26, 2017",0.000461,0.000469,0.000338,0.000352,58.0,0.0
"Jul 27, 2017",0.000353,0.000361,0.000329,0.000345,17.0,0.0
"Jul 28, 2017",0.000346,0.000395,0.000346,0.000391,2.0,0.0
"Jul 29, 2017",0.000389,0.000412,0.000374,0.000381,3.0,0.0
"Jul 30, 2017",0.00038,0.000384,0.000364,0.000383,1.0,0.0
"Jul 31, 2017",0.000384,0.000392,0.000361,0.000372,2.0,0.0
"Aug 01, 2017",0.000372,0.000695,0.000346,0.000682,11.0,0.0
"Aug 02, 2017",0.000682,0.000688,0.000664,0.000675,9.0,0.0
"Aug 03, 2017",0.000676,0.0007,0.000676,0.000697,12.0,0.0
"Aug 04, 2017",0.000697,0.000919,0.000692,0.000714,14.0,0.0
"Aug 05, 2017",0.000714,0.00083,0.000713,0.000814,46.0,0.0
"Aug 06, 2017",0.000814,0.009595,0.000789,0.009521,21099.0,0.0
"Aug 07, 2017",0.009499,0.009543,0.00134,0.001423,32.0,0.0
"Aug 08, 2017",0.001425,0.001462,0.001349,0.001403,91.0,0.0
"Aug 09, 2017",0.001402,0.0017,0.001303,0.001504,79.0,0.0
"Aug 10, 2017",0.001504,0.001602,0.001504,0.001571,13.0,0.0
"Aug 11, 2017",0.001571,0.00163,0.001188,0.001206,48.0,0.0
"Aug 12, 2017",0.001205,0.001257,0.001121,0.0012,8.0,0.0
"Aug 13, 2017",0.001199,0.001299,0.001196,0.001258,7.0,0.0
"Aug 14, 2017",0.001259,0.001339,0.001234,0.001338,8.0,0.0
"Aug 15, 2017",0.001341,0.001372,0.001197,0.001286,5.0,0.0
"Aug 16, 2017",0.001288,0.001348,0.001224,0.001338,0.0,0.0
"Aug 17, 2017",0.001354,0.00139,0.0013,0.001331,5.0,0.0
"Aug 18, 2017",0.001327,0.00135,0.001193,0.001234,20.0,0.0
"Aug 19, 2017",0.001233,0.001255,0.00119,0.001249,3.0,0.0
"Aug 20, 2017",0.001244,0.001727,0.001215,0.00171,12.0,0.0
"Aug 21, 2017",0.001704,0.001717,0.001191,0.001237,5.0,0.0
"Aug 22, 2017",0.00124,0.001541,0.001123,0.00131,28.0,0.0
