datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000395,0.000395,0.000337,0.000349,0.0,1586.0
2017-1-02,0.000349,0.000423,0.000349,0.000419,3.0,1403.0
2017-1-03,0.000419,0.000424,0.000378,0.000385,1.0,1682.0
2017-1-04,0.000385,0.000402,0.00037,0.000393,0.0,1547.0
2017-1-05,0.000415,0.000417,0.000319,0.000354,0.0,1666.0
2017-1-06,0.000355,0.000366,0.000265,0.000271,2.0,1426.0
2017-1-07,0.000271,0.000499,0.000248,0.000309,2.0,1089.0
2017-1-08,0.000309,0.000356,0.000306,0.000354,0.0,1242.0
2017-1-09,0.000354,0.000366,0.000342,0.000365,0.0,1425.0
2017-1-10,0.000362,0.000365,0.000362,0.000363,0.0,1458.0
2017-1-11,0.000363,0.000368,0.00032,0.00032,0.0,1461.0
2017-1-12,0.00026,0.000392,0.00026,0.000329,1.0,1047.0
2017-1-13,0.000329,0.000339,0.000319,0.000339,0.0,1324.0
2017-1-14,0.000357,0.000359,0.000341,0.000344,4.0,1439.0
2017-1-15,0.000344,0.000346,0.000261,0.000263,0.0,1385.0
2017-1-16,0.000263,0.000429,0.000262,0.000427,0.0,1059.0
2017-1-17,0.000427,0.00048,0.000398,0.000408,7.0,1722.0
2017-1-18,0.000409,0.000494,0.000395,0.000494,3.0,1646.0
2017-1-19,0.000497,0.000525,0.000488,0.000522,4.0,2001.0
2017-1-20,0.000521,0.000721,0.000497,0.000718,117.0,2102.0
2017-1-21,0.000718,0.000719,0.000599,0.000675,5.0,2893.0
2017-1-22,0.000675,0.000676,0.000412,0.000414,1.0,2722.0
2017-1-23,0.000414,0.000702,0.000414,0.000608,2.0,1669.0
2017-1-24,0.000601,0.000712,0.000596,0.000692,2.0,2423.0
2017-1-25,0.000692,0.000699,0.000369,0.000369,0.0,2793.0
2017-1-26,0.000597,0.000607,0.000538,0.00054,1.0,2408.0
2017-1-27,0.00054,0.000552,0.000377,0.000552,0.0,2179.0
2017-1-28,0.000552,0.000627,0.000552,0.000627,4.0,2229.0
2017-1-29,0.000627,0.000739,0.000627,0.000736,3.0,2532.0
2017-1-30,0.000736,0.000738,0.000653,0.000737,7.0,2974.0
2017-1-31,0.000736,0.000826,0.000683,0.000825,0.0,2977.0
2017-2-01,0.000825,0.000838,0.000825,0.000834,0.0,3335.0
2017-2-02,0.000752,0.000753,0.00067,0.000688,11.0,3039.0
2017-2-03,0.000688,0.00104,0.000686,0.00104,46.0,2781.0
2017-2-04,0.001042,0.00109,0.000736,0.001059,15.0,4212.0
2017-2-05,0.00106,0.001137,0.001038,0.00113,0.0,4286.0
2017-2-06,0.001131,0.001163,0.000828,0.001069,6.0,4577.0
2017-2-07,0.001071,0.001094,0.000998,0.001,8.0,4338.0
2017-2-08,0.001001,0.011626,0.000873,0.003592,14690.0,4056.0
2017-2-09,0.003597,0.006352,0.002146,0.002536,7376.0,14590.0
2017-2-10,0.002539,0.003127,0.002217,0.003104,44.0,10301.0
2017-2-11,0.003105,0.003154,0.002221,0.002222,39.0,12605.0
2017-2-12,0.00222,0.002372,0.002071,0.002075,114.0,9024.0
2017-2-13,0.002074,0.002899,0.002013,0.002021,11.0,8442.0
2017-2-14,0.002023,0.002063,0.001761,0.001785,22.0,8241.0
2017-2-15,0.001788,0.001791,0.000688,0.000818,575.0,7284.0
2017-2-16,0.000818,0.001162,0.00069,0.000918,51.0,3332.0
2017-2-17,0.000917,0.00114,0.000596,0.000596,226.0,4228.0
2017-2-18,0.000598,0.000959,0.000508,0.000508,422.0,2758.0
2017-2-19,0.000508,0.001003,0.000506,0.000715,4.0,2345.0
2017-2-20,0.000716,0.000729,0.000429,0.000478,34.0,3302.0
2017-2-21,0.000478,0.00057,0.000476,0.000569,9.0,2203.0
2017-2-22,0.000568,0.000604,0.000521,0.000521,6.0,2623.0
2017-2-23,0.000521,0.000647,0.000512,0.000642,0.0,2405.0
2017-2-24,0.000645,0.00066,0.000557,0.000622,21.0,2976.0
2017-2-25,0.000621,0.000748,0.000556,0.000691,55.0,2864.0
2017-2-26,0.000691,0.000692,0.000466,0.000469,78.0,3190.0
2017-2-27,0.000468,0.000645,0.000466,0.000555,7.0,2160.0
2017-2-28,0.000555,0.000561,0.000551,0.000555,1.0,2561.0
2017-3-01,0.000615,0.000648,0.000556,0.000648,13.0,2836.0
2017-3-02,0.000649,0.000669,0.000553,0.0006,6.0,2995.0
2017-3-03,0.0006,0.000724,0.0006,0.000626,2.0,2770.0
2017-3-04,0.000628,0.000629,0.000591,0.000602,9.0,2896.0
2017-3-05,0.000602,0.001234,0.000585,0.000697,354.0,2778.0
2017-3-06,0.000697,0.000699,0.00061,0.000612,8.0,3217.0
2017-3-07,0.000612,0.000621,0.000591,0.000602,1.0,2824.0
2017-3-08,0.000602,0.000619,0.000563,0.000563,3.0,2777.0
2017-3-09,0.000564,0.000597,0.000559,0.000594,1.0,2601.0
2017-3-10,0.000595,0.00061,0.000517,0.000536,16.0,2744.0
2017-3-11,0.000536,0.000585,0.000536,0.000576,2.0,2473.0
2017-3-12,0.000577,0.000704,0.000576,0.000704,3.0,2661.0
2017-3-13,0.000704,0.000713,0.000628,0.000628,2.0,3248.0
2017-3-14,0.000628,0.000635,0.000574,0.000575,12.0,2950.0
2017-3-15,0.000575,0.00065,0.000575,0.000595,17.0,2702.0
2017-3-16,0.000596,0.000599,0.000549,0.000565,2.0,2802.0
2017-3-17,0.000562,0.00061,0.000534,0.000539,1.0,2643.0
2017-3-18,0.000539,0.000546,0.00047,0.000478,6.0,2536.0
2017-3-19,0.00048,0.000556,0.00048,0.000498,7.0,2257.0
2017-3-20,0.000498,0.000521,0.000498,0.000517,1.0,2343.0
2017-3-21,0.000517,0.000651,0.000517,0.00065,1.0,2434.0
2017-3-22,0.00065,0.00065,0.000504,0.000567,1.0,3058.0
2017-3-23,0.000567,0.000598,0.000545,0.000579,7.0,2669.0
2017-3-24,0.000579,0.000601,0.000458,0.000459,4.0,2725.0
2017-3-25,0.000459,0.000517,0.000443,0.000516,0.0,2161.0
2017-3-26,0.000516,0.000516,0.00047,0.000474,0.0,2431.0
2017-3-27,0.000476,0.000552,0.000476,0.000523,3.0,2243.0
2017-3-28,0.000522,0.000564,0.000522,0.000555,1.0,2460.0
2017-3-29,0.000554,0.000554,0.000514,0.00052,1.0,2611.0
2017-3-30,0.000521,0.000525,0.00051,0.000513,0.0,2454.0
2017-3-31,0.000513,0.000559,0.000507,0.000525,9.0,2418.0
2017-4-01,0.000525,0.000785,0.000523,0.000772,139.0,2475.0
2017-4-02,0.00073,0.000814,0.000602,0.00076,185.0,3443.0
2017-4-03,0.000815,0.00084,0.000772,0.000835,219.0,3849.0
2017-4-04,0.000836,0.000844,0.000817,0.000827,149.0,3952.0
2017-4-05,0.000827,0.000828,0.000813,0.000821,131.0,3917.0
2017-4-06,0.000822,0.000867,0.000822,0.000863,219.0,3892.0
2017-4-07,0.00086,0.00087,0.000849,0.000859,151.0,4073.0
2017-4-08,0.000856,0.00087,0.000849,0.000858,166.0,4054.0
2017-4-09,0.000859,0.000861,0.000707,0.000707,4.0,4069.0
2017-4-10,0.000706,0.000868,0.000702,0.000867,0.0,3347.0
2017-4-11,0.000874,0.001167,0.000873,0.001048,111.0,4139.0
2017-4-12,0.001048,0.001198,0.000899,0.000971,314.0,4966.0
2017-4-13,0.001126,0.001288,0.000949,0.001234,243.0,5334.0
2017-4-14,0.00127,0.001585,0.000948,0.001481,540.0,6017.0
2017-4-15,0.001492,0.00153,0.001255,0.001405,345.0,7068.0
2017-4-16,0.001405,0.00146,0.001111,0.001155,295.0,6785.0
2017-4-17,0.001155,0.001399,0.001078,0.00131,221.0,5579.0
2017-4-18,0.001377,0.001497,0.001114,0.00126,246.0,6650.0
2017-4-19,0.00126,0.001521,0.001117,0.001355,382.0,6086.0
2017-4-20,0.001356,0.001514,0.00121,0.00145,120.0,6550.0
2017-4-21,0.001426,0.001593,0.001101,0.00129,657.0,6888.0
2017-4-22,0.001183,0.001437,0.00089,0.001182,477.0,5716.0
2017-4-23,0.001183,0.001234,0.000977,0.001135,298.0,5712.0
2017-4-24,0.001137,0.001268,0.001025,0.001174,446.0,5491.0
2017-4-25,0.001174,0.001317,0.0011,0.001265,483.0,5673.0
2017-4-26,0.001266,0.001276,0.000931,0.001166,308.0,6114.0
2017-4-27,0.001179,0.001271,0.000987,0.001212,522.0,5696.0
2017-4-28,0.001251,0.001264,0.000971,0.001198,517.0,6044.0
2017-4-29,0.001199,0.00122,0.001004,0.001072,387.0,5792.0
2017-4-30,0.001098,0.001229,0.000943,0.00109,364.0,5304.0
2017-5-01,0.00113,0.00126,0.000957,0.00125,1297.0,5458.0
2017-5-02,0.001136,0.001382,0.001058,0.001264,1053.0,5488.0
2017-5-03,0.001323,0.001378,0.001131,0.001311,880.0,6390.0
2017-5-04,0.001297,0.001639,0.001086,0.001308,773.0,6263.0
2017-5-05,0.001158,0.001558,0.001152,0.001388,726.0,5595.0
2017-5-06,0.001405,0.001531,0.001103,0.001279,1178.0,6784.0
2017-5-07,0.001248,0.001551,0.001165,0.001229,490.0,6026.0
2017-5-08,0.00123,0.001511,0.001204,0.001327,1012.0,5939.0
2017-5-09,0.001327,0.0015,0.001307,0.001424,868.0,6410.0
2017-5-10,0.001408,0.001453,0.001349,0.001427,1077.0,6800.0
2017-5-11,0.00143,0.001507,0.001373,0.00146,1182.0,6906.0
2017-5-12,0.001443,0.001459,0.001255,0.001307,753.0,6972.0
2017-5-13,0.001304,0.001417,0.001222,0.00133,1044.0,6300.0
2017-5-14,0.001406,0.001906,0.001343,0.001581,472.0,6789.0
2017-5-15,0.001582,0.001584,0.001293,0.001437,1031.0,7641.0
2017-5-16,0.001434,0.001521,0.001293,0.001426,908.0,6928.0
2017-5-17,0.001478,0.001598,0.00128,0.001434,1183.0,7137.0
2017-5-18,0.001433,0.001715,0.001362,0.001613,1101.0,6922.0
2017-5-19,0.001681,0.001802,0.001513,0.001657,922.0,8120.0
2017-5-20,0.001728,0.001834,0.001605,0.001801,860.0,8347.0
2017-5-21,0.00178,0.002602,0.001649,0.002354,2111.0,8599.0
2017-5-22,0.002464,0.002986,0.001783,0.002448,216.0,11900.0
2017-5-23,0.002677,0.003021,0.002508,0.002678,96.0,12928.0
2017-5-24,0.002681,0.00321,0.002681,0.003126,253.0,12950.0
2017-5-25,0.003121,0.003653,0.00288,0.002957,209.0,15073.0
2017-5-26,0.002936,0.003361,0.002609,0.002819,314.0,14180.0
2017-5-27,0.002828,0.002919,0.002339,0.002644,54.0,13661.0
2017-5-28,0.00268,0.002995,0.00268,0.002826,120.0,12946.0
2017-5-29,0.00282,0.003036,0.002742,0.002972,76.0,13622.0
2017-5-30,0.002975,0.003038,0.002737,0.00288,1.0,14369.0
2017-5-31,0.002891,0.003052,0.002855,0.002993,1.0,13963.0
2017-6-01,0.002996,0.003128,0.002381,0.002893,275.0,14471.0
2017-6-02,0.002896,0.003219,0.002813,0.003219,331.0,13986.0
2017-6-03,0.003168,0.003355,0.002988,0.003227,166.0,15301.0
2017-6-04,0.003269,0.003342,0.002365,0.002994,111.0,15788.0
2017-6-05,0.002466,0.00293,0.002133,0.002321,214.0,11913.0
2017-6-06,0.002346,0.002749,0.002244,0.002379,38.0,11329.0
2017-6-07,0.002379,0.002807,0.002335,0.00257,78.0,11492.0
2017-6-08,0.002583,0.003749,0.002484,0.003749,120.0,12476.0
2017-6-09,0.003529,0.003996,0.002043,0.003016,224.0,17046.0
2017-6-10,0.00302,0.004628,0.00302,0.00379,43.0,14587.0
2017-6-11,0.003788,0.004728,0.002975,0.003364,5.0,18294.0
2017-6-12,0.003359,0.004583,0.00334,0.003701,82.0,16224.0
2017-6-13,0.003689,0.004203,0.003282,0.003776,55.0,17815.0
2017-6-14,0.003774,0.004297,0.003141,0.003262,121.0,18228.0
2017-6-15,0.003262,0.004091,0.001917,0.003559,6.0,15755.0
2017-6-16,0.003557,0.003889,0.003493,0.003707,5.0,17179.0
2017-6-17,0.003707,0.003707,0.002448,0.002723,18.0,17905.0
2017-6-18,0.002723,0.004791,0.002723,0.004292,18.0,13151.0
2017-6-19,0.004292,0.00459,0.002884,0.003721,8.0,20729.0
2017-6-20,0.003721,0.005115,0.002394,0.002812,703.0,17972.0
2017-6-21,0.002812,0.003383,0.001824,0.002698,245.0,13584.0
2017-6-22,0.002698,0.002773,0.002698,0.002773,3.0,13030.0
2017-6-23,0.002773,0.003361,0.002773,0.002998,14.0,13392.0
2017-6-24,0.002998,0.003093,0.0028,0.002854,0.0,14479.0
2017-6-25,0.002848,0.002903,0.002562,0.00278,12.0,13754.0
2017-6-26,0.002779,0.002831,0.002572,0.002716,13.0,13421.0
2017-6-27,0.002716,0.002998,0.00211,0.002307,14.0,13118.0
2017-6-28,0.002323,0.00264,0.002252,0.002606,2.0,11222.0
2017-6-29,0.002604,0.002609,0.0023,0.0023,36.0,12575.0
2017-6-30,0.002304,0.003261,0.002272,0.003164,15.0,11129.0
2017-7-01,0.003163,0.00318,0.002291,0.002311,10.0,15276.0
2017-7-02,0.002311,0.002434,0.002277,0.002424,0.0,11161.0
2017-7-03,0.002415,0.003317,0.002396,0.002917,7.0,11663.0
2017-7-04,0.00291,0.003009,0.00247,0.002514,1.0,14055.0
2017-7-05,0.002512,0.002536,0.002449,0.002521,2.0,12135.0
2017-7-06,0.002522,0.003356,0.002463,0.003241,32.0,12180.0
2017-7-07,0.003243,0.003302,0.00279,0.002818,19.0,15664.0
2017-7-08,0.00282,0.003891,0.002793,0.003311,154.0,13621.0
2017-7-09,0.003314,0.003967,0.003045,0.003856,30.0,16007.0
2017-7-10,0.003863,0.003982,0.002555,0.002627,7.0,18660.0
2017-7-11,0.002621,0.002653,0.002435,0.002478,8.0,12660.0
2017-7-12,0.002465,0.003257,0.002352,0.003255,20.0,11908.0
2017-7-13,0.003258,0.003345,0.0026,0.002748,47.0,15734.0
2017-7-14,0.002746,0.004718,0.002714,0.004582,550.0,13265.0
2017-7-15,0.004574,0.004583,0.002423,0.003777,144.0,22094.0
2017-7-16,0.003765,0.003846,0.00349,0.003633,5.0,18186.0
2017-7-17,0.003629,0.004692,0.003492,0.004434,40.0,17527.0
2017-7-18,0.004445,0.00453,0.003054,0.003918,5.0,21469.0
2017-7-19,0.003925,0.007536,0.003837,0.007453,826.0,18956.0
2017-7-20,0.00743,0.007639,0.003019,0.00739,472.0,35887.0
2017-7-21,0.007445,0.008275,0.004412,0.008192,230.0,35958.0
2017-7-22,0.008191,0.009142,0.003265,0.00603,4206.0,39560.0
2017-7-23,0.005832,0.007072,0.003742,0.005925,121.0,28168.0
2017-7-24,0.005928,0.008254,0.004645,0.008186,140.0,28630.0
2017-7-25,0.008186,0.008251,0.004247,0.004703,17.0,39536.0
2017-7-26,0.004705,0.007482,0.003898,0.007393,952.0,22725.0
2017-7-27,0.007414,0.007501,0.002468,0.004442,300.0,35810.0
2017-7-28,0.004456,0.005874,0.00331,0.00561,51.0,21520.0
2017-7-29,0.005588,0.00676,0.004546,0.006388,44.0,26991.0
2017-7-30,0.006387,0.006802,0.005901,0.006105,70.0,30851.0
2017-7-31,0.006112,0.007531,0.006027,0.006499,63.0,29519.0
2017-8-01,0.006502,0.006512,0.003683,0.003767,60.0,31406.0
2017-8-02,0.003766,0.006575,0.003766,0.005497,72.0,18192.0
2017-8-03,0.005507,0.007507,0.003812,0.007471,21.0,26597.0
2017-8-04,0.007469,0.00913,0.007418,0.00837,39.0,36076.0
2017-8-05,0.008366,0.009752,0.006316,0.007091,78.0,40409.0
2017-8-06,0.007093,0.007095,0.004881,0.004897,66.0,34259.0
2017-8-07,0.004886,0.00574,0.004345,0.00515,19.0,23597.0
2017-8-08,0.005155,0.006221,0.005117,0.005987,15.0,24898.0
