datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.269848,0.291221,0.250467,0.291221,1034.0,363108.0
2017-1-02,0.291381,0.301032,0.256298,0.284824,139.0,392111.0
2017-1-03,0.284813,0.284869,0.233377,0.278592,26.0,383295.0
2017-1-04,0.278528,0.294506,0.256413,0.265314,849.0,374862.0
2017-1-05,0.265588,0.304639,0.208835,0.276243,2446.0,357482.0
2017-1-06,0.276997,0.286135,0.23802,0.246608,1.0,372868.0
2017-1-07,0.246959,0.287127,0.225111,0.287127,453.0,332459.0
2017-1-08,0.287131,0.346587,0.285908,0.345771,1631.0,386566.0
2017-1-09,0.346256,0.428874,0.342765,0.381004,8312.0,466188.0
2017-1-10,0.380804,0.385884,0.34933,0.351591,1580.0,512756.0
2017-1-11,0.351626,0.431681,0.28754,0.316843,272.0,473508.0
2017-1-12,0.316384,0.326956,0.307434,0.315126,316.0,426078.0
2017-1-13,0.314932,0.37305,0.296846,0.370278,287.0,424154.0
2017-1-14,0.370793,0.375788,0.336926,0.339523,14.0,499413.0
2017-1-15,0.339395,0.341425,0.287454,0.289078,86.0,457166.0
2017-1-16,0.289067,0.338352,0.247923,0.337052,358.0,389416.0
2017-1-17,0.337137,0.357109,0.277411,0.353476,813.0,454217.0
2017-1-18,0.353705,0.35743,0.310861,0.315405,221.0,476572.0
2017-1-19,0.316709,0.321669,0.283767,0.318763,43.0,426756.0
2017-1-20,0.318631,0.408149,0.30315,0.399788,7023.0,429372.0
2017-1-21,0.399781,0.402069,0.32219,0.364116,745.0,538762.0
2017-1-22,0.364107,0.370322,0.331183,0.33262,139.0,490721.0
2017-1-23,0.333002,0.357996,0.330145,0.35679,1113.0,448833.0
2017-1-24,0.356561,0.35914,0.332106,0.334518,7.0,480617.0
2017-1-25,0.334668,0.352259,0.333481,0.334057,97.0,436812.0
2017-1-26,0.334148,0.365394,0.295362,0.295636,448.0,436159.0
2017-1-27,0.295646,0.364036,0.295646,0.356013,907.0,385925.0
2017-1-28,0.356008,0.458349,0.349127,0.458349,1501.0,464746.0
2017-1-29,0.458353,0.47072,0.37949,0.421369,92.0,598413.0
2017-1-30,0.421359,0.460762,0.404804,0.460355,664.0,550156.0
2017-1-31,0.460182,0.494699,0.414639,0.493954,1718.0,600873.0
2017-2-01,0.493877,0.499156,0.4702,0.499156,217.0,644927.0
2017-2-02,0.49911,0.550454,0.404951,0.503654,1878.0,651790.0
2017-2-03,0.503485,0.516088,0.469278,0.516088,9268.0,657555.0
2017-2-04,0.516799,0.603415,0.487096,0.602588,9073.0,675003.0
2017-2-05,0.602946,0.603009,0.55528,0.557846,110.0,787586.0
2017-2-06,0.558421,0.574411,0.534545,0.572436,4274.0,729505.0
2017-2-07,0.573533,0.584872,0.524597,0.571112,4048.0,749294.0
2017-2-08,0.571634,0.578792,0.468867,0.544951,17116.0,746864.0
2017-2-09,0.545786,0.547683,0.422201,0.462925,1382.0,713146.0
2017-2-10,0.463507,0.46503,0.386479,0.427255,2530.0,605660.0
2017-2-11,0.420964,0.426048,0.416759,0.419679,1174.0,550111.0
2017-2-12,0.397344,0.413856,0.376119,0.410993,682.0,519263.0
2017-2-13,0.410871,0.450841,0.388896,0.44572,287.0,536969.0
2017-2-14,0.446211,0.453248,0.389797,0.451977,2337.0,583189.0
2017-2-15,0.452724,0.513529,0.414886,0.502753,2757.0,591740.0
2017-2-16,0.502837,0.503132,0.406196,0.484284,4005.0,642769.0
2017-2-17,0.483662,0.495543,0.445162,0.493121,978.0,618325.0
2017-2-18,0.494535,0.495521,0.445056,0.478633,882.0,632263.0
2017-2-19,0.478787,0.494407,0.465466,0.493756,719.0,612147.0
2017-2-20,0.494143,0.507819,0.44758,0.50758,268.0,631812.0
2017-2-21,0.507251,0.521063,0.506004,0.510919,701.0,648647.0
2017-2-22,0.51069,0.51069,0.488928,0.491126,1.0,653083.0
2017-2-23,0.491051,0.493526,0.411279,0.414244,3617.0,628017.0
2017-2-24,0.416371,0.599148,0.398212,0.522229,7849.0,532543.0
2017-2-25,0.520774,0.522749,0.449836,0.470999,2923.0,666123.0
2017-2-26,0.471176,0.480741,0.429234,0.441098,2126.0,602720.0
2017-2-27,0.440561,0.525969,0.440409,0.525075,1188.0,563592.0
2017-2-28,0.525409,0.530984,0.445859,0.445946,1197.0,672188.0
2017-3-01,0.445973,0.504905,0.445863,0.504905,1874.0,570593.0
2017-3-02,0.505805,0.512084,0.426446,0.471581,3686.0,647187.0
2017-3-03,0.471468,0.471598,0.393149,0.461228,3532.0,603290.0
2017-3-04,0.46211,0.492482,0.406204,0.427404,214.0,591356.0
2017-3-05,0.427111,0.43155,0.421584,0.431492,2.0,546607.0
2017-3-06,0.431612,0.509824,0.431612,0.508076,487.0,552383.0
2017-3-07,0.508227,0.509042,0.402898,0.403719,587.0,650486.0
2017-3-08,0.403617,0.483118,0.385548,0.429157,2898.0,516644.0
2017-3-09,0.429288,0.430896,0.343538,0.381921,1879.0,549523.0
2017-3-10,0.382201,0.482613,0.253671,0.337975,8169.0,489289.0
2017-3-11,0.337854,0.374821,0.303545,0.370034,3712.0,432548.0
2017-3-12,0.370282,0.370584,0.335379,0.33588,705.0,474097.0
2017-3-13,0.33599,0.44475,0.334928,0.390666,4133.0,430213.0
2017-3-14,0.390743,0.477999,0.38165,0.385913,2113.0,500352.0
2017-3-15,0.385963,0.462159,0.385835,0.435614,3210.0,494259.0
2017-3-16,0.436214,0.438532,0.328436,0.365073,2495.0,558640.0
2017-3-17,0.362722,0.365366,0.317393,0.350929,1568.0,464550.0
2017-3-18,0.350757,0.35593,0.299351,0.350292,964.0,449267.0
2017-3-19,0.35134,0.404212,0.322151,0.347422,159.0,450048.0
2017-3-20,0.347589,0.401212,0.347589,0.36898,1363.0,445269.0
2017-3-21,0.369376,0.395933,0.342494,0.392492,2650.0,473210.0
2017-3-22,0.39253,0.39253,0.307278,0.337215,3547.0,502888.0
2017-3-23,0.337507,0.419604,0.337507,0.41528,9940.0,432420.0
2017-3-24,0.415224,0.613844,0.395828,0.508473,15798.0,532013.0
2017-3-25,0.507942,0.510528,0.314635,0.379724,5185.0,650827.0
