datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 05, 2017",0.001806,0.002365,0.001735,0.002163,7044.0,0.0
"Jan 06, 2017",0.002017,0.002279,0.000578,0.000821,1142.0,0.0
"Jan 07, 2017",0.000822,0.001171,0.000306,0.000382,39.0,0.0
"Jan 08, 2017",0.000382,0.000382,0.000268,0.000309,6.0,0.0
"Jan 09, 2017",0.00031,0.000362,0.00025,0.000361,8.0,0.0
"Jan 10, 2017",0.000361,0.000375,0.000263,0.000263,1.0,0.0
"Jan 11, 2017",0.000263,0.000267,0.000214,0.000218,1.0,0.0
"Jan 12, 2017",0.000218,0.000746,0.000212,0.000379,27.0,0.0
"Jan 13, 2017",0.000378,0.000671,0.000226,0.00051,5.0,0.0
"Jan 14, 2017",0.000511,0.000518,0.000341,0.000344,6.0,0.0
"Jan 15, 2017",0.000344,0.000346,0.000268,0.000271,3.0,0.0
"Jan 16, 2017",0.000271,0.000334,0.000271,0.000333,0.0,0.0
"Jan 17, 2017",0.000333,0.000392,0.000332,0.00039,0.0,0.0
"Jan 18, 2017",0.00039,0.000395,0.000383,0.000388,0.0,0.0
"Jan 19, 2017",0.0004,0.000407,0.000399,0.000405,0.0,0.0
"Jan 20, 2017",0.000405,0.000405,0.000313,0.000313,1.0,0.0
"Jan 21, 2017",0.000313,0.000343,0.000313,0.000341,0.0,0.0
"Jan 22, 2017",0.000341,0.000347,0.000335,0.000337,0.0,0.0
"Jan 23, 2017",0.000443,0.000585,0.000443,0.000581,1.0,0.0
"Jan 24, 2017",0.00058,0.000582,0.000569,0.000579,1.0,0.0
"Jan 25, 2017",0.000377,0.000379,0.000375,0.000379,0.0,0.0
"Jan 26, 2017",0.000379,0.004397,0.000379,0.000798,1019.0,0.0
"Jan 27, 2017",0.000798,0.00091,0.00065,0.000662,22.0,0.0
"Jan 28, 2017",0.000662,0.000665,0.000617,0.000617,1.0,0.0
"Jan 29, 2017",0.000617,0.000663,0.000414,0.000414,24.0,0.0
"Jan 30, 2017",0.000414,0.000498,0.000414,0.000497,8.0,0.0
"Jan 31, 2017",0.000497,0.000595,0.000449,0.000456,9.0,0.0
"Feb 01, 2017",0.000456,0.000601,0.000456,0.000514,0.0,0.0
"Feb 02, 2017",0.000514,0.001693,0.000462,0.00169,113.0,0.0
"Feb 03, 2017",0.001689,0.001727,0.000615,0.00069,13.0,0.0
"Feb 04, 2017",0.000691,0.000693,0.000582,0.000584,2.0,0.0
"Feb 05, 2017",0.000584,0.000739,0.000582,0.000729,1.0,0.0
"Feb 06, 2017",0.00073,0.000739,0.000467,0.000654,19.0,0.0
"Feb 07, 2017",0.000655,0.000701,0.000561,0.000563,15.0,0.0
"Feb 08, 2017",0.000563,0.000572,0.000478,0.000478,17.0,0.0
"Feb 09, 2017",0.000479,0.00049,0.000429,0.00044,16.0,0.0
"Feb 10, 2017",0.000476,0.000477,0.000475,0.000475,2.0,0.0
"Feb 11, 2017",0.000475,0.000484,0.000472,0.000483,2.0,0.0
"Feb 13, 2017",0.000521,0.000521,0.000508,0.000515,0.0,0.0
"Feb 14, 2017",0.000516,0.00052,0.000513,0.00052,0.0,0.0
"Feb 15, 2017",0.000473,0.000484,0.000473,0.000484,0.0,0.0
"Feb 16, 2017",0.000484,0.00062,0.000484,0.000616,2.0,0.0
"Feb 17, 2017",0.000616,0.001174,0.000502,0.000502,45.0,0.0
"Feb 18, 2017",0.000504,0.000626,0.000503,0.000622,7.0,0.0
"Feb 19, 2017",0.000622,0.000622,0.000543,0.000576,5.0,0.0
"Feb 20, 2017",0.000577,0.000594,0.000573,0.000594,2.0,0.0
"Feb 21, 2017",0.000594,0.000595,0.000592,0.000594,2.0,0.0
"Feb 22, 2017",0.000657,0.000664,0.000657,0.000659,2.0,0.0
"Feb 23, 2017",0.000659,0.000663,0.000594,0.000618,91.0,0.0
"Feb 24, 2017",0.000622,0.000636,0.000618,0.000636,1.0,0.0
"Feb 25, 2017",0.000936,0.000993,0.00066,0.000663,1.0,0.0
"Feb 26, 2017",0.000663,0.000804,0.000656,0.000804,0.0,0.0
"Feb 27, 2017",0.000803,0.000816,0.000706,0.000707,5.0,0.0
"Feb 28, 2017",0.000708,0.000888,0.000703,0.000885,1.0,0.0
"Mar 01, 2017",0.000885,0.000889,0.00071,0.000733,0.0,0.0
"Mar 02, 2017",0.000733,0.001084,0.000729,0.001076,2.0,0.0
"Mar 03, 2017",0.001076,0.001097,0.001066,0.001097,2.0,0.0
"Mar 04, 2017",0.001099,0.0011,0.001058,0.001077,1.0,0.0
"Mar 07, 2017",0.001084,0.001084,0.000757,0.000759,2.0,0.0
"Mar 08, 2017",0.000758,0.000764,0.000722,0.000739,1.0,0.0
"Mar 11, 2017",0.000783,0.000786,0.000768,0.000776,0.0,0.0
"Mar 12, 2017",0.000776,0.00081,0.000776,0.000805,0.0,0.0
"Mar 13, 2017",0.000807,0.000952,0.000803,0.000949,0.0,0.0
"Mar 14, 2017",0.000949,0.000958,0.000854,0.000955,2.0,0.0
"Mar 15, 2017",0.000955,0.000964,0.000955,0.000957,1.0,0.0
"Mar 16, 2017",0.001234,0.001236,0.000843,0.000938,5.0,0.0
"Mar 17, 2017",0.000932,0.000932,0.000759,0.000759,4.0,0.0
