datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 12, 2017",0.139365,0.139365,0.136036,0.137194,556.0,0.0
"Jan 13, 2017",2.68,5.38,0.155296,4.61,960.0,0.0
"Jan 14, 2017",4.62,4.68,0.211864,1.06,207.0,0.0
"Jan 15, 2017",1.06,3.13,1.06,3.12,1339.0,0.0
"Jan 16, 2017",3.12,3.16,0.415168,0.997841,102.0,0.0
"Jan 17, 2017",0.997135,1.09,0.996955,1.09,8.0,0.0
"Jan 18, 2017",1.09,1.1,0.944134,0.97528,5.0,0.0
"Jan 19, 2017",0.977169,0.995075,0.972772,0.98898,0.0,0.0
"Jan 20, 2017",0.987989,0.988562,0.760602,0.760763,3.0,0.0
"Jan 21, 2017",0.760763,0.788253,0.643829,0.645269,243.0,0.0
"Jan 22, 2017",0.645544,0.656268,0.628295,0.644243,219.0,0.0
"Jan 23, 2017",0.369078,0.369414,0.182326,0.18236,6.0,0.0
"Jan 24, 2017",0.180314,0.182981,0.178692,0.180403,5.0,0.0
"Jan 28, 2017",0.224709,0.225434,0.046039,0.046052,0.0,0.0
"Jan 29, 2017",0.046076,0.046143,0.04593,0.045985,0.0,0.0
"Jan 30, 2017",0.225259,0.225731,0.224988,0.225079,0.0,0.0
"Jan 31, 2017",0.225221,0.228531,0.225221,0.228531,0.0,0.0
"Feb 05, 2017",0.187186,0.187549,0.183618,0.18451,3.0,0.0
"Feb 06, 2017",0.184701,0.187617,0.184658,0.18689,2.0,0.0
"Feb 08, 2017",0.191226,0.191502,0.190117,0.190173,0.0,0.0
"Feb 09, 2017",0.190464,0.194809,0.171602,0.178989,5.0,0.0
"Feb 10, 2017",0.179214,0.179803,0.170404,0.173573,2.0,0.0
"Feb 11, 2017",0.180113,0.181672,0.180113,0.180801,2.0,0.0
"Feb 12, 2017",0.180634,0.180815,0.179446,0.180815,2.0,0.0
"Feb 13, 2017",0.008991,0.178874,0.008784,0.178316,6.0,0.0
"Feb 14, 2017",0.178512,0.182072,0.177565,0.180338,1.0,0.0
"Feb 18, 2017",0.184802,0.185693,0.184198,0.184523,75.0,0.0
"Feb 19, 2017",0.184583,0.184583,0.183858,0.184098,75.0,0.0
"Feb 20, 2017",0.044277,0.045381,0.044274,0.045359,15.0,0.0
"Feb 21, 2017",0.04533,0.046349,0.045231,0.046349,15.0,0.0
"Feb 22, 2017",0.001128,0.001137,0.001124,0.001129,6.0,0.0
"Feb 23, 2017",0.001128,0.014119,0.001128,0.014001,11.0,0.0
"Feb 24, 2017",0.014072,0.014405,0.013584,0.014191,5.0,0.0
"Mar 01, 2017",0.049127,0.049731,0.049122,0.049731,2.0,0.0
"Mar 02, 2017",0.04982,0.050724,0.049451,0.050638,2.0,0.0
"Mar 03, 2017",0.017839,0.045561,0.015353,0.045543,26.0,0.0
"Mar 04, 2017",0.04563,0.045687,0.004184,0.013179,74.0,0.0
"Mar 05, 2017",0.012543,0.012719,0.002802,0.005068,258.0,0.0
"Mar 06, 2017",0.00507,0.006366,0.004721,0.004722,712.0,0.0
"Mar 07, 2017",0.004724,0.005465,0.00326,0.004282,643.0,0.0
"Mar 08, 2017",0.004281,0.006219,0.004217,0.005405,142.0,0.0
"Mar 09, 2017",0.005407,0.005427,0.004102,0.00429,122.0,0.0
"Mar 10, 2017",0.004294,0.010522,0.004195,0.008811,711.0,0.0
"Mar 11, 2017",0.008808,0.009852,0.005869,0.009407,538.0,0.0
"Mar 12, 2017",0.009413,0.009416,0.006453,0.006705,222.0,0.0
"Mar 13, 2017",0.009347,0.00939,0.006085,0.006541,364.0,0.0
"Mar 14, 2017",0.006543,0.007441,0.005109,0.005109,156.0,0.0
"Mar 15, 2017",0.005109,0.007497,0.005108,0.005998,21.0,0.0
"Mar 16, 2017",0.006006,0.006028,0.004979,0.005131,143.0,0.0
"Mar 17, 2017",0.005098,0.007604,0.004886,0.007151,127.0,0.0
"Mar 18, 2017",0.007148,0.007241,0.004233,0.004304,3.0,0.0
"Mar 19, 2017",0.004317,0.023988,0.004317,0.020216,1264.0,0.0
"Mar 20, 2017",0.010372,0.013312,0.008215,0.01173,358.0,0.0
"Mar 21, 2017",0.011743,0.052819,0.011743,0.022569,1156.0,38783.0
"Mar 22, 2017",0.022632,0.082681,0.017758,0.035272,28621.0,74829.0
"Mar 23, 2017",0.035301,0.050764,0.031541,0.048925,2619.0,116841.0
"Mar 24, 2017",0.048918,0.067394,0.039127,0.053196,10634.0,162116.0
"Mar 25, 2017",0.05314,0.155478,0.046649,0.067296,18148.0,176341.0
