datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",2.57,2.77,2.5,2.68,50053.0,0.0
"Jul 25, 2017",2.68,2.71,2.22,2.56,68301.0,0.0
"Jul 26, 2017",2.56,2.66,2.37,2.51,59517.0,0.0
"Jul 27, 2017",2.51,2.6,2.23,2.52,53595.0,0.0
"Jul 28, 2017",2.6,2.67,2.45,2.53,215153.0,0.0
"Jul 29, 2017",2.54,2.54,2.44,2.51,207953.0,0.0
"Jul 30, 2017",2.51,2.55,2.44,2.51,214101.0,0.0
"Jul 31, 2017",2.51,2.51,2.27,2.32,198893.0,0.0
"Aug 01, 2017",2.32,2.47,2.26,2.4,230750.0,0.0
"Aug 02, 2017",2.4,2.45,2.3,2.37,258061.0,7018420.0
"Aug 03, 2017",2.37,2.44,2.18,2.43,306871.0,6928270.0
"Aug 04, 2017",2.43,2.91,2.43,2.85,304007.0,7109470.0
"Aug 05, 2017",2.85,3.79,2.77,3.65,361861.0,8344340.0
"Aug 06, 2017",3.64,4.33,3.51,4.17,395513.0,10661000.0
"Aug 07, 2017",4.18,7.95,3.85,7.91,1017640.0,12222900.0
"Aug 08, 2017",7.92,10.54,7.79,10.54,2261940.0,23194300.0
"Aug 09, 2017",10.55,26.96,10.21,22.32,12738800.0,30882000.0
"Aug 10, 2017",24.18,26.24,15.44,19.97,8774840.0,70786700.0
"Aug 11, 2017",20.63,21.54,14.74,17.07,3564800.0,60388200.0
"Aug 12, 2017",17.65,18.12,12.43,16.96,2861160.0,51673400.0
"Aug 13, 2017",17.0,28.08,15.67,27.72,5659100.0,49761400.0
"Aug 14, 2017",27.57,39.08,21.01,34.91,8351290.0,80705800.0
"Aug 15, 2017",34.01,36.3,28.24,32.91,6518010.0,99548600.0
"Aug 16, 2017",32.62,37.43,31.5,36.98,4410840.0,95474300.0
"Aug 17, 2017",36.01,36.85,30.35,32.31,3337770.0,105426000.0
"Aug 18, 2017",32.11,32.43,21.88,27.69,3120270.0,93985500.0
"Aug 19, 2017",29.25,32.88,28.4,32.75,2329640.0,85618100.0
"Aug 20, 2017",32.69,32.69,28.57,29.56,1522630.0,95695200.0
"Aug 21, 2017",29.47,30.07,23.01,25.15,1605980.0,86281500.0
"Aug 22, 2017",25.51,27.61,21.02,24.46,1721320.0,74664600.0
