datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.025999,0.025999,0.022301,0.022302,572.0,0.0
2017-1-02,0.022302,0.024259,0.022,0.024199,206.0,0.0
2017-1-03,0.024199,0.024199,0.017114,0.023049,244.0,0.0
2017-1-04,0.023049,0.023049,0.017134,0.017354,106.0,0.0
2017-1-05,0.017354,0.020669,0.016,0.02,673.0,0.0
2017-1-06,0.02,0.02,0.016001,0.0189,83.0,0.0
2017-1-07,0.0189,0.0214,0.017,0.0214,241.0,0.0
2017-1-08,0.0214,0.022,0.017222,0.0218,330.0,0.0
2017-1-09,0.0218,0.026427,0.019102,0.02559,1247.0,0.0
2017-1-10,0.02559,0.02559,0.019489,0.022,2184.0,0.0
2017-1-11,0.022,0.024099,0.021005,0.02267,389.0,0.0
2017-1-12,0.02267,0.02267,0.02,0.022211,325.0,0.0
2017-1-13,0.022211,0.022211,0.019,0.021147,783.0,0.0
2017-1-14,0.021147,0.021228,0.018905,0.020769,1677.0,0.0
2017-1-15,0.020769,0.020994,0.0189,0.020988,581.0,0.0
2017-1-16,0.020988,0.020999,0.018911,0.02089,323.0,0.0
2017-1-17,0.02089,0.021,0.019,0.02,833.0,0.0
2017-1-18,0.02,0.02119,0.02,0.02116,433.0,0.0
2017-1-19,0.02116,0.022319,0.0182,0.022319,1226.0,0.0
2017-1-20,0.022319,0.022319,0.018813,0.02075,418.0,0.0
2017-1-21,0.02075,0.0223,0.019228,0.0223,587.0,0.0
2017-1-22,0.0223,0.02259,0.020024,0.02259,888.0,0.0
2017-1-23,0.02259,0.02259,0.0193,0.021779,918.0,0.0
2017-1-24,0.021779,0.02559,0.02,0.02559,1918.0,0.0
2017-1-25,0.02559,0.042987,0.02331,0.042977,3372.0,0.0
2017-1-26,0.042977,0.043836,0.0211,0.033,1486.0,0.0
2017-1-27,0.033,0.033,0.026,0.031998,484.0,0.0
2017-1-28,0.031998,0.031998,0.0286,0.031995,572.0,0.0
2017-1-29,0.031995,0.03249,0.03,0.032298,1517.0,0.0
2017-1-30,0.032298,0.032299,0.03,0.03136,856.0,0.0
2017-1-31,0.03136,0.032479,0.03015,0.032479,996.0,0.0
2017-2-01,0.032479,0.03248,0.0317,0.032001,400.0,0.0
2017-2-02,0.032001,0.038,0.03189,0.037999,2014.0,0.0
2017-2-03,0.037999,0.037999,0.034805,0.03686,246.0,0.0
2017-2-04,0.03686,0.03686,0.032,0.03629,357.0,0.0
2017-2-05,0.03629,0.03629,0.0325,0.0325,265.0,0.0
2017-2-06,0.0325,0.04,0.0325,0.0368,1344.0,0.0
2017-2-07,0.0368,0.04,0.034138,0.034138,1126.0,0.0
2017-2-08,0.034138,0.0396,0.029721,0.0367,1535.0,0.0
2017-2-09,0.0367,0.036748,0.024111,0.033302,519.0,0.0
2017-2-10,0.033302,0.0397,0.031,0.03603,1125.0,0.0
2017-2-11,0.03603,0.039,0.035555,0.0384,851.0,0.0
2017-2-12,0.0384,0.0384,0.035555,0.03799,388.0,0.0
2017-2-13,0.03799,0.03799,0.036001,0.0374,295.0,0.0
2017-2-14,0.0374,0.039,0.03625,0.03656,438.0,0.0
2017-2-15,0.03656,0.03995,0.03656,0.039494,585.0,0.0
2017-2-16,0.039494,0.039494,0.03647,0.03647,651.0,0.0
2017-2-17,0.03647,0.0391,0.03647,0.036505,480.0,0.0
2017-2-18,0.036505,0.048479,0.036502,0.043395,693.0,0.0
2017-2-19,0.043395,0.045356,0.035175,0.037933,524.0,0.0
2017-2-20,0.037933,0.037933,0.010642,0.034674,1518.0,0.0
2017-2-21,0.034674,0.034799,0.03,0.03,0.0,0.0
2017-2-22,0.03,0.034287,0.0161,0.018937,49.0,0.0
2017-2-23,0.018937,0.03499,0.017073,0.03003,596.0,0.0
2017-2-24,0.03003,0.034799,0.026,0.026,165.0,0.0
