datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1.1e-07,1.2e-07,1e-07,1e-07,50.0,10104.0
2017-1-02,1e-07,1.3e-07,1e-07,1.1e-07,20.0,9107.0
2017-1-03,1.1e-07,1.3e-07,1e-07,1.1e-07,103.0,9579.0
2017-1-04,1.1e-07,1.5e-07,1e-07,1.1e-07,19.0,9576.0
2017-1-05,1.1e-07,1.5e-07,1.1e-07,1.2e-07,16.0,9510.0
2017-1-06,1.2e-07,1.3999999999999998e-07,1e-07,1.3999999999999998e-07,23.0,10375.0
2017-1-07,1.3999999999999998e-07,1.3999999999999998e-07,1.1e-07,1.1e-07,22.0,12171.0
2017-1-08,1.1e-07,1.3999999999999998e-07,1.1e-07,1.1e-07,22.0,9949.0
2017-1-09,1.1e-07,1.3999999999999998e-07,1.1e-07,1.1e-07,11.0,9794.0
2017-1-10,1.1e-07,1.3e-07,1.1e-07,1.2e-07,5.0,10165.0
2017-1-11,1.1e-07,1.1e-07,1e-07,1e-07,12.0,9971.0
2017-1-12,1e-07,1.1e-07,9.7e-08,1.1e-07,12.0,9016.0
2017-1-13,1.1e-07,1.3e-07,1e-07,1.1e-07,45.0,9328.0
2017-1-14,1.1e-07,1.3e-07,1.1e-07,1.1e-07,26.0,9341.0
2017-1-15,1.1e-07,1.5e-07,1.1e-07,1.1e-07,16.0,9769.0
2017-1-16,1.1e-07,1.3e-07,1.1e-07,1.1e-07,32.0,9928.0
2017-1-17,1.1e-07,1.3e-07,1.1e-07,1.2e-07,17.0,10120.0
2017-1-18,1.2e-07,1.3e-07,1.1e-07,1.2e-07,29.0,10671.0
2017-1-19,1.2e-07,1.3999999999999998e-07,1.1e-07,1.2e-07,61.0,10206.0
2017-1-20,1.2e-07,1.8999999999999998e-07,1.1e-07,1.8e-07,81.0,10440.0
2017-1-21,1.8e-07,1.8e-07,1.2e-07,1.8e-07,118.0,15553.0
2017-1-22,1.8e-07,1.8999999999999998e-07,1.2e-07,1.6e-07,119.0,15661.0
2017-1-23,1.6e-07,2.2999999999999997e-07,1.3e-07,2.2e-07,102.0,13930.0
2017-1-24,2.2e-07,2.5e-07,1.6e-07,1.8999999999999998e-07,112.0,19681.0
2017-1-25,1.8999999999999998e-07,2.1e-07,1.5e-07,1.8e-07,39.0,16747.0
2017-1-26,1.8e-07,2.5e-07,1.5e-07,1.8e-07,150.0,15801.0
2017-1-27,1.8e-07,2.5e-07,1.7e-07,1.8e-07,48.0,15550.0
2017-1-28,1.8999999999999998e-07,4.0999999999999994e-07,1.6e-07,1.7e-07,510.0,16595.0
2017-1-29,1.7e-07,2.7e-07,1.7e-07,1.8999999999999998e-07,87.0,14908.0
2017-1-30,1.8999999999999998e-07,3.2999999999999996e-07,1.8999999999999998e-07,3.2999999999999996e-07,163.0,16617.0
