datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 27, 2017",0.020636,0.037187,0.015956,0.037187,1854.0,0.0
"Jul 28, 2017",0.037142,0.039809,0.02023,0.023633,1426.0,0.0
"Jul 29, 2017",0.023732,0.040612,0.023642,0.040572,1673.0,0.0
"Jul 30, 2017",0.049986,0.071675,0.026198,0.069866,5593.0,0.0
"Jul 31, 2017",0.070999,0.074063,0.048372,0.053811,1238.0,0.0
"Aug 01, 2017",0.03683,0.057208,0.024868,0.026474,235.0,0.0
"Aug 02, 2017",0.026427,0.054526,0.026146,0.027241,144.0,0.0
"Aug 03, 2017",0.02728,0.041743,0.027035,0.039022,29.0,0.0
"Aug 04, 2017",0.039028,0.040101,0.027728,0.031443,2024.0,0.0
"Aug 05, 2017",0.031429,0.082445,0.031422,0.07044,3655.0,0.0
"Aug 06, 2017",0.070457,0.071138,0.037627,0.038633,533.0,0.0
"Aug 07, 2017",0.038547,0.048079,0.027015,0.027152,114.0,0.0
"Aug 08, 2017",0.027179,0.038102,0.020746,0.036631,40.0,0.0
"Aug 09, 2017",0.036606,0.036663,0.018809,0.021748,757.0,0.0
"Aug 10, 2017",0.02175,0.039047,0.021668,0.038765,359.0,0.0
"Aug 11, 2017",0.038762,0.03901,0.020406,0.020662,281.0,0.0
"Aug 12, 2017",0.020646,0.040656,0.020191,0.040585,14.0,0.0
"Aug 13, 2017",0.040547,0.041286,0.018686,0.026685,199.0,0.0
"Aug 14, 2017",0.026702,0.030771,0.013602,0.030596,55.0,0.0
"Aug 15, 2017",0.030679,0.031388,0.010582,0.012506,207.0,0.0
"Aug 16, 2017",0.012519,0.062228,0.010866,0.036867,1330.0,0.0
"Aug 17, 2017",0.036833,0.0535,0.034113,0.049472,54.0,0.0
"Aug 18, 2017",0.049321,0.049597,0.024049,0.024878,74.0,0.0
"Aug 19, 2017",0.024857,0.026924,0.023995,0.026873,5.0,0.0
"Aug 20, 2017",0.026747,0.031269,0.021066,0.021066,3.0,0.0
"Aug 21, 2017",0.020937,0.032895,0.020858,0.020947,11.0,0.0
"Aug 22, 2017",0.020995,0.032901,0.005223,0.005309,46.0,0.0
