datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.039571,0.041403,0.039364,0.039653,1.0,48283.0
2017-1-02,0.039675,0.042627,0.03961,0.042231,2.0,48410.0
2017-1-03,0.042229,0.042778,0.041041,0.041811,245.0,51526.0
2017-1-04,0.041801,0.044407,0.036001,0.037331,49.0,51004.0
2017-1-05,0.037369,0.040096,0.032607,0.03672,32.0,45597.0
2017-1-06,0.036821,0.039604,0.028285,0.037201,7.0,44927.0
2017-1-07,0.037254,0.042694,0.031036,0.042694,133.0,45456.0
2017-1-08,0.042694,0.044299,0.033305,0.033539,13.0,52094.0
2017-1-09,0.033586,0.033966,0.030845,0.032422,222.0,40981.0
2017-1-10,0.032405,0.036129,0.031577,0.034824,36.0,39539.0
2017-1-11,0.034828,0.03527,0.02746,0.02804,479.0,42495.0
2017-1-12,0.027999,0.031676,0.027267,0.03067,87.0,34164.0
2017-1-13,0.030652,0.030652,0.028393,0.029688,27.0,37400.0
2017-1-14,0.029729,0.031733,0.028749,0.02897,48.0,36275.0
2017-1-15,0.028959,0.029133,0.019576,0.019747,28.0,35335.0
2017-1-16,0.019747,0.030466,0.01971,0.030349,6.0,24094.0
2017-1-17,0.030356,0.032191,0.022305,0.025821,19.0,37040.0
2017-1-18,0.025838,0.031766,0.023302,0.027389,73.0,31526.0
2017-1-19,0.027502,0.030702,0.027243,0.028704,41.0,33557.0
2017-1-20,0.028692,0.031569,0.02865,0.031416,21.0,35009.0
2017-1-21,0.031415,0.032326,0.025975,0.031342,24.0,38332.0
2017-1-22,0.031341,0.032583,0.018229,0.02055,282.0,38241.0
2017-1-23,0.020574,0.032117,0.020423,0.030966,280.0,25104.0
2017-1-24,0.024775,0.031965,0.022977,0.024172,473.0,30230.0
2017-1-25,0.024183,0.040875,0.021681,0.025374,535.0,29507.0
2017-1-26,0.025381,0.03311,0.015437,0.018027,15007.0,30969.0
2017-1-27,0.018027,0.032132,0.018027,0.030303,161.0,21996.0
2017-1-28,0.030303,0.036507,0.027594,0.031402,154.0,36974.0
2017-1-29,0.031403,0.034477,0.026468,0.02889,276.0,38316.0
2017-1-30,0.02889,0.029525,0.028691,0.029499,17.0,35250.0
2017-1-31,0.029488,0.035617,0.029488,0.033736,104.0,35980.0
2017-2-01,0.033731,0.038682,0.033731,0.035697,223.0,41157.0
2017-2-02,0.035693,0.045118,0.035483,0.045103,111.0,43552.0
2017-2-03,0.045088,0.0513,0.038323,0.039003,131.0,55015.0
2017-2-04,0.039057,0.044889,0.035722,0.039564,257.0,47656.0
2017-2-05,0.039588,0.049306,0.039037,0.044211,56.0,48304.0
2017-2-06,0.044256,0.04633,0.037172,0.042413,148.0,54000.0
2017-2-07,0.042494,0.042877,0.036595,0.040331,11.0,51850.0
2017-2-08,0.040368,0.053324,0.037365,0.045931,441.0,49256.0
2017-2-09,0.046002,0.054237,0.033271,0.042639,137.0,56130.0
2017-2-10,0.042693,0.068501,0.038722,0.052956,589.0,52092.0
2017-2-11,0.052968,0.068376,0.048276,0.050178,402.0,64629.0
2017-2-12,0.050131,0.074616,0.046987,0.054835,334.0,61168.0
2017-2-13,0.054819,0.073021,0.046786,0.053161,445.0,66888.0
2017-2-14,0.05322,0.06632,0.047567,0.056255,354.0,64936.0
2017-2-15,0.056348,0.062397,0.052275,0.056241,165.0,68753.0
2017-2-16,0.056251,0.066979,0.052699,0.06404,188.0,68635.0
2017-2-17,0.063958,0.064471,0.047553,0.058198,452.0,78039.0
2017-2-18,0.057269,0.062861,0.049922,0.054783,348.0,69878.0
2017-2-19,0.054792,0.055443,0.048752,0.051841,278.0,66855.0
2017-2-20,0.055499,0.057896,0.050809,0.056288,234.0,67718.0
2017-2-21,0.056215,0.056584,0.044971,0.047444,816.0,68591.0
2017-2-22,0.047423,0.056634,0.041456,0.047556,209.0,57864.0
2017-2-23,0.047543,0.057188,0.035263,0.051025,769.0,58010.0
2017-2-24,0.052651,0.061859,0.04806,0.050263,533.0,64243.0
2017-2-25,0.050592,0.050592,0.038843,0.04061,270.0,61730.0
2017-2-26,0.040636,0.045909,0.038462,0.044082,433.0,49583.0
2017-2-27,0.044028,0.046296,0.037303,0.0397,129.0,53721.0
2017-2-28,0.039725,0.045795,0.035146,0.041351,292.0,48471.0
2017-3-01,0.041353,0.043775,0.037694,0.043341,162.0,50458.0
2017-3-02,0.043418,0.044033,0.036176,0.04066,377.0,52977.0
2017-3-03,0.04065,0.041848,0.021874,0.024109,826.0,49600.0
2017-3-04,0.024155,0.027985,0.023536,0.024176,285.0,29474.0
2017-3-05,0.024345,0.034653,0.023824,0.024422,264.0,29704.0
