datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-3-07,0.000968,0.001239,0.000697,0.001199,307.0,0.0
2017-3-08,0.001199,0.001437,0.000694,0.001058,352.0,0.0
2017-3-09,0.001058,0.001406,0.000713,0.000856,220.0,0.0
2017-3-10,0.001367,0.001472,0.000765,0.001027,398.0,0.0
2017-3-11,0.001027,0.001388,0.000831,0.001387,271.0,0.0
2017-3-12,0.001387,0.001436,0.001367,0.001429,357.0,0.0
2017-3-13,0.001429,0.00143,0.001159,0.001306,477.0,0.0
2017-3-14,0.001269,0.001357,0.00116,0.001302,603.0,0.0
2017-3-15,0.001228,0.001325,0.000747,0.001112,468.0,0.0
2017-3-16,0.001226,0.001289,0.000731,0.000855,289.0,0.0
2017-3-17,0.00085,0.001208,0.000681,0.000693,206.0,0.0
2017-3-18,0.000693,0.001111,0.000584,0.000584,183.0,0.0
2017-3-19,0.000584,0.00107,0.000584,0.000902,396.0,0.0
2017-3-20,0.000653,0.001065,0.000635,0.000833,457.0,0.0
2017-3-21,0.000939,0.001131,0.000681,0.001075,449.0,0.0
2017-3-22,0.001076,0.001103,0.000721,0.000976,309.0,0.0
2017-3-23,0.000756,0.001034,0.000721,0.000966,335.0,0.0
2017-3-24,0.000748,0.000999,0.000691,0.000816,407.0,0.0
2017-3-25,0.000816,0.00094,0.00063,0.000741,307.0,0.0
2017-3-26,0.00074,0.000971,0.000672,0.000811,327.0,0.0
2017-3-27,0.000817,0.000999,0.000686,0.000962,358.0,0.0
2017-3-28,0.000961,0.001034,0.000725,0.000995,354.0,0.0
2017-3-29,0.000994,0.001026,0.000759,0.000957,463.0,0.0
2017-3-30,0.000853,0.001025,0.000752,0.000955,395.0,0.0
2017-3-31,0.000955,0.001041,0.000777,0.000975,297.0,0.0
2017-4-01,0.000975,0.00116,0.000847,0.000951,418.0,0.0
2017-4-02,0.001156,0.001361,0.000861,0.001113,422.0,0.0
2017-4-03,0.001114,0.001404,0.000973,0.001247,481.0,0.0
2017-4-04,0.001157,0.00141,0.00102,0.001325,395.0,0.0
2017-4-05,0.001327,0.001391,0.001153,0.001361,416.0,0.0
2017-4-06,0.001362,0.001447,0.001191,0.001373,555.0,0.0
2017-4-07,0.001368,0.001457,0.00121,0.001435,421.0,0.0
2017-4-08,0.001431,0.001456,0.001208,0.001376,479.0,0.0
2017-4-09,0.001377,0.001471,0.001062,0.001247,532.0,0.0
2017-4-10,0.001377,0.00146,0.001042,0.001329,782.0,0.0
2017-4-11,0.001175,0.001457,0.001154,0.001338,715.0,0.0
2017-4-12,0.001362,0.00148,0.001186,0.001441,768.0,0.0
2017-4-13,0.00144,0.001682,0.001436,0.001648,310.0,0.0
2017-4-14,0.001649,0.001732,0.001649,0.001693,672.0,0.0
2017-4-15,0.001693,0.001719,0.00123,0.001325,328.0,0.0
2017-4-16,0.001325,0.00171,0.001138,0.001455,423.0,0.0
2017-4-17,0.001455,0.001676,0.001199,0.001588,335.0,0.0
2017-4-18,0.001588,0.001763,0.001566,0.001672,321.0,0.0
2017-4-19,0.001673,0.001738,0.001314,0.00144,534.0,0.0
2017-4-20,0.00144,0.001741,0.001405,0.001622,185.0,0.0
2017-4-21,0.001512,0.002315,0.001371,0.002138,1135.0,0.0
2017-4-22,0.002432,0.002938,0.001552,0.001552,687.0,0.0
2017-4-23,0.001552,0.001845,0.001417,0.001521,565.0,0.0
2017-4-24,0.001545,0.001801,0.001541,0.00175,795.0,0.0
2017-4-25,0.00175,0.001777,0.001447,0.001506,589.0,0.0
2017-4-26,0.001443,0.001692,0.001443,0.001499,185.0,0.0
2017-4-27,0.001525,0.001724,0.001473,0.001674,749.0,0.0
2017-4-28,0.001713,0.00177,0.001609,0.001685,800.0,0.0
2017-4-29,0.001685,0.001801,0.001644,0.001718,672.0,0.0
2017-4-30,0.001718,0.001766,0.001654,0.001766,641.0,0.0
2017-5-01,0.001766,0.001854,0.001664,0.001821,2367.0,0.0
2017-5-02,0.001819,0.001982,0.001689,0.001874,2016.0,0.0
2017-5-03,0.00186,0.002054,0.001818,0.002027,1307.0,0.0
2017-5-04,0.002027,0.002188,0.001952,0.001984,1168.0,0.0
