datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,5.59,14.09,5.45,5.59,289.0,0.0
2017-7-29,5.57,5.58,5.34,5.44,30.0,0.0
2017-7-31,5.17,5.32,5.17,5.3,24.0,0.0
2017-8-01,5.3,5.39,3.24,3.28,46.0,0.0
2017-8-02,3.28,3.31,2.66,2.7,81.0,0.0
2017-8-03,2.7,3.27,1.89,1.98,255.0,0.0
2017-8-04,1.98,2.04,1.97,2.0,97.0,0.0
2017-8-05,2.0,2.31,1.91,1.95,21.0,0.0
2017-8-06,1.95,1.98,1.89,1.96,4.0,0.0
2017-8-07,1.94,2.04,1.94,2.03,41.0,0.0
2017-8-08,2.04,2.73,1.9,2.7,30.0,0.0
2017-8-09,2.7,2.7,0.42645,0.439594,267.0,0.0
2017-8-10,0.439636,2.41,0.437986,0.717597,569.0,0.0
2017-8-11,0.717555,1.85,0.71438,1.83,61.0,0.0
2017-8-12,1.82,1.86,0.509371,0.541987,28.0,0.0
2017-8-13,0.541484,0.88729,0.502299,0.811878,45.0,0.0
2017-8-14,0.812395,3.82,0.796136,0.992506,412.0,0.0
2017-8-15,0.995176,1.02,0.888358,0.9428,0.0,0.0
2017-8-16,0.534522,0.65993,0.528113,0.659813,72.0,0.0
2017-8-17,0.659204,1.25,0.637021,0.815657,6.0,0.0
2017-8-18,0.813165,0.827291,0.596256,0.616807,19.0,0.0
2017-8-19,0.61628,0.62765,0.594919,0.608267,18.0,0.0
2017-8-20,0.695776,1.11,0.688029,0.814466,22.0,0.0
2017-8-21,0.811375,1.93,0.809206,1.9,28.0,0.0
2017-8-22,1.9,1.9,0.798491,0.818883,27.0,0.0
2017-8-23,0.817213,0.850973,0.814425,0.843777,9.0,0.0
