datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 12, 2017",5.3e-05,5.4e-05,3.1e-05,3.2e-05,1.0,140721.0
"Jan 13, 2017",2.4e-05,2.4e-05,8e-06,8e-06,242.0,64149.0
"Jan 14, 2017",8e-06,1.7e-05,8e-06,1.6e-05,3.0,21916.0
"Jan 15, 2017",1.6e-05,1.6e-05,8e-06,1.6e-05,211.0,43580.0
"Jan 16, 2017",1.6e-05,1.7e-05,1.6e-05,1.7e-05,1.0,43808.0
"Jan 17, 2017",9e-06,9e-06,9e-06,9e-06,97.0,23600.0
"Jan 18, 2017",9e-06,9e-06,9e-06,9e-06,328.0,24251.0
"Jan 19, 2017",9e-06,9e-06,9e-06,9e-06,334.0,23708.0
"Jan 20, 2017",9e-06,9e-06,9e-06,9e-06,4.0,23973.0
"Jan 21, 2017",9e-06,9e-06,9e-06,9e-06,4.0,23984.0
"Jan 22, 2017",1.8e-05,1.8e-05,9e-06,9e-06,3.0,48848.0
"Jan 23, 2017",9e-06,1.9e-05,9e-06,9e-06,138.0,24831.0
"Jan 24, 2017",9e-06,9e-06,9e-06,9e-06,42.0,24759.0
"Jan 25, 2017",9e-06,9e-06,9e-06,9e-06,177.0,24023.0
"Jan 26, 2017",9e-06,1.8e-05,9e-06,9e-06,233.0,24288.0
"Jan 27, 2017",9e-06,9e-06,9e-06,9e-06,3.0,24745.0
"Jan 28, 2017",9e-06,9e-06,9e-06,9e-06,0.0,24831.0
"Jan 29, 2017",9e-06,1.8e-05,9e-06,9e-06,246.0,24907.0
"Jan 30, 2017",9e-06,9e-06,9e-06,9e-06,5.0,24877.0
"Jan 31, 2017",9e-06,1.9e-05,9e-06,1e-05,181.0,24927.0
"Feb 01, 2017",1e-05,1e-05,1e-05,1e-05,0.0,26309.0
"Feb 02, 2017",1e-05,1e-05,1e-05,1e-05,0.0,26842.0
"Feb 03, 2017",1e-05,1e-05,1e-05,1e-05,41.0,27480.0
"Feb 04, 2017",1e-05,1e-05,1e-05,1e-05,41.0,28050.0
"Feb 09, 2017",1e-05,1e-05,1e-05,1e-05,61.0,27003.0
"Feb 10, 2017",1e-05,1e-05,9e-06,1e-05,434.0,27250.0
"Feb 11, 2017",1e-05,1e-05,1e-05,1e-05,24.0,27094.0
"Feb 12, 2017",1e-05,1e-05,1e-05,1e-05,10.0,27523.0
