datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.001224,0.001267,0.001218,0.001257,8.0,81128.0
"Jan 02, 2017",0.001258,0.001363,0.00123,0.001361,102.0,83378.0
"Jan 03, 2017",0.001361,0.001371,0.001252,0.001362,11.0,90210.0
"Jan 04, 2017",0.001361,0.001496,0.001306,0.001485,52.0,90270.0
"Jan 05, 2017",0.001487,0.001526,0.001143,0.001162,59.0,98597.0
"Jan 06, 2017",0.001165,0.001204,0.001061,0.001094,1.0,77290.0
"Jan 07, 2017",0.001096,0.001118,0.001003,0.001118,5.0,72678.0
"Jan 08, 2017",0.001118,0.001219,0.001056,0.001101,15.0,74176.0
"Jan 09, 2017",0.001103,0.001156,0.001098,0.001121,11.0,73170.0
"Jan 10, 2017",0.001121,0.001133,0.001054,0.00108,58.0,74369.0
"Jan 11, 2017",0.00108,0.001085,0.000877,0.000888,35.0,71672.0
"Jan 12, 2017",0.000887,0.000923,0.000846,0.000894,3.0,58856.0
"Jan 13, 2017",0.000894,0.0011,0.000766,0.000987,71.0,59345.0
"Jan 14, 2017",0.000989,0.001061,0.000933,0.001015,5.0,65655.0
"Jan 15, 2017",0.001015,0.002009,0.000969,0.001676,211.0,67393.0
"Jan 16, 2017",0.001676,0.00204,0.001307,0.001473,24.0,111309.0
"Jan 17, 2017",0.001473,0.002253,0.001347,0.001742,122.0,97874.0
"Jan 18, 2017",0.001743,0.002593,0.001614,0.001946,605.0,115804.0
"Jan 19, 2017",0.002077,0.0021,0.001957,0.002069,16.0,138013.0
"Jan 20, 2017",0.002068,0.002158,0.001783,0.002014,58.0,137426.0
"Jan 21, 2017",0.002014,0.002781,0.002014,0.002323,186.0,133853.0
"Jan 22, 2017",0.002323,0.002466,0.001845,0.002272,1321.0,154416.0
"Jan 23, 2017",0.002275,0.00231,0.002032,0.002157,536.0,151237.0
"Jan 24, 2017",0.002156,0.002607,0.001903,0.002195,1328.0,143370.0
"Jan 25, 2017",0.002285,0.00362,0.002225,0.003272,2799.0,151950.0
"Jan 26, 2017",0.003273,0.004498,0.002663,0.003681,2101.0,217670.0
"Jan 27, 2017",0.003681,0.003782,0.002781,0.003202,3159.0,244841.0
"Jan 28, 2017",0.003202,0.003528,0.003132,0.003442,753.0,213019.0
"Jan 29, 2017",0.003442,0.003473,0.002845,0.002942,531.0,229008.0
"Jan 30, 2017",0.002942,0.003875,0.002795,0.003535,7124.0,195816.0
"Jan 31, 2017",0.003616,0.004596,0.003484,0.004394,14611.0,240666.0
"Feb 01, 2017",0.004311,0.00473,0.00359,0.003989,8685.0,286949.0
"Feb 02, 2017",0.003988,0.004771,0.003555,0.003645,6699.0,265536.0
"Feb 03, 2017",0.003652,0.004279,0.003496,0.003558,5877.0,243174.0
"Feb 04, 2017",0.003545,0.008406,0.002776,0.008269,22053.0,236062.0
"Feb 05, 2017",0.008274,0.008274,0.005916,0.006886,18582.0,551104.0
"Feb 06, 2017",0.006894,0.006951,0.005315,0.005628,12767.0,459237.0
"Feb 07, 2017",0.005639,0.006282,0.005301,0.005951,13606.0,375685.0
"Feb 08, 2017",0.005956,0.006828,0.005419,0.006139,5877.0,396885.0
"Feb 09, 2017",0.006149,0.006701,0.005381,0.006051,12293.0,409784.0
"Feb 10, 2017",0.006058,0.006071,0.005434,0.005573,7747.0,403810.0
"Feb 11, 2017",0.005591,0.006283,0.005582,0.006084,7287.0,372709.0
"Feb 12, 2017",0.006078,0.006253,0.005383,0.005383,8800.0,405262.0
"Feb 13, 2017",0.005382,0.005778,0.00505,0.005296,9969.0,358860.0
"Feb 14, 2017",0.00509,0.005514,0.004713,0.004994,8659.0,339482.0
"Feb 15, 2017",0.005002,0.005037,0.00471,0.004884,11052.0,333635.0
"Feb 16, 2017",0.004885,0.005022,0.004333,0.004991,10437.0,325844.0
"Feb 17, 2017",0.004984,0.005037,0.004544,0.004749,9688.0,332538.0
"Feb 18, 2017",0.004763,0.005144,0.004553,0.004984,8275.0,317799.0
"Feb 19, 2017",0.004985,0.005079,0.004527,0.004616,7303.0,332699.0
"Feb 20, 2017",0.004619,0.004802,0.004097,0.004802,4223.0,308320.0
"Feb 21, 2017",0.0048,0.004884,0.004318,0.004795,7030.0,320393.0
"Feb 22, 2017",0.004793,0.004816,0.004339,0.004418,5739.0,319985.0
"Feb 23, 2017",0.004416,0.004727,0.004377,0.004719,16972.0,294902.0
"Feb 24, 2017",0.004687,0.005006,0.004335,0.004777,13039.0,313012.0
"Feb 25, 2017",0.004776,0.004779,0.004209,0.004267,15644.0,319016.0
