datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-28,0.006619,0.006649,0.006362,0.006362,6896.0,0.0
2017-6-29,0.006356,0.007411,0.006165,0.006798,25380.0,0.0
2017-6-30,0.006811,0.006939,0.006266,0.006377,4246.0,0.0
2017-7-01,0.006375,0.006746,0.005509,0.005537,7742.0,0.0
2017-7-02,0.005536,0.009457,0.004174,0.007246,29577.0,0.0
2017-7-03,0.00722,0.008186,0.00696,0.007754,14834.0,0.0
2017-7-04,0.007736,0.007939,0.006341,0.006453,17957.0,0.0
2017-7-05,0.006449,0.011515,0.006113,0.007847,182972.0,0.0
2017-7-06,0.007851,0.010988,0.007804,0.009452,30754.0,0.0
2017-7-07,0.009459,0.011374,0.007361,0.009023,191248.0,0.0
2017-7-08,0.009031,0.009592,0.008237,0.009042,9162.0,0.0
2017-7-09,0.00905,0.01906,0.008593,0.008601,193289.0,0.0
2017-7-10,0.008618,0.01091,0.008612,0.009686,24270.0,0.0
2017-7-11,0.009666,0.010068,0.009033,0.009494,11251.0,0.0
2017-7-12,0.00948,0.010017,0.009055,0.009848,11920.0,0.0
2017-7-13,0.009855,0.010007,0.009202,0.009535,19121.0,0.0
2017-7-14,0.009528,0.009699,0.008554,0.008979,7287.0,0.0
2017-7-15,0.008963,0.00898,0.007805,0.007805,18400.0,0.0
2017-7-16,0.007782,0.008361,0.007366,0.007623,3059.0,0.0
2017-7-17,0.007615,0.008693,0.006115,0.007405,13143.0,0.0
2017-7-18,0.007424,0.009347,0.007424,0.008736,13928.0,0.0
2017-7-19,0.00875,0.009324,0.005858,0.007578,17691.0,0.0
2017-7-20,0.007555,0.008459,0.00559,0.007506,49984.0,0.0
2017-7-21,0.007561,0.008824,0.006181,0.007633,4041.0,0.0
2017-7-22,0.007631,0.007738,0.006172,0.006756,15461.0,0.0
2017-7-23,0.006756,0.008367,0.005498,0.006073,29147.0,0.0
2017-7-24,0.006066,0.007623,0.00494,0.005926,46089.0,0.0
2017-7-25,0.005926,0.006351,0.005006,0.005124,20154.0,0.0
2017-7-26,0.005124,0.005337,0.004518,0.004781,7793.0,0.0
2017-7-27,0.004794,0.007038,0.004769,0.005173,80331.0,0.0
2017-7-28,0.005189,0.005606,0.002846,0.004998,24056.0,0.0
2017-7-29,0.004979,0.005567,0.003788,0.004581,56248.0,0.0
2017-7-30,0.004581,0.005563,0.004531,0.004729,18678.0,0.0
2017-7-31,0.004734,0.005629,0.00467,0.005522,16680.0,0.0
2017-8-01,0.005525,0.005615,0.004515,0.004561,5466.0,0.0
2017-8-02,0.004559,0.005035,0.003773,0.004016,12059.0,0.0
2017-8-03,0.004022,0.004522,0.002729,0.003205,3755.0,0.0
2017-8-04,0.003204,0.004901,0.003204,0.004225,8851.0,0.0
2017-8-05,0.004223,0.004692,0.003917,0.004541,3429.0,0.0
2017-8-06,0.004544,0.004603,0.003848,0.00386,4248.0,0.0
2017-8-07,0.003852,0.00444,0.003551,0.004423,3926.0,0.0
2017-8-08,0.004427,0.004458,0.003137,0.003968,11272.0,0.0
2017-8-09,0.003966,0.003975,0.002655,0.003489,2966.0,0.0
2017-8-10,0.003489,0.003503,0.002576,0.002835,773.0,0.0
2017-8-11,0.002835,0.005953,0.001984,0.003836,18252.0,0.0
2017-8-12,0.003833,0.004042,0.002496,0.003124,11638.0,0.0
2017-8-13,0.003121,0.003261,0.002303,0.002557,18523.0,0.0
2017-8-14,0.002559,0.002872,0.002453,0.00284,1403.0,0.0
2017-8-15,0.002847,0.003106,0.002737,0.00307,12456.0,0.0
2017-8-16,0.003074,0.004284,0.002784,0.003822,47694.0,0.0
2017-8-17,0.003818,0.007589,0.002145,0.002404,141666.0,0.0
2017-8-18,0.002397,0.003366,0.002252,0.002878,8294.0,0.0
2017-8-19,0.002876,0.00364,0.002676,0.003498,21128.0,0.0
2017-8-20,0.003482,0.005144,0.00348,0.004155,13176.0,0.0
2017-8-21,0.004139,0.005701,0.004139,0.004631,13147.0,0.0
2017-8-22,0.004641,0.005254,0.004242,0.004504,14802.0,0.0
2017-8-23,0.004495,0.005403,0.003675,0.004389,9067.0,0.0
2017-8-24,0.004391,0.004476,0.003774,0.004162,7761.0,0.0
2017-8-25,0.004156,0.004208,0.003956,0.004095,2249.0,0.0
2017-8-26,0.004103,0.004113,0.003711,0.003777,1657.0,0.0
