datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 25, 2017",5.89,6.45,5.41,5.79,19932900.0,0.0
"Jun 26, 2017",5.72,5.92,4.19,4.94,28563200.0,0.0
"Jun 27, 2017",4.82,5.23,4.31,5.04,22311100.0,0.0
"Jun 28, 2017",5.06,5.74,4.73,5.59,19256100.0,0.0
"Jun 29, 2017",5.6,6.28,5.31,5.74,19294900.0,0.0
"Jun 30, 2017",5.7,5.76,5.27,5.34,7081180.0,0.0
"Jul 01, 2017",5.35,5.44,4.74,4.82,7720920.0,0.0
"Jul 02, 2017",4.78,4.78,4.09,4.57,16650900.0,0.0
"Jul 03, 2017",4.56,4.72,4.19,4.36,15415000.0,0.0
"Jul 04, 2017",4.39,4.81,4.34,4.42,9322980.0,0.0
"Jul 05, 2017",4.43,4.44,4.12,4.21,6349300.0,0.0
"Jul 06, 2017",4.25,4.38,4.04,4.09,7483880.0,0.0
"Jul 07, 2017",4.07,4.41,3.24,3.31,15025100.0,0.0
"Jul 08, 2017",3.35,3.35,2.35,3.16,18588500.0,0.0
"Jul 09, 2017",3.23,3.45,2.72,2.72,7068320.0,0.0
"Jul 10, 2017",2.71,2.72,1.92,2.18,6483750.0,0.0
"Jul 11, 2017",2.06,2.18,1.5,1.75,11020100.0,0.0
"Jul 12, 2017",1.75,2.45,1.62,2.39,13998200.0,0.0
"Jul 13, 2017",2.39,2.6,2.0,2.09,8192400.0,0.0
"Jul 14, 2017",2.09,2.15,1.82,1.86,3952140.0,0.0
"Jul 15, 2017",1.87,1.89,1.62,1.71,3939170.0,0.0
"Jul 16, 2017",1.74,1.84,1.64,1.78,3471250.0,0.0
"Jul 17, 2017",1.82,2.19,1.8,2.05,10596300.0,0.0
"Jul 18, 2017",2.07,2.19,1.97,2.13,12094000.0,0.0
"Jul 19, 2017",2.16,2.47,1.99,2.22,18533300.0,0.0
"Jul 20, 2017",2.25,2.62,2.22,2.54,12833800.0,0.0
"Jul 21, 2017",2.56,3.37,2.49,3.16,27963500.0,0.0
"Jul 22, 2017",3.17,3.22,2.91,2.96,12223700.0,0.0
"Jul 23, 2017",2.95,3.01,2.28,2.48,12717800.0,0.0
"Jul 24, 2017",2.54,2.66,2.38,2.56,5081500.0,0.0
"Jul 25, 2017",2.56,2.64,2.02,2.1,7587630.0,0.0
"Jul 26, 2017",2.13,2.46,2.02,2.34,12395500.0,0.0
"Jul 27, 2017",2.35,2.45,2.24,2.33,6969470.0,0.0
"Jul 28, 2017",2.33,2.34,2.08,2.11,3430580.0,0.0
"Jul 29, 2017",2.11,2.11,1.9,2.07,3123300.0,0.0
"Jul 30, 2017",2.07,2.07,1.96,2.0,1301850.0,0.0
"Jul 31, 2017",1.99,2.16,1.95,2.04,2832030.0,0.0
"Aug 01, 2017",2.05,2.15,1.93,2.08,4000340.0,0.0
"Aug 02, 2017",2.07,2.14,2.04,2.07,2719550.0,0.0
"Aug 03, 2017",2.07,2.37,2.0,2.29,5704680.0,0.0
"Aug 04, 2017",2.29,2.51,2.27,2.45,6545050.0,0.0
"Aug 05, 2017",2.44,2.82,2.3,2.73,9740210.0,0.0
"Aug 06, 2017",2.72,2.9,2.61,2.64,8078250.0,0.0
"Aug 07, 2017",2.65,4.19,2.51,4.19,37658900.0,0.0
"Aug 08, 2017",4.17,4.55,3.51,3.9,29506400.0,0.0
"Aug 09, 2017",3.91,4.14,3.59,3.89,20129200.0,0.0
"Aug 10, 2017",3.87,5.25,3.8,4.61,37193300.0,0.0
"Aug 11, 2017",4.66,5.85,4.45,5.43,43319000.0,0.0
"Aug 12, 2017",5.43,5.63,4.55,4.68,13952200.0,0.0
"Aug 13, 2017",4.62,4.95,4.05,4.72,19964500.0,0.0
"Aug 14, 2017",4.71,5.7,4.59,5.1,29115100.0,0.0
"Aug 15, 2017",5.05,5.19,4.53,4.79,17859800.0,0.0
"Aug 16, 2017",4.83,5.18,4.81,4.97,12826700.0,0.0
"Aug 17, 2017",4.97,5.55,4.68,4.9,19735300.0,0.0
"Aug 18, 2017",4.91,4.92,3.62,3.98,14236800.0,0.0
"Aug 19, 2017",3.93,4.15,3.42,3.94,15168900.0,0.0
"Aug 20, 2017",3.89,3.98,3.63,3.76,8860590.0,0.0
"Aug 21, 2017",3.77,3.85,3.2,3.23,8197790.0,0.0
"Aug 22, 2017",3.23,3.24,2.8,3.14,13002400.0,0.0
