datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-02,0.003395,0.003474,0.003333,0.003474,35.0,142583.0
2017-1-03,0.003474,0.003623,0.002954,0.003623,58.0,145906.0
2017-1-04,0.003622,0.003644,0.003035,0.003334,9.0,152129.0
2017-1-05,0.003337,0.003343,0.002549,0.00283,97.0,140161.0
2017-1-06,0.00284,0.002912,0.002519,0.002571,1.0,119275.0
2017-1-07,0.002575,0.002587,0.002347,0.002508,1.0,108147.0
2017-1-10,0.002582,0.002599,0.002529,0.002587,8.0,108464.0
2017-1-11,0.002587,0.00262,0.002174,0.002217,20.0,108649.0
2017-1-12,0.002217,0.002371,0.002154,0.002311,46.0,93098.0
2017-1-13,0.002307,0.002376,0.002239,0.002376,45.0,96883.0
2017-1-15,0.002653,0.002672,0.002653,0.002671,0.0,111442.0
2017-1-16,0.002671,0.002712,0.002666,0.002702,0.0,112175.0
2017-1-17,0.002702,0.002704,0.002701,0.002702,0.0,113505.0
2017-1-18,0.003426,0.003432,0.003262,0.003355,0.0,143895.0
2017-1-19,0.003369,0.003434,0.003001,0.003022,1.0,141504.0
2017-1-20,0.003021,0.003022,0.00298,0.003015,0.0,126877.0
2017-1-22,0.003534,0.00369,0.003504,0.003519,2.0,148420.0
2017-1-23,0.003523,0.003536,0.002953,0.002958,36.0,147966.0
2017-1-24,0.002923,0.002967,0.002855,0.002855,0.0,122777.0
2017-1-25,0.002857,0.00289,0.002854,0.002888,0.0,119977.0
2017-1-28,0.002717,0.002726,0.002715,0.002719,16.0,114095.0
2017-1-29,0.002719,0.002723,0.002719,0.002722,16.0,114185.0
2017-1-31,0.002871,0.003023,0.002871,0.003018,5.0,120577.0
2017-2-01,0.003018,0.003064,0.003018,0.003043,0.0,126754.0
2017-5-20,0.016391,0.019122,0.016391,0.019122,109463.0,0.0
2017-5-21,0.019122,0.019216,0.017476,0.019205,383086.0,0.0
2017-5-22,0.019293,0.020578,0.01696,0.020304,57831.0,0.0
2017-5-23,0.02031,0.024752,0.018619,0.023172,80373.0,0.0
2017-5-24,0.023172,0.024993,0.019641,0.02006,76273.0,0.0
2017-5-25,0.019851,0.021493,0.016473,0.02098,82835.0,0.0
2017-5-26,0.020964,0.021414,0.013851,0.019824,28892.0,0.0
2017-5-27,0.01985,0.020846,0.014145,0.018197,51805.0,0.0
2017-5-28,0.018202,0.020597,0.016386,0.019358,34125.0,0.0
2017-5-29,0.019358,0.019938,0.016714,0.019938,9551.0,0.0
2017-5-30,0.019955,0.020029,0.017708,0.019493,17898.0,0.0
2017-5-31,0.019511,0.019719,0.017275,0.017914,36474.0,0.0
2017-6-01,0.017941,0.01824,0.015381,0.016473,13773.0,0.0
2017-6-02,0.016474,0.01911,0.015845,0.017433,5028.0,0.0
2017-6-03,0.017442,0.019354,0.017442,0.019275,11745.0,0.0
2017-6-04,0.019324,0.020124,0.017791,0.017801,9477.0,0.0
2017-6-05,0.017797,0.019631,0.017325,0.018843,55944.0,0.0
2017-6-06,0.018846,0.021697,0.018846,0.021697,90569.0,0.0
2017-6-07,0.021706,0.032357,0.021706,0.027824,688100.0,0.0
2017-6-08,0.027809,0.029099,0.026,0.026683,477146.0,0.0
2017-6-09,0.026674,0.029086,0.021483,0.02503,219915.0,0.0
2017-6-10,0.025172,0.026754,0.024231,0.025882,69990.0,0.0
2017-6-11,0.025883,0.030928,0.025883,0.027168,125909.0,0.0
2017-6-12,0.02723,0.028555,0.01943,0.02558,141687.0,0.0
2017-6-13,0.02558,0.030265,0.022657,0.025116,23425.0,0.0
2017-6-14,0.025117,0.026344,0.019749,0.020496,19598.0,0.0
2017-6-15,0.020479,0.023235,0.019781,0.020262,19700.0,0.0
2017-6-16,0.020262,0.022803,0.017296,0.01929,9069.0,0.0
2017-6-17,0.01929,0.022747,0.019272,0.02023,7792.0,0.0
2017-6-18,0.021908,0.021924,0.019565,0.021615,9192.0,0.0
2017-6-19,0.021624,0.022097,0.01929,0.020774,11570.0,0.0
2017-6-20,0.020769,0.021084,0.018179,0.018822,29476.0,0.0
2017-6-21,0.018819,0.021168,0.018465,0.019289,95414.0,0.0
2017-6-22,0.020856,0.020856,0.0177,0.019524,111969.0,0.0
2017-6-23,0.01952,0.024869,0.018524,0.021343,112283.0,0.0
