datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.001503,0.001565,0.001496,0.001557,1.0,6187.0
2017-1-02,0.001557,0.001604,0.001555,0.001602,0.0,6414.0
2017-1-03,0.0016,0.001618,0.001584,0.001618,1.0,6595.0
2017-1-04,0.001618,0.001797,0.001618,0.001788,1.0,6673.0
2017-1-05,0.00179,0.001858,0.00142,0.001577,1.0,7389.0
2017-1-06,0.001581,0.001633,0.001338,0.001371,1.0,6532.0
2017-1-07,0.001373,0.002433,0.001252,0.001372,20.0,5679.0
2017-1-08,0.001372,0.001433,0.00134,0.001374,1.0,5678.0
2017-1-09,0.001376,0.001388,0.001337,0.001382,1.0,5699.0
2017-1-10,0.001381,0.0014,0.001379,0.001391,0.0,5727.0
2017-1-12,0.00116,0.001248,0.001141,0.001216,0.0,4815.0
2017-1-13,0.001215,0.001221,0.001213,0.001218,0.0,5049.0
2017-1-14,0.001253,0.001253,0.001227,0.001236,0.0,5211.0
2017-1-15,0.001236,0.001243,0.001222,0.001233,1.0,5142.0
2017-1-16,0.001233,0.001252,0.00123,0.001247,1.0,5134.0
2017-1-17,0.001247,0.001366,0.001246,0.001361,1.0,5199.0
2017-1-18,0.001362,0.001376,0.001287,0.001324,1.0,5681.0
2017-1-19,0.00133,0.001357,0.001327,0.001349,1.0,5553.0
2017-1-20,0.001349,0.001349,0.001333,0.001343,0.0,5635.0
2017-1-21,0.001343,0.001391,0.001343,0.001383,260.0,5613.0
2017-1-22,0.001383,0.002342,0.001383,0.002309,1.0,5787.0
2017-1-23,0.002312,0.002314,0.002292,0.002301,0.0,9683.0
2017-1-27,0.0023,0.0023,0.002299,0.002299,0.0,9674.0
2017-1-28,0.002299,0.002301,0.001749,0.001751,0.0,9672.0
2017-1-29,0.001751,0.001754,0.001746,0.001747,0.0,7372.0
2017-1-30,0.001747,0.001751,0.001747,0.001751,0.0,7361.0
2017-4-25,0.003321,0.003537,0.003214,0.003214,6.0,0.0
2017-4-26,0.003214,0.00364,0.003214,0.003638,5.0,0.0
2017-4-27,0.00364,0.004893,0.00272,0.003347,18.0,0.0
2017-4-28,0.003347,0.003633,0.002882,0.002936,3.0,15134.0
2017-4-29,0.002936,0.00296,0.002484,0.002485,4.0,13285.0
2017-4-30,0.002485,0.003288,0.002143,0.002831,7.0,11253.0
2017-5-01,0.002831,0.003558,0.002467,0.003554,3.0,12833.0
2017-5-02,0.003553,0.003565,0.002485,0.002935,8.0,16115.0
2017-5-03,0.002937,0.003448,0.002572,0.003442,6.0,13332.0
2017-5-04,0.003444,0.00345,0.002631,0.002691,3.0,15645.0
2017-5-05,0.002691,0.002847,0.002632,0.002691,2.0,12236.0
2017-5-06,0.002691,0.002763,0.002669,0.002763,2.0,12246.0
2017-5-07,0.002763,0.003597,0.002763,0.00281,5.0,12584.0
2017-5-08,0.002811,0.00309,0.002811,0.003016,6.0,12811.0
