datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-18,0.001897,0.005693,0.001243,0.002546,263.0,0.0
2017-4-19,0.002547,0.003188,0.002362,0.002372,116.0,27427.0
2017-4-20,0.002374,0.003456,0.00237,0.002458,203.0,25642.0
2017-4-21,0.002459,0.002928,0.002377,0.002608,551.0,26635.0
2017-4-22,0.00261,0.005385,0.00261,0.004745,787.0,28313.0
2017-4-23,0.004744,0.096869,0.0047,0.062688,16706.0,51586.0
2017-4-24,0.070401,0.070614,0.030388,0.049439,3887.0,767964.0
2017-4-25,0.049372,0.059167,0.037277,0.04237,3554.0,539765.0
2017-4-26,0.042363,0.134712,0.039487,0.057405,17357.0,464370.0
2017-4-27,0.048112,0.0565,0.03915,0.039225,3281.0,528631.0
2017-4-28,0.039222,0.052044,0.030031,0.042049,1776.0,432215.0
2017-4-29,0.042093,0.051269,0.030255,0.040072,1623.0,465179.0
2017-4-30,0.050233,0.050234,0.032732,0.040033,2556.0,556346.0
2017-5-01,0.040045,0.040729,0.015951,0.023083,1544.0,444828.0
2017-5-02,0.023077,0.027591,0.021157,0.021489,1374.0,256886.0
2017-5-03,0.021503,0.035069,0.017732,0.018295,1823.0,239887.0
2017-5-04,0.018302,0.029531,0.017698,0.029531,1043.0,204498.0
2017-5-05,0.029592,0.074376,0.020224,0.042986,17965.0,331043.0
2017-5-06,0.043024,0.047495,0.018057,0.018058,14726.0,481803.0
2017-5-07,0.018066,0.032369,0.017161,0.030215,27660.0,202517.0
2017-5-08,0.030205,0.033125,0.017181,0.01929,41517.0,338692.0
2017-5-09,0.019305,0.02483,0.009299,0.009579,28515.0,216792.0
2017-5-10,0.009667,0.016138,0.007638,0.011405,824.0,108659.0
2017-5-11,0.011419,0.012597,0.007631,0.012544,289.0,128437.0
2017-5-12,0.012557,0.013927,0.006858,0.006956,225.0,141232.0
2017-5-13,0.006942,0.00719,0.006614,0.007186,136.0,78097.0
2017-5-14,0.007209,0.007476,0.007103,0.007236,112.0,81290.0
2017-5-15,0.00724,0.011234,0.006912,0.007264,131.0,81710.0
2017-5-16,0.007253,0.01007,0.007098,0.007421,59.0,81872.0
2017-5-17,0.007419,0.008585,0.007335,0.00792,79.0,83800.0
2017-5-18,0.007916,0.009087,0.007717,0.00798,232.0,89438.0
2017-5-19,0.007985,0.011825,0.00789,0.011149,68.0,90216.0
2017-5-20,0.011137,0.018407,0.011136,0.01691,327.0,125834.0
2017-5-21,0.016904,0.023874,0.016765,0.023029,422.0,190996.0
2017-5-22,0.023092,0.023092,0.009097,0.009612,182.0,261144.0
2017-5-23,0.009598,0.02146,0.007802,0.019722,138.0,108609.0
2017-5-24,0.019746,0.020752,0.010613,0.011277,119.0,223981.0
2017-5-25,0.011256,0.01393,0.011256,0.012434,73.0,127717.0
2017-5-26,0.012343,0.015599,0.009867,0.013057,256.0,140118.0
2017-5-27,0.013101,0.020436,0.013101,0.015712,261.0,148840.0
2017-5-28,0.015806,0.026348,0.01518,0.021213,1015.0,179580.0
2017-5-29,0.02117,0.036375,0.020668,0.032511,3116.0,240525.0
2017-5-30,0.032549,0.039513,0.031677,0.033417,1016.0,369810.0
