datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Mar 26, 2017",0.001106,0.001107,0.000968,0.000976,43.0,0.0
"Mar 27, 2017",0.000982,0.001207,0.000982,0.001098,19.0,0.0
"Mar 28, 2017",0.001097,0.001174,0.001059,0.001173,7.0,0.0
"Mar 29, 2017",0.001172,0.001182,0.000678,0.000936,25.0,0.0
"Mar 30, 2017",0.000938,0.003076,0.000133,0.000719,3215.0,0.0
"Mar 31, 2017",0.000719,0.001532,0.000719,0.001383,146.0,0.0
"Apr 01, 2017",0.001383,0.00142,0.001167,0.001189,77.0,0.0
"Apr 02, 2017",0.001189,0.001551,0.001183,0.001543,28.0,0.0
"Apr 03, 2017",0.001544,0.001587,0.001132,0.001373,170.0,0.0
"Apr 04, 2017",0.001375,0.001388,0.001233,0.001247,50.0,0.0
"Apr 05, 2017",0.001248,0.00135,0.000897,0.00135,3.0,0.0
"Apr 06, 2017",0.001351,0.001369,0.000911,0.001064,9.0,0.0
"Apr 07, 2017",0.001061,0.001424,0.001047,0.001412,2.0,0.0
"Apr 08, 2017",0.001407,0.001416,0.001175,0.001411,5.0,0.0
"Apr 09, 2017",0.001412,0.001435,0.000787,0.001069,25.0,0.0
"Apr 10, 2017",0.001069,0.001417,0.001061,0.001092,4.0,0.0
"Apr 11, 2017",0.001092,0.001329,0.001092,0.001326,1.0,0.0
"Apr 12, 2017",0.001325,0.001326,0.001089,0.001092,0.0,0.0
"Apr 13, 2017",0.001093,0.001114,0.001065,0.001111,1.0,0.0
"Apr 14, 2017",0.001112,0.001298,0.00111,0.001284,37.0,0.0
"Apr 15, 2017",0.001284,0.001589,0.001281,0.001513,21.0,0.0
"Apr 16, 2017",0.001513,0.003247,0.001315,0.001774,535.0,0.0
"Apr 17, 2017",0.001775,0.002255,0.00143,0.001433,37.0,0.0
"Apr 18, 2017",0.001433,0.003169,0.001433,0.003126,454.0,0.0
"Apr 19, 2017",0.003127,0.003136,0.001567,0.00288,253.0,0.0
"Apr 20, 2017",0.002882,0.002896,0.001715,0.001745,26.0,0.0
