datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Feb 05, 2017",1e-05,1e-05,1e-05,1e-05,1.0,3031.0
"Feb 06, 2017",1e-05,1e-05,1e-05,1e-05,1.0,3030.0
"Feb 12, 2017",1e-05,1e-05,1e-05,1e-05,0.0,2959.0
"Feb 13, 2017",1e-05,1e-05,1e-05,1e-05,0.0,2954.0
"Feb 14, 2017",2e-05,2e-05,2e-05,2e-05,0.0,5928.0
"Feb 15, 2017",2e-05,2e-05,2e-05,2e-05,0.0,5954.0
"Apr 01, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,3251.0
"Apr 02, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,3274.0
"Apr 03, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,3341.0
"Apr 04, 2017",1.1e-05,2.3e-05,1.1e-05,2.3e-05,8.0,3477.0
"Apr 05, 2017",2.3e-05,2.3e-05,2.2e-05,2.2e-05,3.0,6878.0
"Apr 06, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3509.0
"Apr 07, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3590.0
"Apr 08, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,4.0,3598.0
"Apr 09, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3575.0
"Apr 17, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3606.0
"Apr 18, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,3645.0
"Apr 19, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3701.0
"Apr 20, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3698.0
"Apr 21, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,3758.0
"Apr 26, 2017",2.6e-05,2.6e-05,2.6e-05,2.6e-05,6.0,7901.0
"Apr 27, 2017",2.6e-05,2.6e-05,2.6e-05,2.6e-05,57.0,7856.0
"Apr 28, 2017",2.6e-05,2.6e-05,1.3e-05,1.3e-05,1.0,8084.0
"Apr 29, 2017",1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,4040.0
"May 01, 2017",2.7e-05,2.7e-05,1.4e-05,1.4e-05,3.0,8410.0
"May 02, 2017",1.4e-05,1.5e-05,1.4e-05,1.5e-05,1.0,4369.0
"May 03, 2017",1.5e-05,1.5e-05,1.4e-05,1.5e-05,3.0,4467.0
"May 04, 2017",1.5e-05,1.6e-05,1.5e-05,1.5e-05,2.0,4583.0
"May 05, 2017",1.6e-05,1.6e-05,1.5e-05,1.6e-05,2.0,4977.0
"May 06, 2017",1.6e-05,1.6e-05,1.5e-05,1.6e-05,2.0,4789.0
"May 07, 2017",1.6e-05,3.1e-05,1.6e-05,1.6e-05,6.0,4863.0
"May 08, 2017",1.6e-05,1.7e-05,1.6e-05,1.7e-05,2.0,4921.0
"May 10, 2017",1.7e-05,1.8e-05,1.7e-05,1.8e-05,2.0,5370.0
"May 11, 2017",1.8e-05,1.9e-05,1.7e-05,1.8e-05,2.0,5434.0
"May 12, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,3.0,5639.0
"May 13, 2017",1.7e-05,1.8e-05,1.6e-05,1.8e-05,2.0,5236.0
"May 14, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,2.0,5497.0
"May 15, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,3.0,5536.0
"May 16, 2017",1.7e-05,1.8e-05,1.7e-05,1.7e-05,2.0,5345.0
"May 17, 2017",1.7e-05,1.8e-05,1.7e-05,1.8e-05,4.0,5380.0
"May 18, 2017",1.8e-05,1.9e-05,1.8e-05,1.9e-05,2.0,5609.0
"May 19, 2017",1.9e-05,9.6e-05,1.9e-05,2e-05,212.0,5840.0
"May 20, 2017",2e-05,2e-05,2e-05,2e-05,2.0,6081.0
"May 21, 2017",2e-05,4.1e-05,2e-05,4.1e-05,2.0,6341.0
"May 22, 2017",4.1e-05,6.6e-05,2e-05,2.1e-05,293.0,12645.0
"May 23, 2017",2.1e-05,4.5e-05,2.1e-05,4.5e-05,14.0,6536.0
"May 24, 2017",4.5e-05,7.5e-05,2.3e-05,2.4e-05,51.0,14035.0
"May 25, 2017",2.4e-05,5.3e-05,2.4e-05,4.6e-05,7.0,7559.0
"May 26, 2017",2.3e-05,5.1e-05,2.1e-05,2.2e-05,7.0,7108.0
"May 27, 2017",2.2e-05,2.3e-05,1.9e-05,2e-05,2.0,6950.0
"May 28, 2017",2e-05,6.7e-05,2e-05,2.2e-05,11.0,6360.0
"May 29, 2017",2.2e-05,2.3e-05,2.1e-05,2.3e-05,2.0,6750.0
"May 30, 2017",2.3e-05,2.3e-05,2.2e-05,2.2e-05,2.0,7086.0
"May 31, 2017",2.2e-05,2.3e-05,2.2e-05,2.3e-05,2.0,6816.0
"Jun 01, 2017",2.3e-05,2.4e-05,2.3e-05,2.4e-05,2.0,7120.0
"Jun 02, 2017",2.4e-05,2.5e-05,2.4e-05,2.5e-05,2.0,7473.0
"Jun 03, 2017",2.5e-05,5.1e-05,2.4e-05,5.1e-05,10.0,7710.0
"Jun 04, 2017",5.1e-05,7.7e-05,5e-05,5e-05,20.0,15796.0
"Jun 05, 2017",5e-05,7.9e-05,5e-05,5.4e-05,5.0,15696.0
"Jun 06, 2017",5.4e-05,8.8e-05,2.8e-05,2.9e-05,9.0,16810.0
"Jun 07, 2017",2.9e-05,8.6e-05,2.8e-05,5.4e-05,29.0,8944.0
"Jun 08, 2017",5.4e-05,5.6e-05,5.2e-05,5.6e-05,98.0,16799.0
"Jun 09, 2017",5.6e-05,0.000113,5.6e-05,0.000112,657.0,17497.0
"Jun 10, 2017",0.000112,0.000226,0.000112,0.000116,12.0,35118.0
"Jun 11, 2017",0.000116,0.000119,8.8e-05,0.000119,33.0,36137.0
"Jun 12, 2017",0.000119,0.000236,7.6e-05,8e-05,42.0,37191.0
"Jun 13, 2017",7.9e-05,0.000108,5.4e-05,0.000108,11.0,24776.0
"Jun 14, 2017",0.000108,0.000109,4.7e-05,7.4e-05,20.0,33883.0
"Jun 15, 2017",7.4e-05,7.5e-05,4.3e-05,4.8e-05,10.0,23072.0
"Jun 16, 2017",4.8e-05,0.0001,4.6e-05,0.0001,132.0,15115.0
"Jun 17, 2017",0.0001,0.000125,0.0001,0.000125,45.0,31299.0
"Jun 18, 2017",0.000125,0.000175,0.000125,0.000175,172.0,39131.0
"Jun 19, 2017",0.000175,0.000175,5e-05,5e-05,65.0,54798.0
