datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,2.9e-05,2.9e-05,2e-05,2e-05,472.0,317929.0
2017-1-02,2e-05,3.1e-05,2e-05,3.1e-05,4896.0,220184.0
2017-1-03,3.1e-05,3.1e-05,1e-05,2.1e-05,2639.0,337065.0
2017-1-04,2.1e-05,3.5e-05,2.1e-05,3.5e-05,679.0,229602.0
2017-1-05,3.5e-05,3.5e-05,1e-05,2e-05,2754.0,380933.0
2017-1-06,2e-05,3.1e-05,1.8e-05,2.7e-05,597.0,223464.0
2017-1-07,2.7e-05,2.7e-05,1.7e-05,1.8e-05,397.0,296797.0
2017-1-08,1.8e-05,2.8e-05,9e-06,1.8e-05,645.0,200386.0
2017-1-09,1.8e-05,2.7e-05,1.8e-05,2.7e-05,895.0,200456.0
2017-1-10,2.7e-05,2.7e-05,1.8e-05,2.7e-05,452.0,297833.0
2017-1-11,2.7e-05,2.8e-05,1.6e-05,2.3e-05,178.0,298019.0
2017-1-12,2.3e-05,2.3e-05,1.5e-05,1.6e-05,611.0,256527.0
2017-1-13,1.6e-05,2.5e-05,1.6e-05,1.7e-05,785.0,177040.0
2017-1-14,2.5e-05,2.5e-05,1.6e-05,1.6e-05,706.0,271824.0
2017-1-15,1.6e-05,2.5e-05,8e-06,2.5e-05,686.0,179990.0
2017-1-16,2.5e-05,3.4e-05,9e-06,2.5e-05,2822.0,271102.0
2017-1-17,2.5e-05,2.7e-05,1.8e-05,2.5e-05,1551.0,274314.0
2017-1-18,2.5e-05,2.8e-05,1.7e-05,1.8e-05,353.0,271273.0
2017-1-19,1.8e-05,2.7e-05,1.1e-05,2.5e-05,1073.0,194991.0
2017-1-20,2.7e-05,2.7e-05,1.8e-05,2.7e-05,1117.0,296595.0
2017-1-21,2.7e-05,2.8e-05,1.8e-05,2.8e-05,800.0,295260.0
2017-1-22,2.8e-05,2.8e-05,1.8e-05,1.8e-05,1296.0,304089.0
2017-1-23,1.8e-05,2.7e-05,1.8e-05,2e-05,1125.0,203360.0
2017-1-24,1.9e-05,2.7e-05,9e-06,1.8e-05,44870.0,213973.0
2017-1-25,1.8e-05,1.8e-05,9e-06,1.8e-05,17913.0,196325.0
2017-1-26,1.8e-05,1.8e-05,9e-06,9e-06,16801.0,198460.0
2017-1-27,9e-06,1.8e-05,9e-06,1.8e-05,26949.0,100901.0
2017-1-28,1.8e-05,1.8e-05,9e-06,1.8e-05,1627.0,201701.0
2017-1-29,1.8e-05,1.8e-05,9e-06,1.2e-05,354.0,202682.0
2017-1-30,1.2e-05,1.6e-05,9e-06,9e-06,3924.0,135654.0
2017-1-31,9e-06,1.8e-05,9e-06,1e-05,11680.0,101208.0
2017-2-01,1e-05,2e-05,1e-05,1e-05,12948.0,106709.0
2017-2-02,1e-05,1.9e-05,1e-05,1.9e-05,7949.0,108756.0
2017-2-03,1.9e-05,2.9e-05,1e-05,1e-05,3327.0,206710.0
2017-2-04,1e-05,2e-05,1e-05,1e-05,694.0,113408.0
2017-2-05,1e-05,2.1e-05,1e-05,2e-05,2920.0,114749.0
2017-2-06,2e-05,2e-05,1e-05,1e-05,1675.0,216862.0
2017-2-07,1e-05,2.1e-05,1e-05,1.1e-05,3336.0,114377.0
2017-2-08,1.1e-05,2.1e-05,1e-05,1.2e-05,1491.0,116816.0
2017-2-09,1.2e-05,2.2e-05,1.1e-05,1.8e-05,2697.0,133515.0
2017-2-10,1.8e-05,1.9e-05,1e-05,1e-05,785.0,195120.0
2017-2-11,1e-05,2e-05,1e-05,1e-05,511.0,108742.0
2017-2-12,1e-05,2e-05,1e-05,2e-05,1041.0,110350.0
2017-2-13,2e-05,2e-05,1e-05,1e-05,1050.0,219681.0
2017-2-14,1e-05,2e-05,1e-05,1e-05,296.0,109054.0
2017-2-15,1e-05,2e-05,1e-05,1e-05,16.0,110646.0
2017-2-16,1e-05,1e-05,1e-05,1e-05,2798.0,110804.0
2017-2-17,1e-05,1.1e-05,1e-05,1e-05,379.0,112835.0
2017-2-18,1e-05,1.1e-05,1e-05,1.1e-05,16.0,115374.0
2017-2-19,1.1e-05,1.1e-05,1e-05,1e-05,32.0,115985.0
2017-2-20,1e-05,1.1e-05,1e-05,1.1e-05,52.0,115317.0
2017-2-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,34.0,118681.0
2017-2-22,1.1e-05,1.1e-05,1.1e-05,1.1e-05,2.0,122587.0
2017-2-23,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1253.0,122859.0
2017-2-24,1.2e-05,1.2e-05,1.1e-05,1.2e-05,30.0,128955.0
2017-2-25,1.2e-05,1.2e-05,1.1e-05,1.1e-05,21.0,128702.0
2017-2-26,1.1e-05,1.2e-05,1.1e-05,1.2e-05,790.0,125828.0
2017-2-27,1.2e-05,1.2e-05,1.2e-05,1.2e-05,99.0,127973.0
2017-2-28,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,129836.0
2017-3-01,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,129761.0
2017-3-02,1.2e-05,1.3e-05,1.2e-05,1.3e-05,17.0,134670.0
2017-3-03,1.3e-05,1.3e-05,1.3e-05,1.3e-05,3.0,137532.0
2017-3-05,1.3e-05,1.3e-05,1.2e-05,1.3e-05,1.0,137562.0
2017-3-06,1.3e-05,1.3e-05,1.3e-05,1.3e-05,22.0,139375.0
2017-3-07,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.0,140006.0
2017-3-08,1.2e-05,1.2e-05,1.1e-05,1.2e-05,0.0,134510.0
2017-3-09,1.2e-05,1.2e-05,1.1e-05,1.2e-05,16.0,126496.0
2017-3-10,1.2e-05,1.3e-05,1.2e-05,1.2e-05,4.0,130786.0
2017-3-11,1.1e-05,1.2e-05,1.1e-05,1.2e-05,132.0,125155.0
2017-3-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,44.0,129385.0
2017-3-13,1.2e-05,1.2e-05,1.2e-05,1.2e-05,16.0,134351.0
2017-3-14,1.2e-05,1.2e-05,1.2e-05,1.2e-05,6.0,135492.0
2017-3-15,1.2e-05,1.3e-05,1.2e-05,1.2e-05,0.0,136372.0
2017-3-16,1.3e-05,1.3e-05,1.2e-05,1.2e-05,0.0,137600.0
2017-3-19,1e-05,1.1e-05,1e-05,1e-05,1.0,109881.0
2017-3-20,1e-05,1.1e-05,1e-05,1e-05,1.0,114058.0
2017-3-22,1.1e-05,1.1e-05,1e-05,1e-05,26.0,118469.0
2017-3-23,1.1e-05,2.1e-05,1e-05,2.1e-05,529.0,115467.0
2017-3-24,2.1e-05,2.1e-05,9e-06,9e-06,2.0,228383.0
2017-3-25,9e-06,1e-05,9e-06,1e-05,7.0,102985.0
2017-3-26,1e-05,1e-05,1e-05,1e-05,1.0,107106.0
2017-3-27,1e-05,1e-05,1e-05,1e-05,2.0,112984.0
2017-3-28,1e-05,1.1e-05,1e-05,1e-05,1.0,114865.0
2017-3-29,1e-05,1e-05,1e-05,1e-05,2.0,115030.0
2017-3-30,1e-05,1e-05,1e-05,1e-05,2.0,114605.0
2017-3-31,1e-05,1.1e-05,1e-05,1.1e-05,13.0,112893.0
2017-4-01,1.1e-05,2.2e-05,1.1e-05,2.2e-05,51.0,117849.0
2017-4-02,2.2e-05,2.2e-05,1.1e-05,1.1e-05,8.0,237655.0
2017-4-03,1.1e-05,1.2e-05,1.1e-05,1.1e-05,66.0,121284.0
2017-4-04,1.1e-05,1.2e-05,1.1e-05,1.1e-05,14.0,125965.0
2017-4-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,10.0,124714.0
2017-4-06,1.1e-05,2.3e-05,1.1e-05,1.2e-05,30.0,123798.0
