datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000453,0.000471,0.000448,0.000469,0.0,16444.0
"Jan 02, 2017",0.000469,0.000668,0.000468,0.000521,11.0,17090.0
"Jan 03, 2017",0.000521,0.000528,0.000494,0.000501,7.0,19021.0
"Jan 04, 2017",0.000501,0.000562,0.000491,0.000531,12.0,18347.0
"Jan 05, 2017",0.000531,0.000593,0.000446,0.000475,36.0,19501.0
"Jan 06, 2017",0.000476,0.000492,0.000407,0.000433,8.0,17523.0
"Jan 07, 2017",0.000434,0.000444,0.000371,0.000436,3.0,15977.0
"Jan 08, 2017",0.000436,0.000458,0.000381,0.000382,4.0,16091.0
"Jan 09, 2017",0.000383,0.000444,0.00037,0.000443,8.0,14138.0
"Jan 10, 2017",0.000442,0.000453,0.000415,0.000436,2.0,16371.0
"Jan 11, 2017",0.000436,0.000533,0.000358,0.000382,6.0,16142.0
"Jan 12, 2017",0.000381,0.000476,0.000333,0.000387,17.0,14142.0
"Jan 13, 2017",0.000386,0.000445,0.000374,0.000428,10.0,14402.0
"Jan 14, 2017",0.000428,0.000498,0.000423,0.000467,31.0,16020.0
"Jan 15, 2017",0.000466,0.000485,0.000424,0.000485,7.0,17493.0
"Jan 16, 2017",0.000485,0.000508,0.000444,0.00049,18.0,18233.0
"Jan 17, 2017",0.000491,0.000564,0.00049,0.000517,45.0,18467.0
"Jan 18, 2017",0.000518,0.00055,0.000496,0.000503,1.0,19498.0
"Jan 19, 2017",0.000505,0.000641,0.000504,0.000522,15.0,19057.0
"Jan 20, 2017",0.000521,0.000537,0.000386,0.000421,7.0,19698.0
"Jan 21, 2017",0.000421,0.00046,0.000405,0.000452,7.0,15920.0
"Jan 22, 2017",0.000452,0.000457,0.00042,0.000453,7.0,17120.0
"Jan 23, 2017",0.000453,0.000582,0.000449,0.00047,9.0,17233.0
"Jan 24, 2017",0.00047,0.000638,0.00046,0.000509,16.0,17908.0
"Jan 25, 2017",0.000509,0.000586,0.000508,0.000532,10.0,19402.0
"Jan 26, 2017",0.000532,0.000824,0.000532,0.000817,2308.0,20282.0
"Jan 27, 2017",0.000633,0.000818,0.000561,0.00057,1406.0,24142.0
"Jan 28, 2017",0.00057,0.000572,0.000543,0.000553,70.0,21744.0
"Jan 29, 2017",0.000562,0.000563,0.00047,0.000497,830.0,21436.0
"Jan 30, 2017",0.000497,0.000497,0.000442,0.000451,589.0,18933.0
"Jan 31, 2017",0.000442,0.000467,0.000434,0.000466,1542.0,16846.0
"Feb 01, 2017",0.000456,0.000623,0.000456,0.000574,1075.0,17391.0
"Feb 02, 2017",0.000574,0.000588,0.000552,0.000587,636.0,21873.0
"Feb 03, 2017",0.000587,0.00062,0.000559,0.000597,812.0,22377.0
"Feb 04, 2017",0.000597,0.000616,0.000573,0.000573,738.0,22777.0
"Feb 05, 2017",0.000584,0.000615,0.000563,0.000575,842.0,22269.0
"Feb 06, 2017",0.000575,0.000605,0.000559,0.000581,429.0,21937.0
"Feb 07, 2017",0.000571,0.000594,0.000562,0.000594,1071.0,21772.0
"Feb 08, 2017",0.000594,0.000619,0.000571,0.000595,254.0,22663.0
"Feb 09, 2017",0.000595,0.000631,0.000462,0.000536,1083.0,22700.0
"Feb 10, 2017",0.000567,0.000569,0.000485,0.000554,1182.0,21613.0
"Feb 11, 2017",0.000534,0.000545,0.000504,0.000532,374.0,20358.0
"Feb 12, 2017",0.000532,0.000532,0.00048,0.0005,695.0,20299.0
"Feb 13, 2017",0.0005,0.000501,0.000465,0.000486,228.0,19050.0
"Feb 14, 2017",0.000485,0.000493,0.000466,0.000492,189.0,18509.0
"Feb 15, 2017",0.000492,0.000494,0.000451,0.000463,635.0,18769.0
"Feb 16, 2017",0.000463,0.000499,0.000452,0.000452,283.0,17671.0
"Feb 17, 2017",0.000452,0.000484,0.000431,0.00045,454.0,17238.0
"Feb 18, 2017",0.00045,0.000498,0.000423,0.000464,268.0,17154.0
"Feb 19, 2017",0.000464,0.000486,0.000451,0.000451,116.0,17691.0
"Feb 20, 2017",0.000451,0.000451,0.000398,0.000432,411.0,17181.0
"Feb 21, 2017",0.000432,0.000432,0.000413,0.000424,201.0,16472.0
"Feb 22, 2017",0.000424,0.000428,0.000409,0.000425,232.0,16160.0
"Feb 23, 2017",0.000425,0.000447,0.000404,0.000446,998.0,16191.0
"Feb 24, 2017",0.000443,0.000456,0.000411,0.000423,512.0,16906.0
"Feb 25, 2017",0.000423,0.000423,0.000364,0.000366,859.0,16111.0
"Feb 26, 2017",0.000366,0.000418,0.000366,0.000396,79.0,13957.0
"Feb 27, 2017",0.000396,0.000433,0.000375,0.000389,553.0,15106.0
"Feb 28, 2017",0.000389,0.000401,0.000387,0.000389,1.0,14848.0
"Mar 01, 2017",0.000389,0.000403,0.000375,0.000391,320.0,14848.0
