datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1e-05,1e-05,1e-05,1e-05,1.0,391848.0
2017-1-05,1.2e-05,1.2e-05,9e-06,1e-05,0.0,471673.0
2017-1-06,1e-05,1e-05,9e-06,9e-06,0.0,412030.0
2017-1-07,9e-06,9e-06,8e-06,9e-06,0.0,367349.0
2017-1-08,9e-06,9e-06,9e-06,9e-06,0.0,369422.0
2017-1-12,8e-06,8e-06,8e-06,8e-06,0.0,312506.0
2017-1-13,8e-06,8e-06,8e-06,8e-06,0.0,327238.0
2017-1-14,8e-06,8e-06,8e-06,8e-06,1.0,335024.0
2017-1-15,8e-06,8e-06,8e-06,8e-06,0.0,332758.0
2017-1-16,8e-06,8e-06,8e-06,8e-06,2.0,337818.0
2017-1-17,8e-06,9e-06,8e-06,9e-06,23.0,338094.0
2017-1-18,9e-06,9e-06,9e-06,9e-06,21.0,369159.0
2017-1-19,9e-06,9e-06,9e-06,9e-06,0.0,360490.0
2017-1-20,9e-06,9e-06,9e-06,9e-06,0.0,365554.0
2017-1-21,9e-06,9e-06,9e-06,9e-06,1.0,364122.0
2017-1-22,9e-06,9e-06,9e-06,9e-06,3.0,374790.0
2017-1-23,9e-06,9e-06,9e-06,9e-06,1.0,375963.0
2017-1-24,9e-06,9e-06,9e-06,9e-06,61.0,374474.0
2017-1-25,9e-06,9e-06,9e-06,9e-06,1.0,362958.0
2017-1-26,9e-06,9e-06,9e-06,9e-06,0.0,366558.0
2017-1-27,9e-06,9e-06,9e-06,9e-06,11.0,373081.0
2017-1-28,9e-06,9e-06,9e-06,9e-06,1.0,373961.0
2017-1-29,9e-06,9e-06,9e-06,9e-06,10.0,374709.0
2017-1-30,9e-06,9e-06,9e-06,9e-06,15.0,373858.0
2017-1-31,9e-06,1e-05,9e-06,1e-05,0.0,374218.0
2017-2-01,1e-05,1e-05,1e-05,1e-05,0.0,394556.0
2017-2-02,1e-05,1e-05,1e-05,1e-05,3.0,402127.0
2017-2-03,1e-05,1e-05,1e-05,1e-05,4.0,411250.0
2017-2-04,1e-05,1e-05,1e-05,1e-05,0.0,419329.0
2017-2-05,1e-05,2.3e-05,1e-05,2.2e-05,102.0,424285.0
2017-2-06,2.2e-05,2.5e-05,49000000.0,1e-06,60.0,912100.0
2017-2-07,1e-06,7e-06,62000000.0,7e-06,30.0,58735.0
2017-2-08,7e-06,7e-06,96000000.0,98000000.0,155.0,264415.0
2017-2-09,99000000.0,3e-06,27000000.0,52000000.0,28.0,40333.0
2017-2-10,52000000.0,59000000.0,24000000.0,26000000.0,60.0,21141.0
2017-2-11,27000000.0,39000000.0,26000000.0,28000000.0,11.0,10799.0
2017-2-12,28000000.0,38000000.0,27000000.0,37000000.0,12.0,11468.0
2017-2-13,37000000.0,60000000.0,26000000.0,26000000.0,4.0,15049.0
2017-2-14,26000000.0,1e-06,26000000.0,1e-06,6.0,10698.0
2017-2-15,1e-06,1e-05,1e-06,4e-06,64.0,59269.0
2017-2-16,4e-06,8e-06,4e-06,8e-06,35.0,176381.0
2017-2-17,8e-06,8e-06,30000000.0,2e-06,7.0,312414.0
2017-2-18,2e-06,2e-06,29000000.0,41000000.0,7.0,72967.0
2017-2-19,41000000.0,1e-05,41000000.0,1e-05,27.0,16618.0
2017-2-20,1e-05,1e-05,4e-06,5e-06,5.0,401214.0
2017-2-21,5e-06,5e-06,29000000.0,29000000.0,34.0,185234.0
2017-2-22,29000000.0,75000000.0,28000000.0,65000000.0,3.0,11866.0
2017-2-23,65000000.0,1e-06,55000000.0,85000000.0,5.0,26596.0
2017-2-24,86000000.0,96000000.0,29000000.0,33000000.0,24.0,35001.0
2017-2-25,32000000.0,39000000.0,32000000.0,36000000.0,21.0,13008.0
2017-2-26,36000000.0,37000000.0,32000000.0,35000000.0,19.0,14633.0
2017-2-27,35000000.0,37000000.0,33000000.0,33000000.0,8.0,14258.0
2017-2-28,33000000.0,37000000.0,27000000.0,31000000.0,99.0,13292.0
2017-3-01,31000000.0,2e-06,28000000.0,1e-06,32.0,12542.0
2017-3-02,1e-06,8e-06,1e-06,7e-06,23.0,50161.0
2017-3-03,7e-06,8e-06,27000000.0,30000000.0,5.0,298056.0
2017-3-04,30000000.0,80000000.0,27000000.0,64000000.0,165.0,12058.0
2017-3-05,64000000.0,65000000.0,32000000.0,36000000.0,110.0,26022.0
2017-3-06,37000000.0,64000000.0,31000000.0,64000000.0,10.0,15079.0
2017-3-07,64000000.0,90000000.0,59000000.0,59000000.0,10.0,26168.0
2017-3-08,59000000.0,5e-06,30000000.0,34000000.0,0.0,24178.0
2017-3-09,33000000.0,3e-06,30000000.0,32000000.0,9.0,13619.0
2017-3-10,32000000.0,38000000.0,30000000.0,31000000.0,4.0,12856.0
2017-3-11,31000000.0,34000000.0,26000000.0,34000000.0,40.0,12653.0
2017-3-12,34000000.0,41000000.0,30000000.0,41000000.0,22.0,13757.0
2017-3-13,41000000.0,70000000.0,29000000.0,70000000.0,5.0,16568.0
2017-3-14,69000000.0,4e-06,69000000.0,3e-06,2.0,28244.0
2017-3-15,3e-06,3e-06,34000000.0,36000000.0,2.0,109111.0
2017-3-16,36000000.0,8e-06,31000000.0,7e-06,20.0,14562.0
2017-3-17,1.4e-05,3.7e-05,9e-06,9e-06,466.0,588564.0
2017-3-18,9e-06,9e-06,1e-06,1e-06,200.0,372686.0
2017-3-19,1e-06,3e-06,79000000.0,3e-06,213.0,46174.0
2017-3-20,3e-06,6e-06,38000000.0,43000000.0,74.0,111662.0
2017-3-21,41000000.0,9e-06,37000000.0,51000000.0,239.0,16682.0
2017-3-22,50000000.0,9e-06,39000000.0,40000000.0,101.0,20454.0
2017-3-23,40000000.0,56000000.0,38000000.0,52000000.0,31.0,16129.0
2017-3-24,52000000.0,1e-06,41000000.0,68000000.0,11.0,21164.0
2017-3-25,68000000.0,2e-06,44000000.0,2e-06,54.0,27820.0
2017-3-26,2e-06,7e-06,47000000.0,6e-06,84.0,86990.0
2017-3-27,6e-06,7e-06,73000000.0,76000000.0,54.0,233726.0
2017-3-28,75000000.0,93000000.0,69000000.0,74000000.0,6.0,30573.0
2017-3-29,76000000.0,81000000.0,70000000.0,79000000.0,7.0,30713.0
2017-3-30,80000000.0,5e-06,77000000.0,2e-06,75.0,32653.0
2017-3-31,2e-06,2e-06,74000000.0,2e-06,16.0,63484.0
2017-4-01,2e-06,9e-06,1e-06,9e-06,53.0,64972.0
2017-4-02,9e-06,1.1e-05,8e-06,8e-06,28.0,372539.0
2017-4-03,8e-06,8e-06,79000000.0,1e-06,558.0,321743.0
2017-4-04,1e-06,1.1e-05,99000000.0,1e-05,205.0,41052.0
2017-4-05,1e-05,1e-05,2e-06,2e-06,75.0,417088.0
2017-4-06,2e-06,1.1e-05,2e-06,1e-05,267.0,91174.0
2017-4-07,1e-05,1e-05,2e-06,2e-06,388.0,419455.0
2017-4-08,2e-06,1.1e-05,2e-06,1.1e-05,401.0,69904.0
2017-4-09,1.1e-05,1.1e-05,83000000.0,97000000.0,336.0,438227.0
2017-4-10,97000000.0,4e-06,95000000.0,2e-06,20.0,39628.0
2017-4-11,2e-06,2e-06,55000000.0,2e-06,18.0,61914.0
2017-4-12,2e-06,1e-05,2e-06,9e-06,36.0,66114.0
2017-4-13,9e-06,1e-05,5e-06,9e-06,156.0,346515.0
2017-4-14,9e-06,1e-05,1e-06,7e-06,450.0,382720.0
2017-4-15,7e-06,8e-06,4e-06,5e-06,114.0,302996.0
2017-4-16,5e-06,7e-06,1e-06,3e-06,55.0,215943.0
2017-4-17,3e-06,5e-06,1e-06,1e-06,19.0,127738.0
2017-4-18,1e-06,7e-06,1e-06,5e-06,68.0,52240.0
2017-4-19,5e-06,7e-06,87000000.0,2e-06,64.0,214155.0
2017-4-20,2e-06,3e-06,65000000.0,85000000.0,80.0,100135.0
2017-4-21,84000000.0,9e-06,76000000.0,9e-06,69.0,34296.0
2017-4-22,9e-06,1.1e-05,1e-06,1e-06,30.0,371936.0
2017-4-23,1e-06,3e-06,73000000.0,3e-06,7.0,51498.0
2017-4-24,3e-06,5e-06,91000000.0,97000000.0,14.0,125222.0
2017-4-25,97000000.0,4e-06,43000000.0,58000000.0,490.0,39283.0
2017-4-26,58000000.0,2e-06,36000000.0,1e-06,36.0,23778.0
