datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-24,0.000769,0.006267,0.000764,0.006267,1264.0,0.0
2017-6-25,0.005143,0.007873,0.002589,0.003232,8197.0,0.0
2017-6-26,0.003225,0.004502,0.002549,0.002618,184.0,0.0
2017-6-27,0.00268,0.002785,0.001834,0.002785,328.0,0.0
2017-6-28,0.002803,0.002803,0.001718,0.002555,314.0,0.0
2017-6-29,0.002553,0.003022,0.001769,0.001769,114.0,0.0
2017-6-30,0.001772,0.001784,0.001739,0.001741,1.0,0.0
2017-7-01,0.001741,0.002561,0.001536,0.002431,170.0,0.0
2017-7-02,0.002431,0.002468,0.000765,0.000775,340.0,0.0
2017-7-03,0.000772,0.002349,0.000766,0.00089,34.0,0.0
2017-7-04,0.000888,0.001985,0.000866,0.000959,106.0,0.0
2017-7-05,0.000958,0.001856,0.000909,0.001845,240.0,0.0
2017-7-06,0.001846,0.001848,0.001284,0.001428,130.0,0.0
2017-7-07,0.001429,0.001432,0.00094,0.00095,16.0,0.0
2017-7-08,0.000951,0.000962,0.000753,0.000764,0.0,0.0
2017-7-09,0.000765,0.000768,0.00045,0.00045,19.0,0.0
2017-7-10,0.000451,0.000453,0.00042,0.000422,16.0,0.0
2017-7-13,0.000264,0.001099,0.00026,0.001078,134.0,0.0
2017-7-14,0.001077,0.001082,0.000384,0.001022,146.0,0.0
2017-7-15,0.001021,0.001022,0.000304,0.000916,24.0,0.0
2017-7-16,0.000913,0.000944,0.000331,0.000347,21.0,0.0
2017-7-17,0.000346,0.000376,0.000309,0.000333,21.0,0.0
2017-7-18,0.000333,0.000357,0.000323,0.000345,12.0,0.0
2017-7-19,0.000345,0.000792,0.000334,0.000792,168.0,0.0
2017-7-20,0.000789,0.001613,0.000789,0.001153,143.0,0.0
2017-7-21,0.001161,0.001591,0.000628,0.00064,7.0,0.0
2017-7-22,0.00064,0.000692,0.000585,0.000594,6.0,0.0
2017-7-23,0.000594,0.0006,0.000558,0.000583,6.0,0.0
2017-7-24,0.00041,0.001108,0.000407,0.001103,9.0,0.0
2017-7-25,0.001103,0.001111,0.000995,0.000995,0.0,0.0
2017-7-26,0.000974,0.001729,0.00064,0.000655,506.0,0.0
2017-7-27,0.000656,0.001848,0.000654,0.000716,49.0,0.0
2017-7-28,0.000718,0.001917,0.000718,0.000754,12.0,0.0
2017-7-29,0.000751,0.000753,0.000721,0.000722,11.0,0.0
2017-7-31,0.000586,0.001399,0.00025,0.000257,153.0,0.0
2017-8-01,0.000258,0.001484,0.000254,0.001392,34.0,0.0
2017-8-02,0.001392,0.001404,0.001374,0.001396,0.0,0.0
2017-8-04,0.000371,0.000372,0.00037,0.000371,3.0,0.0
2017-8-05,0.000371,0.000987,0.000371,0.000976,17.0,0.0
2017-8-06,0.000977,0.001181,0.00041,0.001162,38.0,0.0
2017-8-07,0.001159,0.001225,0.001149,0.00121,6.0,0.0
2017-8-08,0.000676,0.000696,0.00067,0.000684,116.0,0.0
2017-8-09,0.000684,0.000685,0.000652,0.000661,3.0,0.0
2017-8-12,0.000726,0.001148,0.000726,0.001123,87.0,0.0
2017-8-13,0.001122,0.001526,0.001122,0.001502,18.0,0.0
2017-8-14,0.001503,0.001598,0.001473,0.001597,14.0,0.0
2017-8-15,0.001601,0.001602,0.000464,0.000498,0.0,0.0
2017-8-16,0.000498,0.000504,0.000474,0.000489,0.0,0.0
2017-8-17,0.000518,0.000538,0.000473,0.000515,65.0,0.0
2017-8-18,0.000514,0.000518,0.000504,0.000518,10.0,0.0
2017-8-22,0.000789,0.000829,0.000775,0.000819,19.0,0.0
2017-8-23,0.000817,0.000851,0.000367,0.000373,5.0,0.0
2017-8-24,0.000373,0.000383,0.00037,0.000382,4.0,0.0
2017-8-25,0.000394,0.000402,0.000215,0.000218,50.0,0.0
2017-8-26,0.000218,0.000219,0.000213,0.000214,49.0,0.0
