datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.007652,0.007954,0.007612,0.007912,1.0,160399.0
"Jan 02, 2017",0.007917,0.008153,0.007904,0.008115,0.0,165946.0
"Jan 03, 2017",0.00817,0.008248,0.008167,0.008248,1.0,171248.0
"Jan 04, 2017",0.008246,0.008945,0.005991,0.006264,11.0,172856.0
"Jan 05, 2017",0.00627,0.008001,0.004944,0.007883,0.0,131435.0
"Jan 06, 2017",0.007904,0.008165,0.006895,0.007488,1.0,165689.0
"Jan 07, 2017",0.007499,0.008318,0.006572,0.007041,2.0,157191.0
"Jan 08, 2017",0.007042,0.007306,0.006876,0.007052,1.0,147604.0
"Jan 09, 2017",0.006908,0.008646,0.006817,0.008636,4.0,144806.0
"Jan 10, 2017",0.008631,0.008746,0.008614,0.008661,4.0,180925.0
"Jan 11, 2017",0.008037,0.008137,0.00675,0.006893,0.0,168469.0
"Jan 12, 2017",0.006883,0.007164,0.006703,0.006982,1.0,144286.0
"Jan 13, 2017",0.006978,0.007076,0.006763,0.007076,1.0,146273.0
"Jan 14, 2017",0.006422,0.008628,0.006256,0.008617,9.0,134619.0
"Jan 15, 2017",0.008614,0.008833,0.006258,0.006287,1.0,180571.0
"Jan 16, 2017",0.006287,0.006369,0.006275,0.006346,0.0,131787.0
"Jan 17, 2017",0.006854,0.007075,0.00685,0.00705,0.0,143686.0
"Jan 18, 2017",0.007055,0.026956,0.004622,0.00476,6.0,147885.0
"Jan 19, 2017",0.00478,0.007491,0.004767,0.007467,0.0,100197.0
"Jan 20, 2017",0.00758,0.007663,0.007069,0.007071,0.0,158897.0
"Jan 21, 2017",0.007075,0.007324,0.007075,0.007162,3.0,148310.0
"Jan 22, 2017",0.007166,0.007285,0.006974,0.007186,0.0,150212.0
"Jan 23, 2017",0.007194,0.007199,0.007133,0.007184,0.0,150808.0
"Jan 24, 2017",0.008044,0.008057,0.007147,0.007811,3.0,168618.0
"Jan 25, 2017",0.007804,0.00831,0.007155,0.007913,1605.0,163605.0
"Jan 26, 2017",0.007916,0.008091,0.007217,0.007634,1144.0,165937.0
"Jan 27, 2017",0.007524,0.008047,0.007312,0.007588,967.0,157734.0
"Jan 28, 2017",0.007468,0.007813,0.007341,0.007354,923.0,156564.0
"Jan 29, 2017",0.007354,0.007734,0.007162,0.007282,708.0,154173.0
"Jan 30, 2017",0.007288,0.007421,0.007158,0.007274,234.0,152776.0
"Jan 31, 2017",0.007188,0.007776,0.007188,0.00757,403.0,150692.0
"Feb 01, 2017",0.007569,0.007936,0.007569,0.007784,325.0,158679.0
"Feb 02, 2017",0.007784,0.008013,0.007681,0.007881,225.0,163176.0
"Feb 03, 2017",0.007882,0.008148,0.007879,0.008148,194.0,165238.0
"Feb 04, 2017",0.008157,0.009379,0.007964,0.009331,202.0,171003.0
"Feb 05, 2017",0.009306,0.009359,0.008,0.008031,218.0,195085.0
"Feb 06, 2017",0.008024,0.008722,0.008021,0.008676,172.0,168208.0
"Feb 07, 2017",0.008679,0.008941,0.008372,0.008905,241.0,181949.0
"Feb 08, 2017",0.008661,0.009104,0.008443,0.008631,60.0,181566.0
"Feb 09, 2017",0.008632,0.009161,0.00747,0.007874,296.0,180970.0
"Feb 10, 2017",0.007885,0.007939,0.007424,0.00775,241.0,165317.0
"Feb 11, 2017",0.007633,0.008444,0.007579,0.008314,156.0,160016.0
"Feb 12, 2017",0.008307,0.008397,0.00768,0.007753,132.0,174152.0
"Feb 13, 2017",0.007754,0.008255,0.007543,0.007747,134.0,162556.0
"Feb 14, 2017",0.007747,0.008287,0.007621,0.008157,122.0,162414.0
"Feb 15, 2017",0.008157,0.008299,0.007694,0.007727,159.0,171013.0
"Feb 16, 2017",0.007899,0.008496,0.007746,0.008138,144.0,165597.0
"Feb 17, 2017",0.008137,0.008825,0.007855,0.008035,394.0,170602.0
"Feb 18, 2017",0.008035,0.0084,0.008,0.008108,461.0,168456.0
"Feb 19, 2017",0.008111,0.008241,0.008025,0.008173,391.0,170054.0
"Feb 20, 2017",0.00818,0.008266,0.008001,0.008266,343.0,171495.0
"Feb 21, 2017",0.008262,0.008519,0.008149,0.008398,384.0,173216.0
"Feb 22, 2017",0.008394,0.008597,0.008249,0.008539,315.0,175997.0
"Feb 23, 2017",0.008537,0.008809,0.007758,0.008164,934.0,178991.0
"Feb 24, 2017",0.008062,0.008674,0.007869,0.008393,640.0,169028.0
"Feb 25, 2017",0.008333,0.008471,0.007724,0.008151,986.0,174713.0
"Feb 26, 2017",0.008156,0.008373,0.007674,0.008308,333.0,170991.0
"Feb 27, 2017",0.008298,0.008524,0.007894,0.007965,484.0,173972.0
